Question ID,Model,Model Load Time (s),Prefill Time (ms),Decode Time (ms),Total Compute Time (ms),Latency (s),Input Tokens,Output Tokens,Total Tokens,Correct,Model Response,Ground Truth,Question,Avg GPU+CPU Power (W),Max GPU+CPU Power (W),Avg Board Power (W),Max GPU Temp (C),Total Energy (J),Energy per Input Token (J),Energy per Output Token (J),Energy per Total Token (J),RAM Used (MB),RAM Free (MB),Swap Used (MB),KV Active Tokens,KV Active Ratio,Prompt Cache Entries,Prompt Cache Size (MB),Prompt Cache Limit (MB)
17,Qwen2.5-VL-3B,,700.23,211.54,911.76,0.927,123,4,127,0,100,19,How many medium residential buildings are there?,5.17,5.44,11.95,56.2,10.76,0.0874,2.6890,0.0847,5640,1967,492,128,0.0039,0,0.000,0
18,Qwen2.5-VL-3B,,756.61,72.63,829.24,0.844,125,2,127,1,Yes,yes,Is a circular grass area present in the image?,4.75,5.28,11.39,55.9,9.07,0.0726,4.5360,0.0714,5640,1967,492,42,0.0013,0,0.000,0
19,Qwen2.5-VL-3B,,700.38,72.61,772.99,0.788,123,2,125,0,2,27,What is the amount of pitchs?,4.86,5.12,11.57,56.2,8.11,0.0659,4.0526,0.0648,5640,1967,492,38,0.0012,0,0.000,0
20,Qwen2.5-VL-3B,,699.53,72.60,772.13,0.787,121,2,123,1,Yes,yes,Is there a village green?,5.15,5.36,11.87,56.4,8.31,0.0687,4.1548,0.0676,5641,1966,492,36,0.0011,0,0.000,0
21,Qwen2.5-VL-3B,,700.82,72.57,773.39,0.789,125,2,127,1,Yes,yes,Is a large commercial building present in the image?,5.18,5.44,11.98,56.1,8.39,0.0671,4.1927,0.0660,5641,1966,492,40,0.0012,0,0.000,0
22,Qwen2.5-VL-3B,,701.01,72.97,773.98,0.789,123,2,125,0,1,42,What is the number of water areas?,5.18,5.48,11.99,56.4,8.39,0.0682,4.1968,0.0671,5641,1966,492,38,0.0012,0,0.000,0
23,Qwen2.5-VL-3B,,712.77,72.78,785.55,0.801,128,2,130,1,No,no,Is the number of buildings equal to the number of water areas?,5.21,5.48,11.95,56.5,8.38,0.0655,4.1896,0.0645,5641,1966,492,129,0.0039,0,0.000,0
24,Qwen2.5-VL-3B,,698.99,72.59,771.58,0.787,121,2,123,1,Yes,yes,Is there a small road?,5.21,5.48,11.97,56.3,8.38,0.0693,4.1920,0.0682,5641,1966,492,36,0.0011,0,0.000,0
25,Qwen2.5-VL-3B,,698.35,72.65,771.00,0.785,121,2,123,1,No,no,Is there a rectangular road?,5.19,5.44,11.98,56.3,8.39,0.0693,4.1938,0.0682,5642,1965,492,36,0.0011,0,0.000,0
26,Qwen2.5-VL-3B,,700.24,212.69,912.93,0.928,122,4,126,0,100,1064,How many small roads are there?,5.24,5.48,12.03,56.2,10.83,0.0888,2.7076,0.0860,5642,1965,491,127,0.0039,0,0.000,0
27,Qwen2.5-VL-3B,,712.44,72.68,785.12,0.800,129,2,131,1,No,no,Is the number of residential buildings equal to the number of medium roads?,4.93,5.48,11.65,56.7,8.12,0.0630,4.0623,0.0620,5642,1965,491,130,0.0040,0,0.000,0
28,Qwen2.5-VL-3B,,700.85,72.50,773.34,0.789,124,2,126,1,Yes,yes,Are there more roads than rectangular water areas?,5.22,5.44,12.01,56.5,8.42,0.0679,4.2082,0.0668,5642,1965,491,39,0.0012,0,0.000,0
29,Qwen2.5-VL-3B,,699.83,143.67,843.50,0.859,123,3,126,0,10,2,How many circular residential buildings are there?,5.24,5.52,11.98,56.6,9.59,0.0779,3.1955,0.0761,5639,1968,522,126,0.0038,0,0.000,0
30,Qwen2.5-VL-3B,,699.26,73.00,772.25,0.787,121,2,123,1,Yes,yes,Is there a grass area?,5.11,5.48,11.87,56.7,8.30,0.0686,4.1484,0.0675,5639,1968,522,37,0.0011,0,0.000,0
31,Qwen2.5-VL-3B,,755.74,347.64,1103.37,1.118,122,6,128,0,10000,117,What is the amount of forests?,5.11,5.44,11.88,56.5,13.03,0.1068,2.1717,0.1018,5639,1968,522,131,0.0040,0,0.000,0
32,Qwen2.5-VL-3B,,700.07,211.51,911.58,0.926,123,4,127,0,100,19,How many rectangular commercial buildings are there?,4.92,5.36,11.75,56.5,10.58,0.0860,2.6458,0.0833,5639,1968,522,128,0.0039,0,0.000,0
33,Qwen2.5-VL-3B,,699.54,72.56,772.10,0.787,120,2,122,1,Yes,yes,Is a forest present?,4.88,5.28,11.65,56.7,8.12,0.0677,4.0608,0.0666,5639,1968,522,37,0.0011,0,0.000,0
34,Qwen2.5-VL-3B,,700.06,211.50,911.56,0.927,123,4,127,0,100,498,How many farmlands are there?,5.20,5.44,11.99,56.7,10.79,0.0877,2.6982,0.0850,5639,1968,522,128,0.0039,0,0.000,0
35,Qwen2.5-VL-3B,,711.76,73.22,784.99,0.800,126,2,128,0,Yes,no,Are there less buildings than grass areas in the image?,4.82,5.12,11.56,56.5,8.10,0.0643,4.0522,0.0633,5639,1968,522,127,0.0039,0,0.000,0
36,Qwen2.5-VL-3B,,700.07,73.00,773.08,0.789,122,2,124,1,Yes,yes,Is a rectangular water area present?,5.12,5.36,11.92,56.8,8.35,0.0684,4.1745,0.0673,5639,1968,522,37,0.0011,0,0.000,0
37,Qwen2.5-VL-3B,,700.85,143.65,844.50,0.860,124,3,127,0,10,104,What is the number of small grass areas?,5.22,5.44,12.01,56.8,9.60,0.0774,3.2009,0.0756,5639,1968,522,127,0.0039,0,0.000,0
38,Qwen2.5-VL-3B,,700.02,73.20,773.22,0.788,121,2,123,0,No,yes,Is there a circular parking?,5.06,5.28,11.96,56.6,8.38,0.0692,4.1879,0.0681,5639,1968,522,37,0.0011,0,0.000,0
39,Qwen2.5-VL-3B,,700.63,73.05,773.68,0.789,123,2,125,1,Yes,yes,Are there less roads than residential buildings?,5.20,5.48,11.95,56.8,8.36,0.0680,4.1813,0.0669,5639,1968,522,38,0.0012,0,0.000,0
40,Qwen2.5-VL-3B,,701.13,212.84,913.97,0.929,124,4,128,0,100,3,What is the amount of square grass areas?,5.26,5.48,12.04,56.8,10.83,0.0873,2.7065,0.0846,5640,1967,522,129,0.0039,0,0.000,0
41,Qwen2.5-VL-3B,,699.97,72.67,772.63,0.787,123,2,125,0,Yes,no,Are there more commercial buildings than roads?,4.87,5.12,11.65,56.8,8.16,0.0663,4.0803,0.0653,5640,1967,522,40,0.0012,0,0.000,0
42,Qwen2.5-VL-3B,,699.47,72.60,772.07,0.787,121,2,123,1,Yes,yes,Is a small building present?,5.16,5.40,11.90,57.1,8.33,0.0688,4.1649,0.0677,5640,1967,522,36,0.0011,0,0.000,0
43,Qwen2.5-VL-3B,,698.70,72.55,771.25,0.786,120,2,122,1,Yes,yes,Is there a parking?,5.20,5.48,11.96,56.9,8.37,0.0698,4.1854,0.0686,5640,1967,522,35,0.0011,0,0.000,0
44,Qwen2.5-VL-3B,,699.91,279.13,979.04,0.994,123,5,128,0,1000,2,How many large commercial buildings are there?,5.25,5.48,12.05,57.1,10.84,0.0881,2.1680,0.0847,5640,1967,522,130,0.0040,0,0.000,0
45,Qwen2.5-VL-3B,,700.80,72.61,773.42,0.789,124,2,126,1,Yes,yes,Are there more commercial buildings than residential areas?,5.23,5.52,12.15,57.0,8.51,0.0686,4.2550,0.0675,5640,1967,522,42,0.0013,0,0.000,0
46,Qwen2.5-VL-3B,,700.11,73.00,773.11,0.788,126,2,128,0,Yes,no,Are there more commercial buildings than forests in the image?,5.20,5.48,12.03,57.1,8.42,0.0668,4.2098,0.0658,5640,1967,522,41,0.0013,0,0.000,0
47,Qwen2.5-VL-3B,,700.23,144.65,844.88,0.860,123,3,126,0,10,0,What is the amount of circular roads?,5.23,5.48,12.05,56.9,9.64,0.0784,3.2140,0.0765,5640,1967,522,126,0.0038,0,0.000,0
48,Qwen2.5-VL-3B,,713.15,73.24,786.40,0.802,128,2,130,1,No,no,Is the number of residential buildings equal to the number of roads?,5.14,5.44,11.92,56.9,9.53,0.0744,4.7637,0.0733,5640,1967,522,129,0.0039,0,0.000,0
49,Qwen2.5-VL-3B,,699.76,73.03,772.79,0.788,121,2,123,1,No,no,Is there a square road?,4.81,5.24,11.37,57.0,7.94,0.0656,3.9701,0.0646,5640,1967,522,36,0.0011,0,0.000,0
50,Qwen2.5-VL-3B,,701.29,72.93,774.22,0.789,125,2,127,1,Yes,yes,Are there less commercial buildings than farmlands?,5.12,5.32,11.92,57.1,8.35,0.0668,4.1758,0.0658,5640,1967,522,40,0.0012,0,0.000,0
51,Qwen2.5-VL-3B,,700.43,72.48,772.91,0.788,125,2,127,1,Yes,yes,Is there a small residential building in the image?,5.19,5.32,11.92,57.0,8.35,0.0668,4.1755,0.0658,5640,1967,522,40,0.0012,0,0.000,0
52,Qwen2.5-VL-3B,,700.68,72.95,773.63,0.789,123,2,125,1,Yes,yes,Are there less grass areas than roads?,5.20,5.48,11.98,57.2,8.39,0.0682,4.1938,0.0671,5640,1967,522,38,0.0012,0,0.000,0
53,Qwen2.5-VL-3B,,699.55,72.62,772.16,0.786,121,2,123,0,Yes,no,Is a large road present?,5.22,5.48,11.99,57.2,8.39,0.0694,4.1974,0.0683,5640,1967,522,36,0.0011,0,0.000,0
54,Qwen2.5-VL-3B,,711.78,72.76,784.53,0.799,127,2,129,1,No,no,Is the number of buildings equal to the number of roads?,5.21,5.40,11.98,57.0,8.39,0.0661,4.1954,0.0650,5640,1967,522,128,0.0039,0,0.000,0
55,Qwen2.5-VL-3B,,700.54,279.02,979.56,0.994,124,5,129,0,1000,72,What is the number of small commercial buildings?,5.25,5.52,12.05,57.3,10.85,0.0875,2.1692,0.0841,5640,1967,522,131,0.0040,0,0.000,0
56,Qwen2.5-VL-3B,,699.85,279.13,978.98,0.994,124,5,129,0,1000,2,What is the amount of square residential buildings?,5.27,5.52,12.23,57.1,10.99,0.0887,2.1989,0.0852,5640,1967,522,131,0.0040,0,0.000,0
57,Qwen2.5-VL-3B,,700.30,72.51,772.82,0.788,124,2,126,1,Yes,yes,Are there less parkings than residential buildings?,5.22,5.52,12.21,57.1,8.55,0.0689,4.2749,0.0679,5640,1967,522,42,0.0013,0,0.000,0
58,Qwen2.5-VL-3B,,708.41,73.08,781.48,0.797,124,2,126,1,Yes,yes,Is there a farmland in the image?,5.18,5.52,12.00,57.5,8.41,0.0678,4.2025,0.0667,5640,1967,522,39,0.0012,0,0.000,0
59,Qwen2.5-VL-3B,,753.58,72.63,826.22,0.841,121,2,123,1,Yes,yes,Is there a orchard?,5.02,5.48,11.76,57.3,9.38,0.0776,4.6921,0.0763,5640,1967,522,36,0.0011,0,0.000,0
60,Qwen2.5-VL-3B,,698.45,72.63,771.09,0.786,122,2,124,1,Yes,yes,Is there a rectangular residential building?,4.95,5.12,11.62,57.4,8.14,0.0667,4.0694,0.0656,5640,1967,522,37,0.0011,0,0.000,0
61,Qwen2.5-VL-3B,,700.26,72.57,772.83,0.788,124,2,126,1,Yes,yes,Are there less commercial buildings than grass areas?,5.16,5.40,11.95,57.4,8.37,0.0675,4.1858,0.0664,5640,1967,522,39,0.0012,0,0.000,0
62,Qwen2.5-VL-3B,,699.05,72.65,771.71,0.787,124,2,126,0,Yes,no,Are there less commercial buildings than water areas?,5.21,5.48,11.97,57.3,8.38,0.0676,4.1904,0.0665,5640,1967,522,39,0.0012,0,0.000,0
63,Qwen2.5-VL-3B,,701.42,73.04,774.46,0.789,124,2,126,1,Yes,yes,Is there a residential area in the image?,5.22,5.48,12.04,57.4,8.43,0.0680,4.2141,0.0669,5640,1967,522,39,0.0012,0,0.000,0
64,Qwen2.5-VL-3B,,712.12,72.71,784.83,0.800,129,2,131,1,No,no,Is the number of commercial buildings equal to the number of water areas?,5.18,5.36,11.93,57.2,8.36,0.0648,4.1807,0.0638,5640,1967,522,130,0.0040,0,0.000,0
65,Qwen2.5-VL-3B,,700.24,279.17,979.41,0.994,124,5,129,0,1000,0,What is the amount of square commercial buildings?,5.27,5.52,12.01,57.4,10.80,0.0871,2.1593,0.0837,5640,1967,522,131,0.0040,0,0.000,0
66,Qwen2.5-VL-3B,,699.55,143.76,843.31,0.858,122,3,125,0,10,0,How many medium roads are there?,5.25,5.48,12.21,57.3,9.76,0.0800,3.2535,0.0781,5640,1967,522,125,0.0038,0,0.000,0
67,Qwen2.5-VL-3B,,700.03,72.56,772.59,0.788,123,2,125,1,Yes,yes,Are there more buildings than water areas?,5.01,5.40,11.82,57.4,8.26,0.0672,4.1308,0.0661,5640,1967,522,39,0.0012,0,0.000,0
68,Qwen2.5-VL-3B,,700.02,73.06,773.07,0.788,124,2,126,1,Yes,yes,Are there less medium grass areas than roads?,5.13,5.28,12.00,57.6,8.41,0.0678,4.2033,0.0667,5640,1967,522,39,0.0012,0,0.000,0
69,Qwen2.5-VL-3B,,699.92,144.56,844.48,0.859,122,3,125,0,10,11,How many orchards are there?,5.23,5.48,12.01,57.8,9.60,0.0787,3.2016,0.0768,5640,1967,522,125,0.0038,0,0.000,0
70,Qwen2.5-VL-3B,,701.00,72.58,773.58,0.788,125,2,127,1,Yes,yes,Is there a medium residential building in the image?,5.08,5.36,11.91,57.3,8.33,0.0667,4.1661,0.0656,5640,1967,522,41,0.0013,0,0.000,0
71,Qwen2.5-VL-3B,,712.23,72.96,785.20,0.800,128,2,130,1,No,no,Is the number of roads equal to the number of water areas?,5.16,5.28,11.92,57.5,8.36,0.0653,4.1817,0.0643,5640,1967,522,129,0.0039,0,0.000,0
72,Qwen2.5-VL-3B,,700.53,72.69,773.23,0.788,125,2,127,0,Yes,no,Are there more medium water areas than commercial buildings?,5.21,5.48,11.97,57.6,8.38,0.0671,4.1910,0.0660,5640,1967,522,40,0.0012,0,0.000,0
73,Qwen2.5-VL-3B,,700.03,73.01,773.04,0.788,124,2,126,1,Yes,yes,Are there less grass areas than residential buildings?,5.21,5.48,11.97,57.5,8.37,0.0675,4.1874,0.0665,5640,1967,522,39,0.0012,0,0.000,0
74,Qwen2.5-VL-3B,,701.13,211.52,912.66,0.927,124,4,128,0,100,1,What is the amount of square water areas?,5.25,5.52,12.10,57.6,10.89,0.0878,2.7217,0.0851,5640,1967,522,129,0.0039,0,0.000,0
75,Qwen2.5-VL-3B,,698.96,143.84,842.80,0.858,124,3,127,0,10,3,What is the amount of circular grass areas?,4.99,5.48,11.73,57.6,9.35,0.0754,3.1155,0.0736,5640,1967,522,127,0.0039,0,0.000,0
76,Qwen2.5-VL-3B,,698.96,72.58,771.54,0.786,121,2,123,1,Yes,yes,Is there a large building?,4.99,5.36,11.77,57.8,8.21,0.0679,4.1066,0.0668,5640,1967,522,37,0.0011,0,0.000,0
77,Qwen2.5-VL-3B,,699.24,72.69,771.93,0.787,122,2,124,1,Yes,yes,Is a circular water area present?,5.18,5.48,12.01,57.8,8.40,0.0689,4.2014,0.0678,5640,1967,522,37,0.0011,0,0.000,0
78,Qwen2.5-VL-3B,,711.40,72.78,784.19,0.799,126,2,128,0,1,3,What is the amount of large buildings in the image?,5.18,5.32,12.02,57.5,8.43,0.0669,4.2126,0.0658,5640,1967,522,127,0.0039,0,0.000,0
79,Qwen2.5-VL-3B,,700.11,72.52,772.63,0.788,125,2,127,0,Yes,no,Is there a square farmland in the image?,5.22,5.48,11.98,57.8,8.39,0.0671,4.1943,0.0661,5640,1967,522,40,0.0012,0,0.000,0
80,Qwen2.5-VL-3B,,700.73,72.55,773.27,0.788,124,2,126,0,Yes,no,Are there less residential buildings than water areas?,5.21,5.48,12.06,57.8,8.44,0.0681,4.2222,0.0670,5640,1967,522,39,0.0012,0,0.000,0
81,Qwen2.5-VL-3B,,699.46,72.57,772.03,0.787,124,2,126,1,Yes,yes,Are there less circular residential buildings than roads?,5.20,5.52,12.05,57.6,8.44,0.0680,4.2186,0.0670,5641,1966,522,39,0.0012,0,0.000,0
82,Qwen2.5-VL-3B,,712.89,72.77,785.66,0.801,129,2,131,1,No,no,Is the number of commercial buildings equal to the number of pitchs?,5.21,5.52,11.99,57.7,8.40,0.0651,4.2009,0.0641,5641,1966,522,130,0.0040,0,0.000,0
83,Qwen2.5-VL-3B,,712.15,73.15,785.30,0.800,126,2,128,1,Yes,yes,Are there less commercial buildings than roads in the image?,5.22,5.48,11.95,57.5,8.37,0.0664,4.1847,0.0654,5641,1966,522,127,0.0039,0,0.000,0
84,Qwen2.5-VL-3B,,713.17,73.08,786.25,0.801,129,2,131,1,Yes,yes,Is there a commercial building at the bottom of the  circular forest?,5.22,5.48,11.95,57.6,8.37,0.0649,4.1832,0.0639,5641,1966,522,130,0.0040,0,0.000,0
85,Qwen2.5-VL-3B,,700.79,72.57,773.36,0.788,124,2,126,1,Yes,yes,Are there less small grass areas than buildings?,5.22,5.48,12.04,57.8,8.43,0.0680,4.2141,0.0669,5641,1966,522,39,0.0012,0,0.000,0
86,Qwen2.5-VL-3B,,700.25,72.67,772.92,0.788,125,2,127,0,Yes,no,Are there more water areas than small grass areas?,5.15,5.32,12.01,57.7,8.41,0.0673,4.2074,0.0663,5641,1966,522,40,0.0012,0,0.000,0
87,Qwen2.5-VL-3B,,699.90,72.56,772.46,0.787,122,2,124,1,Yes,yes,Is there a small commercial building?,5.21,5.48,12.05,57.8,8.44,0.0691,4.2178,0.0680,5641,1966,522,37,0.0011,0,0.000,0
88,Qwen2.5-VL-3B,,712.56,73.30,785.86,0.801,129,2,131,1,No,no,Is the number of water areas equal to the number of rectangular buildings?,5.19,5.44,12.03,58.0,8.43,0.0653,4.2128,0.0643,5641,1966,522,130,0.0040,0,0.000,0
89,Qwen2.5-VL-3B,,700.21,72.92,773.13,0.788,122,2,124,0,No,yes,Is there a square water area?,5.17,5.44,12.06,57.8,8.44,0.0692,4.2216,0.0681,5641,1966,522,37,0.0011,0,0.000,0
90,Qwen2.5-VL-3B,,698.72,72.70,771.42,0.787,122,2,124,0,Yes,no,Is there a square village green?,5.21,5.48,12.00,58.0,8.40,0.0689,4.2006,0.0678,5641,1966,522,37,0.0011,0,0.000,0
91,Qwen2.5-VL-3B,,700.52,72.57,773.08,0.788,124,2,126,1,Yes,yes,Are there less circular buildings than water areas?,5.21,5.48,12.01,57.9,8.41,0.0678,4.2042,0.0667,5641,1966,522,39,0.0012,0,0.000,0
92,Qwen2.5-VL-3B,,700.37,72.99,773.36,0.788,122,2,124,1,Yes,yes,Is there a rectangular commercial building?,5.22,5.48,12.04,57.8,8.42,0.0690,4.2104,0.0679,5641,1966,522,37,0.0011,0,0.000,0
93,Qwen2.5-VL-3B,,711.70,73.11,784.81,0.800,128,2,130,1,No,no,Is the number of forests equal to the number of water areas?,5.22,5.36,11.99,58.0,8.41,0.0657,4.2033,0.0647,5641,1966,522,129,0.0039,0,0.000,0
94,Qwen2.5-VL-3B,,699.67,72.97,772.64,0.788,121,2,123,0,No,yes,Is a circular building present?,5.22,5.48,11.97,57.9,8.38,0.0692,4.1895,0.0681,5641,1966,522,36,0.0011,0,0.000,0
95,Qwen2.5-VL-3B,,713.00,72.71,785.71,0.801,128,2,130,1,No,no,Is the number of roads equal to the number of commercial buildings?,5.21,5.48,12.00,58.1,8.40,0.0657,4.2024,0.0647,5641,1966,522,129,0.0039,0,0.000,0
96,Qwen2.5-VL-3B,,679.95,72.82,752.77,0.768,127,2,129,1,No,no,Is the number of roads equal to the number of forests?,5.25,5.52,12.08,58.1,8.45,0.0666,4.2262,0.0655,5641,1966,522,128,0.0039,0,0.000,0
97,Qwen2.5-VL-3B,,700.19,72.73,772.92,0.788,123,2,125,0,Yes,no,Are there less forests than commercial buildings?,5.04,5.24,11.85,58.2,8.30,0.0675,4.1509,0.0664,5643,1964,522,38,0.0012,0,0.000,0
98,Qwen2.5-VL-3B,,699.74,72.60,772.34,0.788,124,2,126,1,Yes,yes,Are there more grass areas than square buildings?,5.19,5.44,11.98,58.1,8.39,0.0676,4.1926,0.0665,5643,1964,522,39,0.0012,0,0.000,0
99,Qwen2.5-VL-3B,,699.40,72.55,771.95,0.787,121,2,123,1,Yes,yes,Is there a square building?,5.24,5.48,12.03,58.1,8.42,0.0696,4.2082,0.0684,5643,1964,522,36,0.0011,0,0.000,0
100,Qwen2.5-VL-3B,,700.28,143.65,843.93,0.866,124,3,127,1,Rural,rural,Is it a rural or an urban area,5.19,5.48,12.08,58.0,9.66,0.0779,3.2188,0.0760,5643,1964,522,127,0.0039,0,0.000,0
101,Qwen2.5-VL-3B,,711.85,73.22,785.07,0.799,126,2,128,0,1,5,What is the number of commercial buildings in the image?,5.08,5.40,11.95,58.2,8.36,0.0663,4.1787,0.0653,5643,1964,522,127,0.0039,0,0.000,0
102,Qwen2.5-VL-3B,,699.77,73.03,772.80,0.787,121,2,123,0,No,yes,Is there a residential building?,5.19,5.44,11.98,58.3,8.38,0.0693,4.1913,0.0682,5643,1964,522,36,0.0011,0,0.000,0
103,Qwen2.5-VL-3B,,699.07,72.63,771.70,0.786,120,2,122,1,Yes,yes,Is a road present?,5.20,5.48,12.02,58.1,8.41,0.0701,4.2074,0.0690,5643,1964,522,35,0.0011,0,0.000,0
104,Qwen2.5-VL-3B,,698.11,72.64,770.75,0.785,120,2,122,0,No,yes,Is a building present?,5.22,5.52,11.99,58.3,8.40,0.0700,4.2003,0.0689,5643,1964,522,35,0.0011,0,0.000,0
105,Qwen2.5-VL-3B,,699.93,143.70,843.63,0.858,122,3,125,0,10,202,How many small roads are there?,5.25,5.52,12.04,58.3,9.63,0.0789,3.2100,0.0770,5643,1964,522,125,0.0038,0,0.000,0
106,Qwen2.5-VL-3B,,700.14,73.02,773.16,0.787,121,2,123,1,Yes,yes,Is a farmland present?,5.03,5.40,11.80,58.2,8.25,0.0681,4.1229,0.0670,5643,1964,522,37,0.0011,0,0.000,0
107,Qwen2.5-VL-3B,,699.00,73.07,772.07,0.787,121,2,123,1,Yes,yes,Is a grass area present?,5.16,5.40,12.00,58.1,8.41,0.0695,4.2032,0.0683,5643,1964,522,36,0.0011,0,0.000,0
108,Qwen2.5-VL-3B,,701.07,72.68,773.75,0.788,125,2,127,1,Yes,yes,Are there less commercial buildings than farmlands?,5.20,5.48,12.01,58.2,8.41,0.0673,4.2043,0.0662,5643,1964,522,40,0.0012,0,0.000,0
109,Qwen2.5-VL-3B,,699.23,279.16,978.40,0.993,121,5,126,0,1000,202,How many roads are there?,5.27,5.52,12.12,58.2,10.90,0.0901,2.1803,0.0865,5643,1964,522,128,0.0039,0,0.000,0
110,Qwen2.5-VL-3B,,713.02,72.72,785.74,0.800,129,2,131,1,No,no,Is the number of residential buildings equal to the number of water areas?,5.22,5.52,12.21,58.2,8.55,0.0663,4.2772,0.0653,5643,1964,522,130,0.0040,0,0.000,0
111,Qwen2.5-VL-3B,,699.23,72.71,771.94,0.787,121,2,123,1,Yes,yes,Is there a rectangular building?,5.24,5.52,12.09,58.2,8.47,0.0700,4.2350,0.0689,5643,1964,522,36,0.0011,0,0.000,0
112,Qwen2.5-VL-3B,,700.34,73.05,773.39,0.788,124,2,126,1,Yes,yes,Are there more water areas than commercial buildings?,5.22,5.52,12.11,58.4,8.48,0.0684,4.2418,0.0673,5644,1963,521,39,0.0012,0,0.000,0
113,Qwen2.5-VL-3B,,699.75,72.66,772.41,0.787,120,2,122,1,Yes,yes,Is a forest present?,5.25,5.52,12.05,58.4,8.44,0.0703,4.2182,0.0692,5643,1964,521,35,0.0011,0,0.000,0
