Question ID,Model,Model Load Time (s),Prefill Time (ms),Decode Time (ms),Total Compute Time (ms),Latency (s),Input Tokens,Output Tokens,Total Tokens,Correct,Model Response,Ground Truth,Question,Avg GPU+CPU Power (W),Max GPU+CPU Power (W),Avg Board Power (W),Max GPU Temp (C),Total Energy (J),Energy per Input Token (J),Energy per Output Token (J),Energy per Total Token (J),RAM Used (MB),RAM Free (MB),Swap Used (MB),KV Active Tokens,KV Active Ratio,Prompt Cache Entries,Prompt Cache Size (MB),Prompt Cache Limit (MB)
12,Qwen2.5-VL-3B,,117.48,73.02,190.50,0.205,124,2,126,1,Yes,yes,Is there a commercial building in the image?,3.81,3.96,10.10,54.0,2.00,0.0162,1.0022,0.0159,5576,2031,514,125,0.0038,0,0.000,0
13,Qwen2.5-VL-3B,,117.21,212.98,330.19,0.345,123,4,127,0,100,258,What is the amount of grass areas?,3.74,4.11,9.99,54.1,2.97,0.0242,0.7432,0.0234,5576,2031,514,128,0.0039,0,0.000,0
14,Qwen2.5-VL-3B,,116.89,72.97,189.86,0.206,122,2,124,1,Yes,yes,Are there more buildings than roads?,4.10,4.26,10.58,54.0,2.10,0.0172,1.0501,0.0169,5576,2031,514,123,0.0038,0,0.000,0
15,Qwen2.5-VL-3B,,124.41,72.95,197.35,0.212,122,2,124,0,1,44,How many village greens are there?,3.73,3.88,10.00,53.8,1.98,0.0163,0.9923,0.0160,5576,2031,514,123,0.0038,0,0.000,0
16,Qwen2.5-VL-3B,,117.12,72.94,190.06,0.204,123,2,125,1,Yes,yes,Are there less grass areas than buildings?,3.59,3.68,9.73,53.7,1.93,0.0157,0.9655,0.0154,5576,2031,514,124,0.0038,0,0.000,0
17,Qwen2.5-VL-3B,,117.20,212.84,330.05,0.345,123,4,127,0,100,19,How many medium residential buildings are there?,3.65,4.03,9.79,53.9,2.91,0.0237,0.7281,0.0229,5576,2031,514,128,0.0039,0,0.000,0
18,Qwen2.5-VL-3B,,159.56,73.00,232.56,0.247,125,2,127,1,Yes,yes,Is a circular grass area present in the image?,3.86,4.22,10.23,53.9,2.03,0.0162,1.0127,0.0159,5576,2031,514,126,0.0038,0,0.000,0
19,Qwen2.5-VL-3B,,117.17,73.00,190.17,0.205,123,2,125,0,1,27,What is the amount of pitchs?,3.90,3.99,10.24,54.1,2.04,0.0165,1.0177,0.0163,5576,2031,514,124,0.0038,0,0.000,0
20,Qwen2.5-VL-3B,,106.80,73.00,179.80,0.195,121,2,123,1,Yes,yes,Is there a village green?,3.64,3.76,9.78,53.8,0.98,0.0081,0.4897,0.0080,5576,2031,514,122,0.0037,0,0.000,0
21,Qwen2.5-VL-3B,,117.45,73.05,190.50,0.206,125,2,127,1,Yes,yes,Is a large commercial building present in the image?,3.88,4.03,10.25,54.2,2.05,0.0164,1.0231,0.0161,5576,2031,514,126,0.0038,0,0.000,0
22,Qwen2.5-VL-3B,,117.12,72.94,190.07,0.205,123,2,125,0,1,42,What is the number of water areas?,3.73,3.84,9.95,53.9,1.97,0.0161,0.9873,0.0158,5576,2031,514,124,0.0038,0,0.000,0
23,Qwen2.5-VL-3B,,118.68,73.14,191.82,0.207,128,2,130,1,No,no,Is the number of buildings equal to the number of water areas?,3.63,3.76,9.73,53.8,1.93,0.0151,0.9664,0.0149,5576,2031,514,129,0.0039,0,0.000,0
24,Qwen2.5-VL-3B,,106.35,73.07,179.42,0.193,121,2,123,1,Yes,yes,Is there a small road?,3.46,3.60,9.58,53.4,0.96,0.0079,0.4797,0.0078,5577,2030,514,122,0.0037,0,0.000,0
25,Qwen2.5-VL-3B,,105.79,72.93,178.72,0.194,121,2,123,0,Yes,no,Is there a rectangular road?,3.68,3.68,9.92,53.8,0.99,0.0082,0.4967,0.0081,5577,2030,514,122,0.0037,0,0.000,0
26,Qwen2.5-VL-3B,,116.81,72.84,189.66,0.205,122,2,124,0,2,1064,How many small roads are there?,3.99,4.11,10.46,54.0,2.09,0.0171,1.0450,0.0169,5577,2030,514,123,0.0038,0,0.000,0
27,Qwen2.5-VL-3B,,118.82,73.03,191.85,0.207,129,2,131,1,No,no,Is the number of residential buildings equal to the number of medium roads?,3.82,3.99,10.10,53.8,2.00,0.0155,1.0018,0.0153,5577,2030,514,130,0.0040,0,0.000,0
28,Qwen2.5-VL-3B,,117.41,73.02,190.43,0.205,124,2,126,1,Yes,yes,Are there more roads than rectangular water areas?,3.66,3.84,9.75,54.2,1.93,0.0156,0.9664,0.0153,5577,2030,514,125,0.0038,0,0.000,0
29,Qwen2.5-VL-3B,,117.13,73.00,190.13,0.205,123,2,125,0,0,2,How many circular residential buildings are there?,3.56,3.72,9.64,54.1,1.91,0.0155,0.9555,0.0153,5577,2030,514,124,0.0038,0,0.000,0
30,Qwen2.5-VL-3B,,106.69,72.95,179.65,0.194,121,2,123,1,Yes,yes,Is there a grass area?,3.48,3.68,9.52,53.5,0.95,0.0079,0.4768,0.0078,5577,2030,514,122,0.0037,0,0.000,0
31,Qwen2.5-VL-3B,,172.39,73.03,245.43,0.259,122,2,124,0,1,117,What is the amount of forests?,3.56,3.64,9.75,53.8,1.95,0.0160,0.9764,0.0157,5577,2030,514,123,0.0038,0,0.000,0
32,Qwen2.5-VL-3B,,117.14,73.02,190.15,0.204,123,2,125,0,1,19,How many rectangular commercial buildings are there?,3.82,3.96,10.21,54.0,2.03,0.0165,1.0161,0.0163,5576,2031,514,124,0.0038,0,0.000,0
33,Qwen2.5-VL-3B,,106.49,73.00,179.50,0.194,120,2,122,1,Yes,yes,Is a forest present?,3.66,3.84,9.86,53.4,0.99,0.0082,0.4937,0.0081,5573,2034,517,121,0.0037,0,0.000,0
34,Qwen2.5-VL-3B,,117.28,72.97,190.25,0.205,123,2,125,0,4,498,How many farmlands are there?,3.89,4.03,10.18,54.0,2.03,0.0165,1.0167,0.0163,5573,2034,517,124,0.0038,0,0.000,0
35,Qwen2.5-VL-3B,,118.03,72.97,191.00,0.206,126,2,128,0,Yes,no,Are there less buildings than grass areas in the image?,3.74,3.92,10.00,53.8,1.98,0.0157,0.9913,0.0155,5573,2034,517,127,0.0039,0,0.000,0
36,Qwen2.5-VL-3B,,116.84,72.98,189.82,0.205,122,2,124,1,Yes,yes,Is a rectangular water area present?,3.59,3.72,9.76,53.9,1.93,0.0159,0.9674,0.0156,5574,2033,517,123,0.0038,0,0.000,0
37,Qwen2.5-VL-3B,,117.48,144.64,262.12,0.277,124,3,127,0,10,104,What is the number of small grass areas?,3.55,3.68,9.59,53.8,1.90,0.0153,0.6337,0.0150,5574,2033,517,127,0.0039,0,0.000,0
38,Qwen2.5-VL-3B,,106.70,73.02,179.72,0.194,121,2,123,0,No,yes,Is there a circular parking?,3.92,4.03,10.19,54.2,1.02,0.0084,0.5101,0.0083,5574,2033,517,122,0.0037,0,0.000,0
39,Qwen2.5-VL-3B,,117.10,72.92,190.02,0.205,123,2,125,1,Yes,yes,Are there less roads than residential buildings?,4.03,4.15,10.52,54.2,2.10,0.0171,1.0510,0.0168,5574,2033,517,124,0.0038,0,0.000,0
40,Qwen2.5-VL-3B,,117.40,72.79,190.18,0.205,124,2,126,0,1,3,What is the amount of square grass areas?,3.88,4.15,10.15,54.0,2.01,0.0162,1.0047,0.0159,5574,2033,517,125,0.0038,0,0.000,0
41,Qwen2.5-VL-3B,,117.11,72.92,190.03,0.205,123,2,125,1,No,no,Are there more commercial buildings than roads?,3.68,3.92,9.76,54.0,1.93,0.0157,0.9655,0.0154,5574,2033,517,124,0.0038,0,0.000,0
42,Qwen2.5-VL-3B,,106.66,72.87,179.52,0.194,121,2,123,1,Yes,yes,Is a small building present?,3.56,3.80,9.54,53.6,0.96,0.0079,0.4778,0.0078,5574,2033,517,122,0.0037,0,0.000,0
43,Qwen2.5-VL-3B,,106.08,72.88,178.95,0.194,120,2,122,0,No,yes,Is there a parking?,3.64,3.64,9.76,54.0,0.98,0.0081,0.4887,0.0080,5574,2033,517,121,0.0037,0,0.000,0
44,Qwen2.5-VL-3B,,117.05,72.85,189.90,0.205,123,2,125,0,1,2,How many large commercial buildings are there?,3.94,4.07,10.37,54.0,2.07,0.0169,1.0370,0.0166,5574,2033,517,124,0.0038,0,0.000,0
45,Qwen2.5-VL-3B,,117.39,72.89,190.28,0.205,124,2,126,0,No,yes,Are there more commercial buildings than residential areas?,3.78,4.11,10.10,53.9,2.00,0.0161,0.9992,0.0159,5574,2033,517,125,0.0038,0,0.000,0
46,Qwen2.5-VL-3B,,106.31,72.86,179.17,0.194,126,2,128,0,Yes,no,Are there more commercial buildings than forests in the image?,3.60,3.88,9.82,53.7,0.98,0.0078,0.4917,0.0077,5574,2033,517,127,0.0039,0,0.000,0
47,Qwen2.5-VL-3B,,117.10,72.94,190.04,0.205,123,2,125,1,0,0,What is the amount of circular roads?,3.73,3.88,10.05,54.2,2.01,0.0164,1.0061,0.0161,5574,2033,517,124,0.0038,0,0.000,0
48,Qwen2.5-VL-3B,,118.52,73.00,191.52,0.206,128,2,130,1,No,no,Is the number of residential buildings equal to the number of roads?,3.74,4.07,10.00,54.2,1.98,0.0155,0.9893,0.0152,5574,2033,517,129,0.0039,0,0.000,0
49,Qwen2.5-VL-3B,,106.37,72.91,179.28,0.194,121,2,123,0,Yes,no,Is there a square road?,3.62,3.92,9.74,53.9,0.98,0.0081,0.4877,0.0079,5574,2033,517,122,0.0037,0,0.000,0
50,Qwen2.5-VL-3B,,117.58,72.89,190.47,0.206,125,2,127,1,Yes,yes,Are there less commercial buildings than farmlands?,3.76,3.92,9.97,54.2,2.00,0.0160,0.9992,0.0157,5574,2033,517,126,0.0038,0,0.000,0
51,Qwen2.5-VL-3B,,117.58,72.88,190.46,0.205,125,2,127,1,Yes,yes,Is there a small residential building in the image?,3.78,4.15,9.94,54.2,1.97,0.0157,0.9839,0.0155,5574,2033,517,126,0.0038,0,0.000,0
52,Qwen2.5-VL-3B,,117.17,72.95,190.12,0.205,123,2,125,0,No,yes,Are there less grass areas than roads?,3.64,3.96,9.76,54.2,1.93,0.0157,0.9664,0.0155,5574,2033,517,124,0.0038,0,0.000,0
53,Qwen2.5-VL-3B,,106.73,72.87,179.60,0.193,121,2,123,0,Yes,no,Is a large road present?,3.54,3.84,9.70,53.8,0.97,0.0080,0.4857,0.0079,5574,2033,517,122,0.0037,0,0.000,0
54,Qwen2.5-VL-3B,,117.95,72.90,190.85,0.206,127,2,129,1,No,no,Is the number of buildings equal to the number of roads?,3.70,3.88,9.89,54.4,1.98,0.0156,0.9922,0.0154,5574,2033,517,128,0.0039,0,0.000,0
55,Qwen2.5-VL-3B,,117.43,72.94,190.37,0.205,124,2,126,0,1,72,What is the number of small commercial buildings?,3.73,4.11,10.00,54.3,1.98,0.0160,0.9902,0.0157,5574,2033,517,125,0.0038,0,0.000,0
56,Qwen2.5-VL-3B,,106.67,280.91,387.58,0.402,124,5,129,0,1000,2,What is the amount of square residential buildings?,3.82,4.26,10.10,54.3,3.99,0.0322,0.7984,0.0309,5574,2033,517,131,0.0040,0,0.000,0
57,Qwen2.5-VL-3B,,117.43,72.86,190.30,0.205,124,2,126,1,Yes,yes,Are there less parkings than residential buildings?,3.99,4.38,10.44,54.2,2.07,0.0167,1.0335,0.0164,5574,2033,517,125,0.0038,0,0.000,0
58,Qwen2.5-VL-3B,,149.81,72.93,222.74,0.238,124,2,126,1,Yes,yes,Is there a farmland in the image?,3.64,4.03,9.89,54.1,1.96,0.0158,0.9814,0.0156,5574,2033,517,125,0.0038,0,0.000,0
59,Qwen2.5-VL-3B,,161.01,72.92,233.94,0.249,121,2,123,1,Yes,yes,Is there a orchard?,3.53,3.84,9.76,54.1,1.94,0.0161,0.9714,0.0158,5574,2033,517,122,0.0037,0,0.000,0
60,Qwen2.5-VL-3B,,106.08,72.87,178.95,0.194,122,2,124,1,Yes,yes,Is there a rectangular residential building?,3.56,3.72,9.78,54.2,0.98,0.0080,0.4897,0.0079,5574,2033,517,123,0.0038,0,0.000,0
61,Qwen2.5-VL-3B,,117.36,72.81,190.17,0.205,124,2,126,1,Yes,yes,Are there less commercial buildings than grass areas?,3.81,3.99,10.13,54.3,2.02,0.0163,1.0122,0.0161,5574,2033,517,125,0.0038,0,0.000,0
62,Qwen2.5-VL-3B,,105.75,72.86,178.61,0.193,124,2,126,1,No,no,Are there less commercial buildings than water areas?,3.72,3.99,9.96,53.8,1.00,0.0080,0.4986,0.0079,5574,2033,517,125,0.0038,0,0.000,0
63,Qwen2.5-VL-3B,,117.33,72.89,190.22,0.205,124,2,126,1,Yes,yes,Is there a residential area in the image?,3.86,4.03,10.10,54.1,2.02,0.0163,1.0091,0.0160,5574,2033,517,125,0.0038,0,0.000,0
64,Qwen2.5-VL-3B,,118.57,72.87,191.44,0.206,129,2,131,1,No,no,Is the number of commercial buildings equal to the number of water areas?,3.77,4.07,9.94,54.2,1.97,0.0152,0.9829,0.0150,5574,2033,517,130,0.0040,0,0.000,0
65,Qwen2.5-VL-3B,,117.42,72.93,190.35,0.205,124,2,126,1,0,0,What is the amount of square commercial buildings?,3.61,3.88,9.69,54.2,1.92,0.0155,0.9585,0.0152,5574,2033,517,125,0.0038,0,0.000,0
66,Qwen2.5-VL-3B,,116.81,72.94,189.76,0.204,122,2,124,0,1,0,How many medium roads are there?,3.55,3.80,9.62,54.2,1.90,0.0156,0.9505,0.0153,5574,2033,517,123,0.0038,0,0.000,0
67,Qwen2.5-VL-3B,,117.12,72.91,190.03,0.205,123,2,125,1,Yes,yes,Are there more buildings than water areas?,3.49,3.72,9.56,54.2,1.89,0.0154,0.9456,0.0151,5574,2033,517,124,0.0038,0,0.000,0
68,Qwen2.5-VL-3B,,116.84,72.88,189.72,0.204,124,2,126,1,Yes,yes,Are there less medium grass areas than roads?,3.46,3.68,9.54,54.1,1.89,0.0152,0.9426,0.0150,5574,2033,517,125,0.0038,0,0.000,0
69,Qwen2.5-VL-3B,,116.84,72.86,189.70,0.204,122,2,124,0,1,11,How many orchards are there?,3.49,3.72,9.54,54.2,1.89,0.0155,0.9426,0.0152,5574,2033,517,123,0.0038,0,0.000,0
70,Qwen2.5-VL-3B,,117.57,72.91,190.47,0.205,125,2,127,1,Yes,yes,Is there a medium residential building in the image?,3.49,3.72,9.46,54.1,1.87,0.0150,0.9346,0.0147,5574,2033,517,126,0.0038,0,0.000,0
71,Qwen2.5-VL-3B,,118.16,72.89,191.06,0.206,128,2,130,1,No,no,Is the number of roads equal to the number of water areas?,3.49,3.72,9.52,54.2,1.88,0.0147,0.9416,0.0145,5574,2033,517,129,0.0039,0,0.000,0
72,Qwen2.5-VL-3B,,117.68,72.91,190.59,0.205,125,2,127,0,Yes,no,Are there more medium water areas than commercial buildings?,3.46,3.68,9.55,54.1,1.89,0.0151,0.9436,0.0149,5574,2033,517,126,0.0038,0,0.000,0
73,Qwen2.5-VL-3B,,116.94,72.87,189.81,0.203,124,2,126,1,Yes,yes,Are there less grass areas than residential buildings?,3.51,3.76,9.50,54.3,1.88,0.0151,0.9386,0.0149,5574,2033,517,125,0.0038,0,0.000,0
74,Qwen2.5-VL-3B,,117.40,72.90,190.30,0.205,124,2,126,1,1,1,What is the amount of square water areas?,3.46,3.68,9.52,54.3,1.88,0.0152,0.9416,0.0149,5574,2033,517,125,0.0038,0,0.000,0
75,Qwen2.5-VL-3B,,106.15,72.92,179.07,0.194,124,2,126,0,2,3,What is the amount of circular grass areas?,3.42,3.68,9.50,53.8,0.95,0.0077,0.4758,0.0076,5574,2033,517,125,0.0038,0,0.000,0
76,Qwen2.5-VL-3B,,106.64,72.88,179.52,0.194,121,2,123,1,Yes,yes,Is there a large building?,3.54,3.56,9.72,54.2,0.97,0.0080,0.4867,0.0079,5575,2032,517,122,0.0037,0,0.000,0
77,Qwen2.5-VL-3B,,106.56,72.80,179.36,0.194,122,2,124,1,Yes,yes,Is a circular water area present?,3.88,3.92,10.26,54.5,1.03,0.0084,0.5135,0.0083,5575,2032,517,123,0.0038,0,0.000,0
78,Qwen2.5-VL-3B,,117.93,72.87,190.80,0.206,126,2,128,0,1,3,What is the amount of large buildings in the image?,4.10,4.15,10.57,54.4,2.11,0.0168,1.0575,0.0165,5575,2032,517,127,0.0039,0,0.000,0
79,Qwen2.5-VL-3B,,117.63,72.97,190.60,0.205,125,2,127,0,Yes,no,Is there a square farmland in the image?,3.94,4.34,10.23,54.2,2.03,0.0162,1.0127,0.0159,5575,2032,517,126,0.0038,0,0.000,0
80,Qwen2.5-VL-3B,,117.44,72.92,190.37,0.205,124,2,126,1,No,no,Are there less residential buildings than water areas?,3.70,4.03,9.91,54.3,1.96,0.0158,0.9803,0.0156,5575,2032,517,125,0.0038,0,0.000,0
81,Qwen2.5-VL-3B,,106.64,72.86,179.50,0.194,124,2,126,1,Yes,yes,Are there less circular residential buildings than roads?,3.64,3.96,9.72,54.1,0.97,0.0078,0.4867,0.0077,5575,2032,517,125,0.0038,0,0.000,0
82,Qwen2.5-VL-3B,,118.75,72.84,191.59,0.205,129,2,131,1,No,no,Is the number of commercial buildings equal to the number of pitchs?,3.74,3.92,9.88,54.2,1.98,0.0154,0.9903,0.0151,5575,2032,517,130,0.0040,0,0.000,0
83,Qwen2.5-VL-3B,,118.02,72.94,190.96,0.206,126,2,128,1,Yes,yes,Are there less commercial buildings than roads in the image?,3.76,4.11,9.99,54.2,1.98,0.0157,0.9898,0.0155,5575,2032,517,127,0.0039,0,0.000,0
84,Qwen2.5-VL-3B,,118.81,72.90,191.71,0.207,129,2,131,0,No,yes,Is there a commercial building at the bottom of the  circular forest?,3.64,3.99,9.73,54.2,1.93,0.0149,0.9635,0.0147,5575,2032,517,130,0.0040,0,0.000,0
85,Qwen2.5-VL-3B,,117.39,72.92,190.31,0.205,124,2,126,1,Yes,yes,Are there less small grass areas than buildings?,3.36,3.52,9.38,54.2,1.87,0.0151,0.9366,0.0149,5575,2032,517,125,0.0038,0,0.000,0
86,Qwen2.5-VL-3B,,117.16,72.98,190.14,0.205,125,2,127,1,No,no,Are there more water areas than small grass areas?,3.32,3.48,9.34,54.2,1.87,0.0149,0.9327,0.0147,5575,2032,517,126,0.0038,0,0.000,0
87,Qwen2.5-VL-3B,,116.83,72.94,189.77,0.204,122,2,124,1,Yes,yes,Is there a small commercial building?,3.52,3.84,9.64,54.2,1.91,0.0156,0.9545,0.0154,5575,2032,517,123,0.0038,0,0.000,0
88,Qwen2.5-VL-3B,,118.65,72.91,191.57,0.206,129,2,131,1,No,no,Is the number of water areas equal to the number of rectangular buildings?,3.56,3.88,9.58,54.2,1.90,0.0147,0.9476,0.0145,5575,2032,517,130,0.0040,0,0.000,0
89,Qwen2.5-VL-3B,,106.66,72.93,179.59,0.193,122,2,124,1,Yes,yes,Is there a square water area?,3.25,3.25,9.21,53.6,0.92,0.0076,0.4609,0.0074,5575,2032,517,123,0.0038,0,0.000,0
90,Qwen2.5-VL-3B,,105.73,72.85,178.58,0.193,122,2,124,0,Yes,no,Is there a square village green?,3.76,3.80,10.04,54.1,1.01,0.0082,0.5026,0.0081,5575,2032,517,123,0.0038,0,0.000,0
91,Qwen2.5-VL-3B,,117.35,72.90,190.25,0.205,124,2,126,0,No,yes,Are there less circular buildings than water areas?,4.03,4.03,10.48,54.2,2.10,0.0169,1.0491,0.0167,5575,2032,517,125,0.0038,0,0.000,0
92,Qwen2.5-VL-3B,,116.86,72.90,189.76,0.203,122,2,124,1,Yes,yes,Is there a rectangular commercial building?,3.73,3.76,9.89,54.1,1.98,0.0162,0.9912,0.0160,5575,2032,517,123,0.0038,0,0.000,0
93,Qwen2.5-VL-3B,,118.24,72.90,191.14,0.206,128,2,130,1,No,no,Is the number of forests equal to the number of water areas?,3.55,3.60,9.63,54.3,1.93,0.0151,0.9654,0.0149,5575,2032,517,129,0.0039,0,0.000,0
94,Qwen2.5-VL-3B,,106.33,72.96,179.29,0.194,121,2,123,0,No,yes,Is a circular building present?,3.42,3.48,9.50,54.3,0.95,0.0079,0.4758,0.0077,5575,2032,517,122,0.0037,0,0.000,0
95,Qwen2.5-VL-3B,,118.25,72.86,191.11,0.206,128,2,130,1,No,no,Is the number of roads equal to the number of commercial buildings?,3.94,4.15,10.27,54.7,2.05,0.0160,1.0236,0.0157,5575,2032,517,129,0.0039,0,0.000,0
96,Qwen2.5-VL-3B,,105.44,72.97,178.42,0.193,127,2,129,1,No,no,Is the number of roads equal to the number of forests?,3.62,3.64,9.72,54.4,0.97,0.0077,0.4867,0.0075,5575,2032,517,128,0.0039,0,0.000,0
97,Qwen2.5-VL-3B,,117.11,72.90,190.01,0.205,123,2,125,0,Yes,no,Are there less forests than commercial buildings?,4.02,4.19,10.38,54.7,2.07,0.0168,1.0345,0.0166,5575,2032,517,124,0.0038,0,0.000,0
98,Qwen2.5-VL-3B,,116.83,72.93,189.77,0.204,124,2,126,1,Yes,yes,Are there more grass areas than square buildings?,3.76,3.96,9.96,54.5,1.98,0.0160,0.9923,0.0158,5575,2032,517,125,0.0038,0,0.000,0
99,Qwen2.5-VL-3B,,106.70,72.89,179.59,0.193,121,2,123,1,Yes,yes,Is there a square building?,3.48,3.52,9.56,54.2,0.96,0.0079,0.4787,0.0078,5575,2032,517,122,0.0037,0,0.000,0
100,Qwen2.5-VL-3B,,593.71,144.70,738.41,0.763,124,3,127,1,Rural,rural,Is it a rural or an urban area,4.28,4.66,10.88,55.0,7.63,0.0615,2.5439,0.0601,5575,2032,517,127,0.0039,0,0.000,0
101,Qwen2.5-VL-3B,,117.98,72.80,190.78,0.205,126,2,128,0,0,5,What is the number of commercial buildings in the image?,4.58,4.82,11.24,55.1,2.24,0.0178,1.1196,0.0175,5576,2031,517,127,0.0039,0,0.000,0
102,Qwen2.5-VL-3B,,106.62,72.90,179.52,0.194,121,2,123,0,No,yes,Is there a residential building?,4.11,4.46,10.59,54.5,1.06,0.0088,0.5300,0.0086,5576,2031,517,122,0.0037,0,0.000,0
103,Qwen2.5-VL-3B,,106.06,72.94,179.01,0.193,120,2,122,1,Yes,yes,Is a road present?,3.99,3.99,10.37,54.5,1.04,0.0087,0.5191,0.0085,5576,2031,517,121,0.0037,0,0.000,0
104,Qwen2.5-VL-3B,,105.79,72.85,178.64,0.193,120,2,122,1,Yes,yes,Is a building present?,4.11,4.11,10.62,54.8,1.06,0.0089,0.5315,0.0087,5576,2031,517,121,0.0037,0,0.000,0
105,Qwen2.5-VL-3B,,116.82,72.86,189.68,0.204,122,2,124,0,2,202,How many small roads are there?,4.20,4.22,10.83,54.7,2.17,0.0178,1.0858,0.0175,5576,2031,517,123,0.0038,0,0.000,0
106,Qwen2.5-VL-3B,,106.70,72.98,179.69,0.194,121,2,123,1,Yes,yes,Is a farmland present?,4.03,4.38,10.51,54.7,1.05,0.0087,0.5260,0.0086,5576,2031,517,122,0.0037,0,0.000,0
107,Qwen2.5-VL-3B,,106.05,72.89,178.94,0.193,121,2,123,1,Yes,yes,Is a grass area present?,3.90,3.96,10.36,54.5,1.04,0.0086,0.5185,0.0084,5576,2031,517,122,0.0037,0,0.000,0
108,Qwen2.5-VL-3B,,117.67,72.91,190.58,0.204,125,2,127,1,Yes,yes,Are there less commercial buildings than farmlands?,4.15,4.15,10.72,54.5,2.15,0.0172,1.0739,0.0169,5576,2031,517,126,0.0038,0,0.000,0
109,Qwen2.5-VL-3B,,106.63,72.86,179.48,0.194,121,2,123,0,1,202,How many roads are there?,3.68,3.68,10.00,53.9,1.00,0.0083,0.5006,0.0081,5576,2031,517,122,0.0037,0,0.000,0
110,Qwen2.5-VL-3B,,118.80,72.95,191.75,0.206,129,2,131,1,No,no,Is the number of residential buildings equal to the number of water areas?,3.99,3.99,10.45,54.7,2.09,0.0162,1.0459,0.0160,5576,2031,517,130,0.0040,0,0.000,0
111,Qwen2.5-VL-3B,,106.34,72.91,179.26,0.194,121,2,123,1,Yes,yes,Is there a rectangular building?,3.70,3.72,9.84,54.3,0.99,0.0081,0.4926,0.0080,5576,2031,517,122,0.0037,0,0.000,0
112,Qwen2.5-VL-3B,,117.36,72.88,190.24,0.204,124,2,126,1,Yes,yes,Are there more water areas than commercial buildings?,4.10,4.27,10.54,55.0,2.10,0.0169,1.0506,0.0167,5576,2031,517,125,0.0038,0,0.000,0
113,Qwen2.5-VL-3B,,106.35,72.96,179.31,0.194,120,2,122,1,Yes,yes,Is a forest present?,3.70,3.72,9.86,54.6,0.99,0.0082,0.4936,0.0081,5576,2031,517,121,0.0037,0,0.000,0
