question_id,latency_sec,correct,model_response,ground_truth,question_text,avg_cpu_gpu_cv_w,max_cpu_gpu_cv_w,integrated_cpu_gpu_cv_w,avg_vdd_soc_w,max_vdd_soc_w,integrated_vdd_soc_w,avg_vdd_in_w,max_vdd_in_w,integrated_vdd_in_w,max_gpu_temp_c
59,9.819,0,No,yes,Is there a orchard?,0.99,1.95,0.98,1.71,2.03,1.72,6.08,7.48,6.09,50.0
60,11.698,1,Yes,yes,Is there a rectangular residential building?,0.96,1.87,0.96,1.72,2.07,1.71,6.15,7.80,6.14,50.0
61,11.614,0,No,yes,Are there less commercial buildings than grass areas?,0.92,1.95,0.92,1.71,2.03,1.71,6.08,7.68,6.06,50.0
62,14.769,1,No,no,Are there less commercial buildings than water areas?,0.84,1.95,0.83,1.69,2.03,1.69,5.90,7.48,5.90,50.0
63,14.714,1,Yes,yes,Is there a residential area in the image?,0.83,1.95,0.82,1.69,2.03,1.68,5.90,7.68,5.89,50.1
64,10.609,1,No,no,Is the number of commercial buildings equal to the number of water areas?,0.98,1.99,0.97,1.72,2.07,1.72,6.14,7.68,6.12,50.0
65,10.727,0,1,0,What is the amount of square commercial buildings?,1.00,1.99,1.00,1.72,2.03,1.72,6.20,7.80,6.19,50.1
66,12.720,0,3,0,How many medium roads are there?,0.88,1.95,0.87,1.63,2.03,1.64,5.80,7.68,5.81,50.0
67,13.578,1,Yes,yes,Are there more buildings than water areas?,0.86,1.95,0.87,1.69,2.03,1.70,5.93,7.68,5.95,50.0
68,13.927,0,No,yes,Are there less medium grass areas than roads?,0.85,1.95,0.85,1.68,2.03,1.69,5.90,7.60,5.91,49.8
69,10.957,0,2,11,How many orchards are there?,0.97,1.95,0.97,1.71,2.03,1.71,6.11,7.68,6.10,50.0
70,11.981,0,No,yes,Is there a medium residential building in the image?,0.91,1.95,0.91,1.70,2.03,1.70,6.03,7.52,6.03,50.0
71,11.713,1,No,no,Is the number of roads equal to the number of water areas?,0.98,1.99,0.97,1.72,2.07,1.72,6.17,7.72,6.15,50.0
72,11.454,0,Yes,no,Are there more medium water areas than commercial buildings?,0.96,1.99,0.95,1.72,2.03,1.71,6.12,7.76,6.10,50.0
73,10.913,0,No,yes,Are there less grass areas than residential buildings?,0.99,1.99,0.97,1.72,2.03,1.72,6.17,7.68,6.13,50.1
74,15.540,0,2,1,What is the amount of square water areas?,0.82,1.95,0.83,1.68,2.03,1.68,5.90,7.72,5.90,49.9
75,10.953,1,3,3,What is the amount of circular grass areas?,0.94,1.99,0.93,1.68,2.03,1.69,6.00,7.56,6.01,50.1
76,10.427,1,Yes,yes,Is there a large building?,0.98,1.99,0.97,1.72,2.03,1.72,6.16,7.60,6.14,50.2
77,11.879,1,Yes,yes,Is a circular water area present?,0.89,1.95,0.89,1.70,2.03,1.70,6.01,7.68,6.00,50.0
78,11.466,0,1,3,What is the amount of large buildings in the image?,0.94,1.95,0.92,1.69,2.03,1.69,6.01,7.60,6.00,50.0
79,12.913,0,Yes,no,Is there a square farmland in the image?,0.95,2.07,0.95,1.68,2.03,1.68,6.06,7.80,6.06,50.1
80,14.836,1,No,no,Are there less residential buildings than water areas?,0.86,1.95,0.85,1.69,2.03,1.69,5.94,7.48,5.91,50.0
81,9.443,0,No,yes,Are there less circular residential buildings than roads?,1.05,1.95,1.03,1.74,2.03,1.73,6.23,7.72,6.20,50.0
82,13.200,1,No,no,Is the number of commercial buildings equal to the number of pitchs?,0.86,1.95,0.86,1.69,2.03,1.69,5.93,7.64,5.92,50.1
83,11.627,0,No,yes,Are there less commercial buildings than roads in the image?,0.93,1.95,0.92,1.71,2.03,1.70,6.05,7.68,6.04,50.1
84,12.621,1,Yes,yes,Is there a commercial building at the bottom of the  circular forest?,0.92,1.95,0.91,1.70,2.03,1.69,6.04,7.56,6.01,50.1
85,13.669,0,No,yes,Are there less small grass areas than buildings?,0.88,1.99,0.84,1.70,2.03,1.69,5.98,7.52,5.91,50.0
86,10.076,0,Yes,no,Are there more water areas than small grass areas?,1.00,1.95,1.00,1.72,2.03,1.72,6.15,7.56,6.14,50.2
87,14.080,1,Yes,yes,Is there a small commercial building?,0.85,1.95,0.84,1.69,2.03,1.68,5.93,7.58,5.92,50.0
88,13.358,1,No.,no,Is the number of water areas equal to the number of rectangular buildings?,0.89,1.99,0.87,1.54,2.07,1.51,5.53,7.68,5.42,50.0
89,13.727,0,No,yes,Is there a square water area?,0.85,1.95,0.85,1.69,2.03,1.69,5.91,7.68,5.91,49.9
90,11.752,0,Yes,no,Is there a square village green?,0.93,1.95,0.93,1.70,2.03,1.70,6.08,7.84,6.07,50.0
91,14.456,0,No,yes,Are there less circular buildings than water areas?,0.82,1.95,0.82,1.68,2.03,1.68,5.88,7.76,5.88,50.0
92,9.492,1,Yes,yes,Is there a rectangular commercial building?,1.05,1.99,1.04,1.74,2.03,1.74,6.24,7.52,6.23,50.0
93,14.412,1,No,no,Is the number of forests equal to the number of water areas?,0.90,2.11,0.89,1.69,2.03,1.69,6.01,7.96,5.99,50.1
94,10.197,0,No,yes,Is a circular building present?,1.02,1.99,1.02,1.73,2.03,1.73,6.20,7.72,6.20,50.1
95,10.394,1,No,no,Is the number of roads equal to the number of commercial buildings?,1.00,1.95,0.99,1.72,2.03,1.72,6.17,7.56,6.16,50.0
96,13.708,1,No,no,Is the number of roads equal to the number of forests?,0.87,1.99,0.86,1.67,2.03,1.67,5.89,7.72,5.89,50.0
97,9.747,1,No,no,Are there less forests than commercial buildings?,1.01,1.95,1.00,1.73,2.03,1.72,6.17,7.52,6.15,50.0
98,12.752,1,Yes,yes,Are there more grass areas than square buildings?,0.88,1.95,0.87,1.70,2.03,1.69,5.98,7.68,5.97,50.1
99,10.357,1,Yes,yes,Is there a square building?,1.02,1.95,1.03,1.73,2.03,1.74,6.18,7.84,6.21,50.1
100,11.053,1,Rural,rural,Is it a rural or an urban area,1.02,2.03,1.02,1.73,2.03,1.73,6.23,7.60,6.22,50.1
101,13.752,0,0,5,What is the number of commercial buildings in the image?,0.87,1.99,0.87,1.69,2.03,1.69,5.97,7.72,5.97,50.1
102,11.587,0,No,yes,Is there a residential building?,0.94,1.99,0.92,1.71,2.03,1.71,6.08,7.72,6.05,50.1
103,11.082,1,Yes,yes,Is a road present?,0.95,1.95,0.94,1.72,2.03,1.71,6.07,7.56,6.05,50.1
104,10.016,1,Yes,yes,Is a building present?,0.99,1.95,0.98,1.73,2.03,1.73,6.12,7.52,6.11,50.0
105,15.290,0,10,202,How many small roads are there?,0.85,1.95,0.85,1.68,2.07,1.68,5.90,7.88,5.91,50.1
106,16.082,1,Yes,yes,Is a farmland present?,0.80,1.95,0.80,1.67,2.03,1.68,5.83,7.48,5.84,50.2
107,17.053,1,Yes,yes,Is a grass area present?,0.83,1.91,0.82,1.67,1.99,1.67,5.91,7.60,5.90,49.9
108,10.815,0,No,yes,Are there less commercial buildings than farmlands?,0.99,2.03,0.97,1.71,2.03,1.71,6.14,7.68,6.12,50.1
109,14.194,0,10,202,How many roads are there?,0.87,1.95,0.87,1.70,2.03,1.70,5.97,7.44,5.96,50.0
110,12.833,1,No,no,Is the number of residential buildings equal to the number of water areas?,0.90,1.99,0.90,1.70,2.03,1.70,6.00,7.76,6.00,50.0
111,12.183,1,Yes,yes,Is there a rectangular building?,0.92,1.95,0.92,1.71,2.03,1.71,6.03,7.60,6.02,50.1
112,12.575,0,No,yes,Are there more water areas than commercial buildings?,0.89,1.99,0.89,1.68,2.03,1.69,5.97,7.64,5.98,50.2
113,13.447,1,Yes,yes,Is a forest present?,0.93,2.03,0.88,1.69,2.03,1.69,6.00,7.64,5.94,50.1
114,16.369,0,2,230,What is the amount of buildings in the image?,0.79,1.95,0.79,1.68,2.03,1.68,5.83,7.64,5.82,50.1
115,12.769,0,2,224,What is the number of residential buildings?,0.93,1.95,0.91,1.71,1.99,1.71,6.09,7.60,6.05,50.0
116,12.975,0,No,yes,Are there more buildings than farmlands?,0.86,2.03,0.85,1.69,2.03,1.69,5.95,7.68,5.94,50.0
117,13.604,0,Yes,no,Are there more grass areas than buildings?,0.88,1.99,0.87,1.70,2.03,1.70,5.98,7.72,5.96,50.1
118,11.210,0,No,yes,Is a water area present?,1.00,1.95,0.93,1.71,2.03,1.70,6.12,7.68,6.03,49.9
119,9.841,1,No,no,Is the number of water areas equal to the number of commercial buildings in the image?,1.03,1.95,1.02,1.73,2.03,1.73,6.20,7.64,6.19,50.0
120,13.443,0,No,yes,Is there a commercial building?,0.89,2.15,0.88,1.69,1.99,1.69,5.99,7.76,5.98,50.0
121,12.687,0,1,90,What is the amount of forests?,0.90,1.95,0.90,1.70,2.03,1.70,6.01,7.68,6.01,50.0
122,18.752,1,No,no,Are there less residential buildings than water areas?,0.76,1.95,0.76,1.66,2.03,1.66,5.78,7.44,5.78,50.0
123,15.582,0,1,14,What is the number of water areas?,0.84,1.99,0.82,1.69,2.03,1.68,5.91,7.60,5.86,50.0
124,11.985,1,No,no,Is the number of buildings equal to the number of roads?,0.94,1.95,0.93,1.71,2.03,1.71,6.06,7.72,6.05,49.9
125,13.428,1,No,no,Is the number of grass areas equal to the number of water areas?,0.86,1.95,0.86,1.69,1.99,1.69,5.94,7.48,5.94,49.8
126,10.493,1,No,no,Are there more water areas than roads?,1.02,1.95,1.01,1.72,2.03,1.72,6.18,7.46,6.16,49.9
127,10.751,0,1,5,What is the amount of orchards?,1.00,2.11,1.01,1.69,2.03,1.71,6.10,7.76,6.16,50.0
128,14.191,1,Yes,yes,Are there more roads than water areas?,0.84,1.95,0.84,1.69,1.99,1.69,5.92,7.60,5.92,50.0
129,13.474,1,No,no,Are there more small commercial buildings than forests?,0.89,1.95,0.88,1.70,2.03,1.70,6.02,7.76,6.00,49.9
130,11.850,1,No,no,Is the number of water areas equal to the number of circular roads?,0.95,2.03,0.95,1.71,2.03,1.71,6.13,7.76,6.13,50.1
131,12.284,0,1,0,What is the amount of square residential buildings?,0.91,1.95,0.89,1.71,2.03,1.70,6.03,7.64,6.00,50.0
132,11.800,1,No,no,Is the number of grass areas equal to the number of buildings?,0.91,1.95,0.90,1.70,2.03,1.70,6.00,7.52,5.99,50.1
133,10.830,1,Yes,yes,Is a rectangular farmland present?,0.98,1.95,0.98,1.72,2.03,1.72,6.16,7.56,6.16,50.2
134,13.265,0,10,126,How many grass areas are there?,0.94,1.99,0.94,1.72,2.07,1.72,6.14,7.84,6.13,50.2
135,15.430,0,1,63,How many large forests are there?,0.81,1.95,0.81,1.68,2.07,1.68,5.85,8.00,5.84,50.2
136,11.830,0,1,77,What is the amount of large farmlands?,0.94,1.87,0.92,1.65,2.03,1.65,5.89,7.80,5.90,50.0
137,10.600,0,2,76,How many large grass areas are there?,1.02,1.95,0.98,1.72,2.03,1.71,6.18,7.84,6.12,50.2
138,12.338,0,No,yes,Are there less water areas than forests?,0.92,1.95,0.93,1.70,2.03,1.70,6.04,7.68,6.06,50.1
139,12.096,1,No,no,Are there less roads than forests?,0.92,1.99,0.92,1.70,2.03,1.70,6.07,7.72,6.06,50.0
140,17.029,0,No,yes,Is there a medium commercial building?,0.81,1.95,0.81,1.68,1.99,1.68,5.86,7.56,5.86,50.1
141,11.792,0,15,78,What is the number of farmlands?,0.96,1.99,0.96,1.73,2.11,1.73,6.12,7.92,6.11,50.1
142,12.761,0,2,217,What is the number of small residential buildings in the image?,0.92,1.95,0.91,1.71,2.03,1.71,6.04,7.58,6.02,50.0
143,11.143,1,No,no,Is the number of residential buildings equal to the number of roads?,0.96,1.95,0.96,1.72,1.99,1.72,6.10,7.40,6.10,50.0
144,11.722,0,1,0,What is the amount of square commercial buildings?,0.93,1.99,0.92,1.69,2.03,1.69,6.03,7.56,6.03,50.1
145,12.462,0,1,0,What is the number of medium roads?,0.93,1.95,0.92,1.71,2.03,1.71,6.07,7.68,6.05,50.0
146,12.792,1,No,no,Is a square residential building present?,0.91,1.99,0.90,1.70,2.03,1.70,6.05,7.72,6.04,50.0
147,12.917,1,No,no,Is the number of circular commercial buildings equal to the number of farmlands?,0.93,1.99,0.92,1.70,2.03,1.70,6.08,7.68,6.05,49.9
148,15.366,0,10,1,What is the amount of medium farmlands on the left of a  building?,0.90,1.99,0.86,1.70,2.03,1.70,6.02,7.76,5.97,50.0
149,12.867,1,No,no,Is the number of roads equal to the number of square residential buildings?,0.92,1.99,0.90,1.71,2.03,1.70,6.02,7.64,5.99,50.0
150,15.981,0,0,1,How many commercials are there?,0.78,1.95,0.76,1.57,2.03,1.56,5.50,7.64,5.46,50.0
151,10.294,0,No,yes,Are there more residential buildings than roads?,1.01,1.99,1.02,1.73,2.03,1.74,6.18,7.60,6.19,49.9
152,12.453,1,0,0,How many large residential buildings are there?,0.89,1.99,0.87,1.70,2.03,1.69,5.97,7.60,5.95,50.0
153,12.079,1,No,no,Are there more commercial buildings than forests?,0.93,1.95,0.92,1.70,1.99,1.70,6.06,7.44,6.05,50.0
154,12.291,0,0,7,How many medium residential buildings are there?,0.97,1.95,0.95,1.70,2.03,1.70,6.06,7.72,6.05,49.9
155,11.367,1,Yes,yes,Are there more residential buildings than water areas?,0.97,1.95,0.96,1.72,1.99,1.72,6.14,7.56,6.12,49.9
156,18.714,1,No,no,Is a circular building present?,0.76,1.99,0.76,1.67,1.99,1.67,5.79,7.64,5.78,49.9
157,12.497,1,No,no,Are there less buildings than roads?,0.92,2.03,0.91,1.71,2.03,1.70,6.06,7.68,6.03,49.9
158,16.612,0,10,9,What is the number of rectangular water areas?,0.83,1.91,0.82,1.69,2.03,1.69,5.93,7.62,5.91,49.9
159,12.179,0,0,1,How many large buildings are there?,0.93,1.91,0.92,1.71,2.03,1.70,6.06,7.68,6.04,49.8
160,11.841,0,No,yes,Is a rectangular residential building present in the image?,0.93,1.95,0.91,1.71,2.03,1.71,6.05,7.52,6.02,49.9
161,12.756,0,Yes,no,Are there more circular grass areas than commercial buildings?,0.91,1.95,0.90,1.71,2.03,1.71,6.04,7.80,6.03,49.8
162,11.396,1,No,no,Are there less residential buildings than roads?,0.98,1.95,0.97,1.72,2.03,1.72,6.18,7.72,6.15,49.8
163,11.688,1,2,2,How many small commercial buildings are there?,0.94,1.95,0.92,1.71,2.07,1.71,6.06,7.76,6.02,50.1
164,15.314,1,Yes,yes,Are there less square residential buildings than residential buildings?,0.81,1.95,0.82,1.67,2.03,1.67,5.84,7.56,5.86,49.9
165,13.592,0,0,2,How many circular grass areas are there?,0.92,1.95,0.92,1.70,2.03,1.70,6.04,7.76,6.03,49.8
166,16.349,1,No,no,Is the number of commercial buildings equal to the number of water areas?,0.80,1.95,0.80,1.68,1.99,1.68,5.86,7.52,5.86,49.8
167,10.269,0,1,14,What is the number of water areas on the right of a  residential building?,0.99,2.11,0.99,1.72,2.03,1.72,6.18,7.80,6.17,50.0
168,21.419,1,No,no,Is the number of buildings equal to the number of forests?,0.73,1.95,0.73,1.66,2.03,1.66,5.73,7.76,5.73,49.8
169,15.662,1,No,no,Is the number of residential buildings equal to the number of water areas on the right of a  residential building?,0.82,1.95,0.82,1.65,2.03,1.66,5.79,7.52,5.80,49.8
170,13.559,0,No,yes,Are there less medium buildings than roads?,0.88,1.95,0.89,1.69,1.99,1.69,5.97,7.36,5.98,49.8
171,11.997,1,No,no,Is the number of water areas equal to the number of residential buildings?,0.96,1.95,0.95,1.71,2.03,1.71,6.13,7.68,6.13,49.8
172,11.177,1,No,no,Is there a circular road?,0.89,1.95,0.87,1.50,2.03,1.48,5.38,7.64,5.31,49.7
173,12.653,0,1,130,How many rectangular buildings are there?,0.92,1.95,0.90,1.71,2.03,1.70,6.03,7.72,6.01,49.8
174,11.899,1,No,no,Is the number of commercial buildings equal to the number of farmlands?,0.99,1.99,0.97,1.68,2.03,1.68,6.00,7.80,6.00,49.9
175,11.799,0,No,yes,Are there more buildings than roads?,0.93,1.95,0.93,1.71,2.07,1.71,6.04,7.80,6.04,49.8
176,11.909,1,No,no,Are there more commercial buildings than farmlands?,0.92,1.95,0.93,1.69,1.99,1.70,6.01,7.50,6.03,49.9
177,14.275,0,0,5,What is the number of commercial buildings at the top of a  water area?,0.85,1.99,0.85,1.69,2.03,1.69,5.94,7.64,5.93,49.8
178,12.699,0,1,2,How many large water areas are there?,0.89,1.99,0.88,1.70,2.03,1.70,5.97,7.60,5.95,49.8
179,16.083,1,No,no,Are there more commercial buildings than water areas?,0.80,1.83,0.80,1.65,1.99,1.65,5.78,7.46,5.79,49.8
180,10.363,1,No,no,Is the number of buildings equal to the number of large roads?,1.03,1.95,1.02,1.73,2.03,1.73,6.25,7.60,6.23,50.0
181,10.355,1,No,no,Is the number of farmlands equal to the number of residential buildings in the image?,1.04,1.95,1.03,1.74,2.07,1.74,6.28,7.88,6.26,49.9
182,13.425,1,No,no,Is there a circular commercial building?,0.92,1.95,0.90,1.71,2.03,1.70,6.05,7.64,6.00,50.0
183,11.362,1,0,0,How many circular roads are there?,0.93,1.95,0.91,1.71,2.03,1.70,6.05,7.76,6.03,50.0
184,13.004,0,0,3,What is the amount of medium commercial buildings?,0.86,1.95,0.85,1.69,2.03,1.69,5.94,7.48,5.92,49.9
185,16.026,1,0,0,How many circular buildings are there?,0.83,1.95,0.82,1.68,2.03,1.68,5.88,7.84,5.87,49.9
186,10.430,1,No,no,Are there more water areas on the left of a  farmland than water areas?,1.01,1.95,1.00,1.73,2.03,1.73,6.18,7.48,6.17,50.0
187,11.166,0,1,0,How many square buildings are there?,0.96,1.95,0.95,1.72,2.03,1.71,6.09,7.72,6.08,50.1
188,14.587,1,No,no,Is a square commercial building present?,0.84,1.95,0.84,1.69,1.99,1.69,5.93,7.60,5.93,50.0
189,14.344,1,No,no,Is the number of roads equal to the number of water areas?,0.85,1.95,0.85,1.69,2.03,1.69,5.94,7.52,5.92,50.1
190,12.106,1,Yes,yes,Is there a medium grass area?,0.92,1.91,0.91,1.60,2.03,1.61,5.73,7.64,5.73,50.1
191,10.044,1,0,0,How many circular residential buildings are there?,1.01,1.95,1.00,1.73,2.03,1.73,6.18,7.64,6.16,50.0
192,12.050,0,Yes,no,Is a medium road present?,0.95,1.95,0.94,1.70,2.03,1.70,6.04,7.68,6.05,50.0
193,16.241,1,No,no,Are there less grass areas than circular roads?,0.80,1.95,0.80,1.65,2.03,1.65,5.77,7.48,5.76,50.0
194,10.112,0,0,10,What is the amount of water areas at the top of a  commercial building?,1.01,1.99,1.00,1.70,2.03,1.70,6.07,7.84,6.08,50.0
195,13.029,0,No,yes,Are there more water areas than commercial buildings at the bottom of a  forest?,0.91,1.95,0.90,1.71,2.03,1.70,6.01,7.56,5.99,50.1
196,14.719,0,Yes,no,Is there a forest at the bottom of a  large road?,0.83,1.95,0.79,1.59,2.03,1.52,5.62,7.72,5.38,50.1
197,11.257,0,Yes,no,Are there less rectangular grass areas than water areas?,0.95,1.95,0.94,1.71,2.03,1.71,6.10,7.56,6.10,50.0
198,12.014,1,0,0,What is the amount of circular commercial buildings?,0.90,1.95,0.89,1.70,2.03,1.70,6.01,7.76,5.99,50.0
199,13.825,0,No,yes,Are there more buildings than grass areas?,0.85,1.99,0.85,1.69,2.03,1.69,5.93,7.64,5.93,50.0
200,12.638,1,Rural,rural,Is it a rural or an urban area,0.94,1.95,0.93,1.72,2.03,1.72,6.09,7.52,6.07,50.1
201,15.156,1,Yes,yes,Is there a forest in the image?,0.89,2.15,0.87,1.69,2.03,1.68,5.98,7.88,5.95,50.2
202,11.160,0,1,13,What is the number of forests?,0.94,1.91,0.93,1.71,2.03,1.70,6.09,7.68,6.06,50.0
203,10.036,1,Yes,yes,Is a water area present?,1.04,2.07,1.04,1.73,2.03,1.73,6.27,7.68,6.26,50.1
