question_id,latency_sec,correct,model_response,ground_truth,question_text,avg_cpu_gpu_cv_w,max_cpu_gpu_cv_w,integrated_cpu_gpu_cv_w,avg_vdd_soc_w,max_vdd_soc_w,integrated_vdd_soc_w,avg_vdd_in_w,max_vdd_in_w,integrated_vdd_in_w,max_gpu_temp_c
18,5.418,1,Yes,yes,Is a circular grass area present in the image?,1.71,1.91,1.71,1.92,2.11,1.92,7.17,7.72,7.18,50.2
19,8.329,0,1,27,What is the amount of pitchs?,1.76,1.99,1.77,1.96,2.11,1.96,7.33,8.04,7.34,50.3
16,8.545,1,Yes,yes,Are there less grass areas than buildings?,1.77,2.03,1.77,1.96,2.11,1.96,7.35,8.04,7.35,50.2
17,8.862,0,100,19,How many medium residential buildings are there?,1.79,2.11,1.79,1.98,2.19,1.98,7.40,8.32,7.40,50.3
23,7.041,1,No,no,Is the number of buildings equal to the number of water areas?,1.73,1.95,1.73,1.95,2.11,1.95,7.27,7.76,7.28,50.4
22,9.084,0,1,42,What is the number of water areas?,1.78,2.03,1.78,1.97,2.15,1.97,7.37,8.08,7.37,50.3
21,9.063,1,Yes,yes,Is a large commercial building present in the image?,1.78,2.03,1.78,1.97,2.15,1.97,7.37,8.08,7.37,50.4
20,9.217,1,Yes,yes,Is there a village green?,1.79,2.03,1.79,1.97,2.15,1.97,7.38,8.04,7.38,50.4
27,5.345,1,No,no,Is the number of residential buildings equal to the number of medium roads?,1.71,1.87,1.71,1.93,2.11,1.93,7.19,7.76,7.20,50.5
24,8.883,1,Yes,yes,Is there a small road?,1.78,2.07,1.78,1.97,2.15,1.97,7.36,8.04,7.36,50.6
25,9.273,1,No,no,Is there a rectangular road?,1.79,2.07,1.79,1.97,2.15,1.97,7.37,8.04,7.37,50.5
26,9.610,0,100,1064,How many small roads are there?,1.81,2.15,1.81,1.98,2.19,1.97,7.41,8.28,7.40,50.5
30,8.907,1,Yes,yes,Is there a grass area?,1.76,1.95,1.76,1.96,2.11,1.96,7.31,7.76,7.31,50.5
29,8.901,0,10,2,How many circular residential buildings are there?,1.76,1.95,1.76,1.96,2.11,1.96,7.31,7.76,7.31,50.6
28,9.115,1,Yes,yes,Are there more roads than rectangular water areas?,1.77,1.99,1.77,1.96,2.11,1.96,7.32,7.81,7.32,50.6
31,9.835,0,10000,117,What is the amount of forests?,1.80,2.23,1.80,1.98,2.27,1.97,7.40,8.60,7.40,50.6
35,4.389,0,Yes,no,Are there less buildings than grass areas in the image?,1.70,1.99,1.71,1.88,2.07,1.88,7.06,7.64,7.07,50.6
33,9.142,1,Yes,yes,Is a forest present?,1.79,1.99,1.79,1.95,2.15,1.95,7.35,8.00,7.36,50.7
34,9.940,0,100,498,How many farmlands are there?,1.81,2.07,1.81,1.97,2.15,1.97,7.40,8.12,7.40,50.7
32,9.970,0,100,19,How many rectangular commercial buildings are there?,1.81,2.07,1.81,1.97,2.15,1.97,7.40,8.13,7.40,50.7
37,8.565,0,10,104,What is the number of small grass areas?,1.75,1.87,1.75,1.96,2.11,1.96,7.32,7.76,7.32,50.8
38,8.568,0,No,yes,Is there a circular parking?,1.75,1.87,1.75,1.96,2.11,1.96,7.31,7.76,7.31,50.8
39,8.752,1,Yes,yes,Are there less roads than residential buildings?,1.76,1.99,1.76,1.97,2.11,1.96,7.34,7.78,7.34,50.7
36,8.803,1,Yes,yes,Is a rectangular water area present?,1.76,1.99,1.76,1.96,2.11,1.96,7.33,7.78,7.33,50.8
41,8.268,0,Yes,no,Are there more commercial buildings than roads?,1.74,1.91,1.74,1.96,2.11,1.96,7.31,7.76,7.31,50.8
42,8.541,1,Yes,yes,Is a small building present?,1.75,1.91,1.75,1.96,2.11,1.96,7.32,7.76,7.32,50.8
43,8.559,1,Yes,yes,Is there a parking?,1.74,1.99,1.75,1.96,2.11,1.96,7.32,7.78,7.32,50.8
40,8.718,0,100,3,What is the amount of square grass areas?,1.76,2.07,1.76,1.97,2.11,1.97,7.34,8.01,7.34,50.8
45,5.562,1,Yes,yes,Are there more commercial buildings than residential areas?,1.72,1.95,1.72,1.91,2.07,1.91,7.16,7.72,7.16,50.8
46,8.561,0,Yes,no,Are there more commercial buildings than forests in the image?,1.77,1.95,1.77,1.96,2.15,1.96,7.32,8.04,7.32,50.9
47,8.979,0,10,0,What is the amount of circular roads?,1.78,2.03,1.78,1.97,2.15,1.97,7.35,8.04,7.35,50.9
44,9.369,0,1000,2,How many large commercial buildings are there?,1.79,2.11,1.79,1.97,2.15,1.97,7.39,8.16,7.39,50.9
48,5.985,1,No,no,Is the number of residential buildings equal to the number of roads?,1.73,1.99,1.73,1.91,2.07,1.92,7.18,7.76,7.19,50.9
50,8.919,1,Yes,yes,Are there less commercial buildings than farmlands?,1.77,1.99,1.78,1.95,2.15,1.96,7.33,8.00,7.33,51.0
51,9.134,1,Yes,yes,Is there a small residential building in the image?,1.78,1.99,1.78,1.96,2.15,1.96,7.34,7.96,7.34,50.9
49,9.089,1,No,no,Is there a square road?,1.78,1.99,1.78,1.96,2.15,1.96,7.34,8.00,7.34,51.0
53,8.541,0,Yes,no,Is a large road present?,1.76,1.95,1.76,1.94,2.07,1.94,7.28,7.72,7.29,51.0
52,8.830,1,Yes,yes,Are there less grass areas than roads?,1.77,1.99,1.77,1.94,2.07,1.94,7.29,7.74,7.29,51.0
54,8.804,1,No,no,Is the number of buildings equal to the number of roads?,1.77,1.99,1.77,1.95,2.07,1.95,7.30,7.74,7.30,51.0
55,9.217,0,1000,72,What is the number of small commercial buildings?,1.78,2.19,1.78,1.95,2.19,1.95,7.34,8.44,7.33,51.1
58,6.812,1,Yes,yes,Is there a farmland in the image?,1.72,1.87,1.72,1.94,2.11,1.94,7.24,7.72,7.25,51.1
59,8.737,1,Yes,yes,Is there a orchard?,1.76,1.99,1.76,1.96,2.15,1.96,7.33,8.04,7.34,51.0
57,9.074,1,Yes,yes,Are there less parkings than residential buildings?,1.78,2.07,1.78,1.96,2.15,1.96,7.36,8.08,7.36,51.1
56,9.518,0,1000,2,What is the amount of square residential buildings?,1.78,2.11,1.78,1.97,2.15,1.97,7.38,8.20,7.38,51.2
60,6.940,1,Yes,yes,Is there a rectangular residential building?,1.74,1.95,1.74,1.93,2.07,1.93,7.23,7.68,7.24,51.0
62,8.838,0,Yes,no,Are there less commercial buildings than water areas?,1.77,1.99,1.77,1.95,2.15,1.95,7.32,8.00,7.32,51.1
63,8.823,1,Yes,yes,Is there a residential area in the image?,1.77,1.99,1.77,1.95,2.15,1.95,7.32,8.00,7.32,51.1
61,8.989,1,Yes,yes,Are there less commercial buildings than grass areas?,1.78,2.07,1.79,1.95,2.15,1.96,7.33,8.00,7.33,51.0
66,9.074,0,10,0,How many medium roads are there?,1.79,1.99,1.79,1.94,2.07,1.94,7.32,7.72,7.32,51.1
64,9.340,1,No,no,Is the number of commercial buildings equal to the number of water areas?,1.80,1.99,1.80,1.94,2.07,1.94,7.33,7.72,7.33,51.1
67,9.298,1,Yes,yes,Are there more buildings than water areas?,1.80,1.99,1.80,1.94,2.07,1.94,7.33,7.72,7.33,51.1
65,9.892,0,1000,0,What is the amount of square commercial buildings?,1.82,2.23,1.82,1.95,2.23,1.95,7.39,8.56,7.38,51.1
69,9.010,0,10,11,How many orchards are there?,1.78,1.99,1.78,1.94,2.07,1.94,7.31,7.68,7.31,51.1
68,9.231,1,Yes,yes,Are there less medium grass areas than roads?,1.79,1.99,1.79,1.95,2.07,1.95,7.32,7.74,7.32,51.1
71,9.229,1,No,no,Is the number of roads equal to the number of water areas?,1.80,1.99,1.80,1.95,2.07,1.95,7.33,7.74,7.33,51.1
70,9.263,1,Yes,yes,Is there a medium residential building in the image?,1.79,2.03,1.79,1.95,2.07,1.95,7.32,7.78,7.33,51.2
75,8.931,0,10,3,What is the amount of circular grass areas?,1.75,1.99,1.75,1.96,2.11,1.96,7.30,7.72,7.30,51.1
72,8.928,0,Yes,no,Are there more medium water areas than commercial buildings?,1.75,1.99,1.75,1.96,2.11,1.96,7.30,7.72,7.30,51.1
73,9.297,1,Yes,yes,Are there less grass areas than residential buildings?,1.76,2.15,1.76,1.96,2.15,1.96,7.32,8.16,7.31,51.1
74,9.539,0,100,1,What is the amount of square water areas?,1.76,2.15,1.76,1.96,2.19,1.96,7.33,8.28,7.33,51.0
77,5.547,1,Yes,yes,Is a circular water area present?,1.71,1.87,1.72,1.93,2.11,1.93,7.19,7.76,7.19,51.0
76,8.538,1,Yes,yes,Is there a large building?,1.76,1.95,1.76,1.97,2.15,1.97,7.34,8.04,7.35,51.1
79,8.746,0,Yes,no,Is there a square farmland in the image?,1.77,1.99,1.77,1.97,2.15,1.97,7.36,8.00,7.36,51.0
78,8.951,0,10,3,What is the amount of large buildings in the image?,1.78,2.03,1.78,1.97,2.15,1.97,7.36,8.00,7.37,51.1
80,6.939,0,Yes,no,Are there less residential buildings than water areas?,1.72,1.87,1.72,1.94,2.07,1.94,7.23,7.72,7.24,51.1
83,8.938,1,Yes,yes,Are there less commercial buildings than roads in the image?,1.76,1.99,1.76,1.96,2.15,1.96,7.34,8.04,7.34,51.2
82,8.941,1,No,no,Is the number of commercial buildings equal to the number of pitchs?,1.76,1.99,1.77,1.97,2.15,1.97,7.34,8.04,7.34,51.2
81,9.121,1,Yes,yes,Are there less circular residential buildings than roads?,1.77,2.03,1.77,1.97,2.15,1.97,7.35,8.00,7.35,51.2
87,7.018,1,Yes,yes,Is there a small commercial building?,1.75,1.99,1.75,1.93,2.07,1.94,7.25,7.76,7.25,51.1
86,8.934,0,Yes,no,Are there more water areas than small grass areas?,1.77,1.99,1.78,1.96,2.15,1.96,7.33,8.00,7.33,51.1
85,8.901,1,Yes,yes,Are there less small grass areas than buildings?,1.78,1.99,1.78,1.96,2.15,1.96,7.34,8.00,7.34,51.2
84,9.118,1,Yes,yes,Is there a commercial building at the bottom of the  circular forest?,1.78,2.03,1.78,1.96,2.15,1.96,7.34,8.00,7.34,51.2
90,6.601,0,Yes,no,Is there a square village green?,1.72,1.87,1.73,1.95,2.11,1.95,7.24,7.72,7.25,51.2
89,6.600,0,No,yes,Is there a square water area?,1.73,1.87,1.73,1.95,2.11,1.95,7.25,7.72,7.25,51.2
88,8.409,1,No,no,Is the number of water areas equal to the number of rectangular buildings?,1.78,2.11,1.78,1.98,2.23,1.98,7.38,8.40,7.38,51.2
91,8.598,1,Yes,yes,Are there less circular buildings than water areas?,1.79,2.11,1.79,1.98,2.23,1.98,7.39,8.40,7.39,51.2
94,6.971,0,No,yes,Is a circular building present?,1.74,1.95,1.74,1.93,2.07,1.93,7.22,7.68,7.22,51.2
95,8.842,1,No,no,Is the number of roads equal to the number of commercial buildings?,1.78,1.99,1.78,1.95,2.15,1.95,7.33,8.08,7.34,51.2
93,8.871,1,No,no,Is the number of forests equal to the number of water areas?,1.78,2.03,1.78,1.95,2.15,1.95,7.32,8.08,7.32,51.2
92,9.026,1,Yes,yes,Is there a rectangular commercial building?,1.79,2.03,1.79,1.95,2.15,1.95,7.33,8.08,7.33,51.2
96,5.352,1,No,no,Is the number of roads equal to the number of forests?,1.71,1.87,1.72,1.94,2.11,1.94,7.21,7.76,7.21,51.2
99,8.896,1,Yes,yes,Is there a square building?,1.78,2.03,1.78,1.97,2.15,1.97,7.37,8.00,7.37,51.2
98,9.251,1,Yes,yes,Are there more grass areas than square buildings?,1.79,2.07,1.79,1.97,2.15,1.97,7.38,8.00,7.38,51.2
97,9.235,0,Yes,no,Are there less forests than commercial buildings?,1.79,2.07,1.79,1.97,2.15,1.97,7.39,8.00,7.39,51.2
102,9.171,0,No,yes,Is there a residential building?,1.76,2.03,1.77,1.95,2.11,1.96,7.32,7.76,7.33,51.3
100,9.168,1,Rural,rural,Is it a rural or an urban area,1.77,2.03,1.77,1.96,2.11,1.96,7.33,7.76,7.33,51.2
101,9.163,0,0,5,What is the number of commercial buildings in the image?,1.77,2.03,1.77,1.96,2.11,1.96,7.33,7.76,7.34,51.2
103,9.339,1,Yes,yes,Is a road present?,1.78,2.03,1.78,1.96,2.11,1.96,7.34,7.76,7.34,51.2
106,6.979,1,Yes,yes,Is a farmland present?,1.75,1.99,1.75,1.94,2.07,1.94,7.25,7.72,7.25,51.2
107,8.847,1,Yes,yes,Is a grass area present?,1.78,1.99,1.78,1.96,2.15,1.96,7.33,8.04,7.34,51.2
105,9.248,0,10,202,How many small roads are there?,1.79,2.07,1.79,1.96,2.15,1.96,7.35,8.04,7.35,51.3
104,9.205,0,No,yes,Is a building present?,1.79,2.07,1.79,1.96,2.15,1.96,7.36,8.04,7.36,51.3
110,7.171,1,No,no,Is the number of residential buildings equal to the number of water areas?,1.75,2.03,1.75,1.95,2.11,1.95,7.28,7.76,7.29,51.3
111,9.175,1,Yes,yes,Is there a rectangular building?,1.79,2.03,1.79,1.97,2.15,1.97,7.37,8.00,7.37,51.3
108,9.594,1,Yes,yes,Are there less commercial buildings than farmlands?,1.79,2.03,1.79,1.97,2.15,1.97,7.38,8.04,7.38,51.4
109,9.928,0,1000,202,How many roads are there?,1.81,2.11,1.81,1.98,2.19,1.98,7.42,8.28,7.42,51.3
112,7.155,1,Yes,yes,Are there more water areas than commercial buildings?,1.75,1.99,1.75,1.93,2.07,1.93,7.23,7.72,7.23,51.3
113,9.051,1,Yes,yes,Is a forest present?,1.77,1.99,1.77,1.95,2.15,1.95,7.31,7.96,7.31,51.4
114,9.437,0,0,230,What is the amount of buildings in the image?,1.79,2.07,1.79,1.96,2.15,1.96,7.33,7.96,7.33,51.3
115,9.405,0,10,224,What is the number of residential buildings?,1.79,2.03,1.79,1.96,2.15,1.96,7.34,7.96,7.34,51.4
119,5.706,1,No,no,Is the number of water areas equal to the number of commercial buildings in the image?,1.73,1.95,1.73,1.92,2.07,1.92,7.18,7.72,7.18,51.3
116,9.255,1,Yes,yes,Are there more buildings than farmlands?,1.79,2.03,1.79,1.96,2.15,1.96,7.35,8.08,7.36,51.3
118,9.641,0,No,yes,Is a water area present?,1.80,2.07,1.80,1.96,2.15,1.96,7.37,8.08,7.37,51.4
117,9.621,0,Yes,no,Are there more grass areas than buildings?,1.80,2.07,1.81,1.96,2.15,1.96,7.37,8.08,7.37,51.4
120,6.665,1,Yes,yes,Is there a commercial building?,1.73,1.87,1.73,1.94,2.07,1.94,7.23,7.68,7.23,51.3
122,8.580,0,Yes,no,Are there less residential buildings than water areas?,1.77,1.99,1.77,1.96,2.15,1.96,7.33,8.08,7.33,51.3
123,8.917,0,1,14,What is the number of water areas?,1.78,2.03,1.78,1.96,2.15,1.96,7.36,8.08,7.36,51.4
121,9.360,0,1000,90,What is the amount of forests?,1.79,2.11,1.79,1.97,2.19,1.97,7.38,8.28,7.38,51.4
126,6.915,0,Yes,no,Are there more water areas than roads?,1.72,1.87,1.73,1.94,2.07,1.94,7.24,7.72,7.24,51.3
125,8.815,1,No,no,Is the number of grass areas equal to the number of water areas?,1.76,1.99,1.76,1.96,2.15,1.96,7.33,8.00,7.33,51.4
124,8.805,1,No,no,Is the number of buildings equal to the number of roads?,1.76,1.99,1.76,1.97,2.15,1.97,7.33,8.04,7.33,51.4
127,9.365,0,100,5,What is the amount of orchards?,1.78,2.15,1.78,1.97,2.19,1.97,7.36,8.28,7.36,51.5
129,7.058,0,Yes,no,Are there more small commercial buildings than forests?,1.73,1.91,1.74,1.96,2.11,1.96,7.28,7.76,7.28,51.4
128,9.088,1,Yes,yes,Are there more roads than water areas?,1.78,1.99,1.78,1.97,2.15,1.97,7.36,8.04,7.37,51.4
130,9.437,1,No,no,Is the number of water areas equal to the number of circular roads?,1.79,2.03,1.79,1.97,2.15,1.97,7.38,8.04,7.38,51.4
131,9.666,0,100,0,What is the amount of square residential buildings?,1.80,2.11,1.80,1.98,2.15,1.98,7.40,8.16,7.40,51.4
133,8.813,1,Yes,yes,Is a rectangular farmland present?,1.77,1.95,1.77,1.96,2.11,1.96,7.31,7.76,7.32,51.4
134,8.814,0,10,126,How many grass areas are there?,1.76,1.95,1.77,1.96,2.11,1.96,7.31,7.76,7.32,51.5
132,9.011,1,No,no,Is the number of grass areas equal to the number of buildings?,1.78,2.03,1.78,1.96,2.11,1.96,7.33,7.92,7.33,51.4
135,9.374,0,100,63,How many large forests are there?,1.80,2.23,1.80,1.97,2.23,1.97,7.38,8.52,7.38,51.6
137,7.057,0,1,76,How many large grass areas are there?,1.75,1.99,1.75,1.94,2.07,1.94,7.25,7.76,7.25,51.4
139,8.960,0,Yes,no,Are there less roads than forests?,1.78,1.99,1.78,1.96,2.15,1.96,7.34,8.08,7.34,51.6
138,9.304,1,Yes,yes,Are there less water areas than forests?,1.79,2.03,1.79,1.96,2.15,1.96,7.35,8.08,7.35,51.5
136,9.919,0,10000,77,What is the amount of large farmlands?,1.81,2.11,1.81,1.97,2.19,1.97,7.39,8.28,7.39,51.5
143,9.206,1,No,no,Is the number of residential buildings equal to the number of roads?,1.80,2.15,1.80,1.96,2.11,1.96,7.46,8.08,7.46,51.5
140,9.267,1,Yes,yes,Is there a medium commercial building?,1.79,2.15,1.79,1.95,2.11,1.95,7.45,8.08,7.45,51.6
142,9.256,0,10,217,What is the number of small residential buildings in the image?,1.80,2.15,1.80,1.96,2.07,1.96,7.46,8.08,7.46,51.7
141,9.464,0,1000,78,What is the number of farmlands?,1.81,2.27,1.81,1.96,2.11,1.96,7.47,8.12,7.47,51.6
146,5.667,1,No,no,Is a square residential building present?,1.73,1.95,1.73,1.93,2.07,1.93,7.20,7.76,7.20,51.5
147,9.520,1,No,no,Is the number of circular commercial buildings equal to the number of farmlands?,1.81,2.03,1.81,1.97,2.15,1.97,7.38,8.00,7.39,51.6
144,9.822,0,100,0,What is the amount of square commercial buildings?,1.80,2.03,1.81,1.97,2.15,1.97,7.38,8.00,7.38,51.6
145,9.826,0,10,0,What is the number of medium roads?,1.80,2.03,1.80,1.97,2.15,1.97,7.38,8.04,7.38,51.6
149,7.326,1,No,no,Is the number of roads equal to the number of square residential buildings?,1.76,2.03,1.76,1.92,2.07,1.92,7.24,7.72,7.24,51.5
150,9.222,0,0,1,How many commercials are there?,1.78,2.03,1.79,1.95,2.15,1.95,7.33,8.04,7.33,51.7
151,9.450,1,Yes,yes,Are there more residential buildings than roads?,1.79,2.03,1.79,1.95,2.15,1.95,7.33,8.04,7.33,51.7
148,9.634,0,100,1,What is the amount of medium farmlands on the left of a  building?,1.80,2.15,1.80,1.96,2.15,1.96,7.35,8.08,7.35,51.7
152,5.756,1,0,0,How many large residential buildings are there?,1.73,1.99,1.73,1.92,2.07,1.92,7.19,7.72,7.19,51.6
153,9.270,0,Yes,no,Are there more commercial buildings than forests?,1.79,2.03,1.79,1.96,2.15,1.96,7.35,8.04,7.36,51.6
155,9.622,1,Yes,yes,Are there more residential buildings than water areas?,1.81,2.07,1.81,1.96,2.15,1.96,7.38,8.04,7.38,51.7
154,9.839,0,10,7,How many medium residential buildings are there?,1.81,2.07,1.81,1.96,2.15,1.96,7.38,8.04,7.38,51.7
157,5.630,0,Yes,no,Are there less buildings than roads?,1.73,1.95,1.74,1.92,2.07,1.92,7.19,7.72,7.20,51.6
156,9.149,1,No,no,Is a circular building present?,1.80,2.03,1.80,1.96,2.15,1.97,7.37,8.04,7.37,51.7
159,9.545,0,0,1,How many large buildings are there?,1.81,2.07,1.81,1.97,2.15,1.96,7.38,8.04,7.38,51.7
158,9.499,0,1,9,What is the number of rectangular water areas?,1.81,2.07,1.81,1.97,2.15,1.97,7.38,8.04,7.38,51.7
162,6.799,0,Yes,no,Are there less residential buildings than roads?,1.74,1.91,1.74,1.95,2.11,1.95,7.26,7.76,7.27,51.6
160,8.681,0,No,yes,Is a rectangular residential building present in the image?,1.77,1.99,1.78,1.97,2.15,1.97,7.35,8.04,7.35,51.8
161,9.017,0,Yes,no,Are there more circular grass areas than commercial buildings?,1.79,2.03,1.79,1.97,2.15,1.97,7.38,8.04,7.38,51.7
163,9.233,0,100,2,How many small commercial buildings are there?,1.79,2.07,1.79,1.97,2.15,1.97,7.38,8.08,7.38,51.8
166,5.915,1,No,no,Is the number of commercial buildings equal to the number of water areas?,1.73,1.91,1.73,1.93,2.11,1.93,7.19,7.80,7.20,51.7
165,8.890,0,1,2,How many circular grass areas are there?,1.78,1.99,1.78,1.96,2.11,1.96,7.34,7.96,7.34,51.8
164,9.139,1,Yes,yes,Are there less square residential buildings than residential buildings?,1.78,1.99,1.78,1.96,2.11,1.96,7.34,7.96,7.34,51.7
167,9.103,0,3,14,What is the number of water areas on the right of a  residential building?,1.79,1.99,1.79,1.96,2.11,1.96,7.35,7.96,7.35,51.8
169,5.869,1,No,no,Is the number of residential buildings equal to the number of water areas on the right of a  residential building?,1.73,1.99,1.73,1.92,2.11,1.93,7.19,7.72,7.19,51.7
171,8.841,1,No,no,Is the number of water areas equal to the number of residential buildings?,1.79,2.03,1.79,1.96,2.11,1.96,7.35,8.04,7.35,51.7
170,9.047,1,Yes,yes,Are there less medium buildings than roads?,1.79,2.03,1.80,1.96,2.11,1.96,7.35,8.04,7.36,51.7
168,9.076,1,No,no,Is the number of buildings equal to the number of forests?,1.80,2.03,1.80,1.96,2.11,1.96,7.36,8.04,7.36,51.7
174,6.903,1,No,no,Is the number of commercial buildings equal to the number of farmlands?,1.73,1.87,1.74,1.95,2.11,1.95,7.25,7.76,7.25,51.7
172,8.813,1,No,no,Is there a circular road?,1.77,1.99,1.77,1.97,2.15,1.97,7.34,8.08,7.35,51.7
173,8.755,0,1,130,How many rectangular buildings are there?,1.78,1.99,1.78,1.97,2.15,1.97,7.34,8.08,7.35,51.8
175,8.973,1,Yes,yes,Are there more buildings than roads?,1.78,2.07,1.78,1.97,2.15,1.97,7.36,8.04,7.36,51.7
176,7.206,0,Yes,no,Are there more commercial buildings than farmlands?,1.77,2.07,1.77,1.93,2.07,1.93,7.27,7.76,7.27,51.8
177,9.098,0,0,5,What is the number of commercial buildings at the top of a  water area?,1.80,2.07,1.80,1.95,2.15,1.95,7.35,8.04,7.35,51.7
179,9.093,0,Yes,no,Are there more commercial buildings than water areas?,1.80,2.07,1.80,1.96,2.15,1.96,7.36,8.04,7.36,51.7
178,9.241,0,1,2,How many large water areas are there?,1.81,2.07,1.81,1.96,2.15,1.96,7.37,8.04,7.37,51.7
183,7.028,0,1,0,How many circular roads are there?,1.74,1.91,1.75,1.94,2.07,1.94,7.27,7.76,7.27,51.7
182,8.937,0,Yes,no,Is there a circular commercial building?,1.77,1.99,1.78,1.96,2.15,1.97,7.35,8.00,7.35,51.7
180,8.932,1,No,no,Is the number of buildings equal to the number of large roads?,1.77,1.99,1.78,1.96,2.15,1.97,7.35,8.00,7.35,51.7
181,9.101,1,No,no,Is the number of farmlands equal to the number of residential buildings in the image?,1.79,2.11,1.79,1.96,2.15,1.96,7.35,8.00,7.35,51.7
186,7.042,0,Yes,no,Are there more water areas on the left of a  farmland than water areas?,1.73,1.87,1.73,1.94,2.07,1.94,7.24,7.76,7.24,51.6
187,8.947,0,1,0,How many square buildings are there?,1.77,1.99,1.77,1.96,2.15,1.96,7.33,8.08,7.34,51.7
185,9.299,1,0,0,How many circular buildings are there?,1.78,2.03,1.78,1.97,2.15,1.97,7.35,8.08,7.36,51.8
184,9.519,0,100,3,What is the amount of medium commercial buildings?,1.78,2.07,1.78,1.97,2.15,1.97,7.36,8.12,7.36,51.8
188,6.804,1,No,no,Is a square commercial building present?,1.73,1.87,1.73,1.95,2.11,1.95,7.26,7.72,7.26,51.7
190,8.849,1,Yes,yes,Is there a medium grass area?,1.77,1.99,1.77,1.97,2.15,1.97,7.36,8.04,7.36,51.7
191,8.842,1,0,0,How many circular residential buildings are there?,1.77,1.99,1.77,1.97,2.15,1.97,7.36,8.04,7.36,51.7
189,9.004,1,No,no,Is the number of roads equal to the number of water areas?,1.78,1.99,1.78,1.97,2.15,1.97,7.37,8.04,7.37,51.7
195,6.962,1,Yes,yes,Are there more water areas than commercial buildings at the bottom of a  forest?,1.73,1.87,1.73,1.94,2.11,1.94,7.25,7.76,7.25,51.7
194,8.861,0,0,10,What is the amount of water areas at the top of a  commercial building?,1.77,1.99,1.77,1.96,2.15,1.96,7.34,8.04,7.34,51.7
192,8.856,0,Yes,no,Is a medium road present?,1.77,1.99,1.77,1.96,2.15,1.97,7.34,8.04,7.34,51.7
193,9.019,0,Yes,no,Are there less grass areas than circular roads?,1.77,1.99,1.77,1.96,2.15,1.96,7.34,8.04,7.34,51.7
199,7.167,1,Yes,yes,Are there more buildings than grass areas?,1.75,1.99,1.76,1.94,2.07,1.94,7.25,7.72,7.26,51.6
197,9.076,0,Yes,no,Are there less rectangular grass areas than water areas?,1.79,2.03,1.79,1.96,2.15,1.96,7.34,8.04,7.34,51.7
196,9.259,0,Yes,no,Is there a forest at the bottom of a  large road?,1.79,2.03,1.79,1.95,2.15,1.95,7.34,8.04,7.34,51.6
198,9.498,0,100,0,What is the amount of circular commercial buildings?,1.80,2.11,1.80,1.96,2.15,1.96,7.35,8.04,7.35,51.7
203,7.146,1,Yes,yes,Is a water area present?,1.75,2.03,1.75,1.95,2.11,1.95,7.28,7.76,7.28,51.7
201,9.179,1,Yes,yes,Is there a forest in the image?,1.78,2.03,1.78,1.97,2.15,1.97,7.36,8.04,7.36,51.7
202,9.160,0,1,13,What is the number of forests?,1.78,2.03,1.78,1.97,2.15,1.97,7.37,8.00,7.37,51.7
