question_id,model_name,model_load_time_s,prefill_ms,decode_ms,prefill_plus_decode_ms,latency_sec,input_tokens,output_tokens,total_tokens,correct,model_response,ground_truth,question_text,avg_gpu_cv_w,max_gpu_cv_w,avg_power_in_w,max_gpu_temp_c,energy_total_j,energy_per_input_token_j,energy_per_output_token_j,energy_per_total_token_j,ram_used_mb,ram_free_mb,swap_used_mb,kv_cache_usage_ratio,kv_cache_tokens,prompt_cache_mb
12,Qwen2.5-VL-3B,,701.58,72.56,774.14,0.788,124,2,126,1,Yes,yes,Is there a commercial building in the image?,5.16,5.40,12.04,53.8,8.44,0.0680,4.2179,0.0670,5541,2066,402,0.0000,0,0.00
13,Qwen2.5-VL-3B,,699.76,210.78,910.55,0.924,123,4,127,0,100,258,What is the amount of grass areas?,5.25,5.44,12.10,53.8,10.89,0.0885,2.7223,0.0857,5542,2065,402,0.0000,0,0.00
14,Qwen2.5-VL-3B,,699.72,72.31,772.03,0.786,122,2,124,1,Yes,yes,Are there more buildings than roads?,4.89,5.05,11.72,53.6,8.20,0.0672,4.1010,0.0661,5542,2065,402,0.0000,0,0.00
15,Qwen2.5-VL-3B,,699.69,143.10,842.79,0.857,122,3,125,0,10,44,How many village greens are there?,5.17,5.40,11.98,53.9,9.59,0.0786,3.1957,0.0767,5542,2065,402,0.0000,0,0.00
16,Qwen2.5-VL-3B,,699.11,72.21,771.32,0.785,123,2,125,1,Yes,yes,Are there less grass areas than buildings?,5.05,5.40,11.95,53.9,8.35,0.0679,4.1755,0.0668,5542,2065,402,0.0000,0,0.00
17,Qwen2.5-VL-3B,,700.07,210.65,910.72,0.925,123,4,127,0,100,19,How many medium residential buildings are there?,5.19,5.44,12.08,54.0,10.87,0.0884,2.7173,0.0856,5542,2065,402,0.0000,0,0.00
18,Qwen2.5-VL-3B,,756.27,72.58,828.85,0.843,125,2,127,1,Yes,yes,Is a circular grass area present in the image?,4.77,5.44,11.52,54.2,9.16,0.0733,4.5800,0.0721,5542,2065,402,0.0000,0,0.00
19,Qwen2.5-VL-3B,,700.63,72.60,773.23,0.787,123,2,125,0,2,27,What is the amount of pitchs?,4.92,5.33,11.67,54.2,8.16,0.0663,4.0784,0.0653,5542,2065,402,0.0000,0,0.00
20,Qwen2.5-VL-3B,,699.97,72.26,772.23,0.786,121,2,123,1,Yes,yes,Is there a village green?,5.09,5.25,11.95,54.2,8.37,0.0692,4.1856,0.0681,5542,2065,402,0.0000,0,0.00
21,Qwen2.5-VL-3B,,699.92,72.33,772.25,0.786,125,2,127,1,Yes,yes,Is a large commercial building present in the image?,5.17,5.40,12.04,54.4,8.43,0.0675,4.2164,0.0664,5542,2065,402,0.0000,0,0.00
22,Qwen2.5-VL-3B,,700.11,72.12,772.23,0.786,123,2,125,0,1,42,What is the number of water areas?,5.21,5.44,12.10,54.4,8.47,0.0689,4.2350,0.0678,5542,2065,402,0.0000,0,0.00
23,Qwen2.5-VL-3B,,712.50,72.62,785.12,0.799,128,2,130,1,No,no,Is the number of buildings equal to the number of water areas?,5.18,5.28,12.09,54.3,8.48,0.0662,4.2383,0.0652,5542,2065,402,0.0000,0,0.00
24,Qwen2.5-VL-3B,,699.51,72.25,771.76,0.785,121,2,123,1,Yes,yes,Is there a small road?,5.27,5.44,12.09,54.5,8.47,0.0700,4.2342,0.0688,5542,2065,402,0.0000,0,0.00
25,Qwen2.5-VL-3B,,698.58,72.28,770.86,0.785,121,2,123,1,No,no,Is there a rectangular road?,5.22,5.48,12.04,54.6,8.42,0.0696,4.2117,0.0685,5542,2065,402,0.0000,0,0.00
26,Qwen2.5-VL-3B,,699.53,210.62,910.14,0.924,122,4,126,0,100,1064,How many small roads are there?,5.24,5.48,12.10,54.6,10.90,0.0893,2.7243,0.0865,5542,2065,402,0.0000,0,0.00
27,Qwen2.5-VL-3B,,712.02,72.22,784.24,0.798,129,2,131,1,No,no,Is the number of residential buildings equal to the number of medium roads?,4.95,5.29,11.74,54.6,8.20,0.0636,4.0996,0.0626,5542,2065,402,0.0000,0,0.00
28,Qwen2.5-VL-3B,,700.14,72.23,772.37,0.786,124,2,126,1,Yes,yes,Are there more roads than rectangular water areas?,5.19,5.40,12.10,54.8,8.48,0.0684,4.2415,0.0673,5542,2065,402,0.0000,0,0.00
29,Qwen2.5-VL-3B,,699.14,143.08,842.22,0.856,123,3,126,0,10,2,How many circular residential buildings are there?,5.23,5.48,12.04,54.8,9.63,0.0783,3.2091,0.0764,5542,2065,402,0.0000,0,0.00
30,Qwen2.5-VL-3B,,699.00,72.14,771.13,0.785,121,2,123,1,Yes,yes,Is there a grass area?,5.07,5.44,11.97,55.0,8.36,0.0691,4.1811,0.0680,5542,2065,402,0.0000,0,0.00
31,Qwen2.5-VL-3B,,699.44,345.70,1045.13,1.059,122,6,128,0,10000,117,What is the amount of forests?,5.20,5.44,12.15,54.9,12.15,0.0996,2.0248,0.0949,5542,2065,402,0.0000,0,0.00
32,Qwen2.5-VL-3B,,699.44,210.63,910.07,0.924,123,4,127,0,100,19,How many rectangular commercial buildings are there?,5.14,5.44,12.17,55.1,10.93,0.0888,2.7319,0.0860,5542,2065,402,0.0000,0,0.00
33,Qwen2.5-VL-3B,,699.17,72.27,771.44,0.785,120,2,122,1,Yes,yes,Is a forest present?,4.84,5.09,11.75,54.9,8.23,0.0686,4.1171,0.0675,5542,2065,402,0.0000,0,0.00
34,Qwen2.5-VL-3B,,700.42,210.94,911.36,0.925,123,4,127,0,100,498,How many farmlands are there?,5.18,5.40,12.04,55.0,10.84,0.0881,2.7088,0.0853,5542,2065,402,0.0000,0,0.00
35,Qwen2.5-VL-3B,,712.02,72.15,784.17,0.798,126,2,128,0,Yes,no,Are there less buildings than grass areas in the image?,4.94,5.32,11.71,55.1,8.18,0.0649,4.0902,0.0639,5542,2065,402,0.0000,0,0.00
36,Qwen2.5-VL-3B,,700.46,72.63,773.09,0.787,122,2,124,1,Yes,yes,Is a rectangular water area present?,5.20,5.40,12.01,55.1,8.42,0.0690,4.2078,0.0679,5542,2065,402,0.0000,0,0.00
37,Qwen2.5-VL-3B,,700.01,143.20,843.22,0.857,124,3,127,0,10,104,What is the number of small grass areas?,5.23,5.48,12.05,55.3,9.64,0.0777,3.2128,0.0759,5542,2065,402,0.0000,0,0.00
38,Qwen2.5-VL-3B,,699.16,72.21,771.37,0.785,121,2,123,0,No,yes,Is there a circular parking?,5.06,5.32,11.89,55.3,8.32,0.0687,4.1594,0.0676,5542,2065,402,0.0000,0,0.00
39,Qwen2.5-VL-3B,,699.95,72.21,772.16,0.786,123,2,125,1,Yes,yes,Are there less roads than residential buildings?,5.18,5.40,12.00,55.5,8.41,0.0684,4.2036,0.0673,5542,2065,402,0.0000,0,0.00
40,Qwen2.5-VL-3B,,700.54,210.77,911.31,0.925,124,4,128,0,100,3,What is the amount of square grass areas?,5.26,5.48,12.07,55.5,10.86,0.0876,2.7149,0.0848,5542,2065,402,0.0000,0,0.00
41,Qwen2.5-VL-3B,,700.58,72.72,773.30,0.787,123,2,125,0,Yes,no,Are there more commercial buildings than roads?,4.89,5.13,11.68,55.3,8.18,0.0665,4.0923,0.0655,5542,2065,402,0.0000,0,0.00
42,Qwen2.5-VL-3B,,699.14,72.69,771.83,0.786,121,2,123,1,Yes,yes,Is a small building present?,5.14,5.36,11.95,55.5,8.37,0.0692,4.1845,0.0680,5542,2065,402,0.0000,0,0.00
43,Qwen2.5-VL-3B,,699.02,72.29,771.30,0.785,120,2,122,1,Yes,yes,Is there a parking?,5.21,5.44,11.99,55.5,8.39,0.0699,4.1967,0.0688,5542,2065,402,0.0000,0,0.00
44,Qwen2.5-VL-3B,,699.75,278.27,978.02,0.992,123,5,128,0,1000,2,How many large commercial buildings are there?,5.21,5.44,12.10,55.4,10.88,0.0885,2.1765,0.0850,5542,2065,402,0.0000,0,0.00
45,Qwen2.5-VL-3B,,700.23,72.21,772.43,0.786,124,2,126,1,Yes,yes,Are there more commercial buildings than residential areas?,5.22,5.48,12.22,55.6,8.56,0.0690,4.2800,0.0679,5543,2064,402,0.0000,0,0.00
46,Qwen2.5-VL-3B,,698.95,72.22,771.17,0.785,126,2,128,0,Yes,no,Are there more commercial buildings than forests in the image?,5.21,5.48,12.05,55.6,8.43,0.0669,4.2152,0.0659,5543,2064,402,0.0000,0,0.00
47,Qwen2.5-VL-3B,,700.28,143.79,844.08,0.858,123,3,126,0,10,0,What is the amount of circular roads?,5.22,5.44,11.98,55.9,9.59,0.0780,3.1972,0.0761,5543,2064,402,0.0000,0,0.00
48,Qwen2.5-VL-3B,,712.11,72.62,784.73,0.799,128,2,130,1,No,no,Is the number of residential buildings equal to the number of roads?,5.05,5.40,11.85,55.9,8.28,0.0647,4.1418,0.0637,5543,2064,402,0.0000,0,0.00
49,Qwen2.5-VL-3B,,699.05,72.26,771.31,0.785,121,2,123,1,No,no,Is there a square road?,5.19,5.36,12.06,55.8,8.45,0.0699,4.2270,0.0687,5543,2064,402,0.0000,0,0.00
50,Qwen2.5-VL-3B,,699.70,72.21,771.91,0.786,125,2,127,1,Yes,yes,Are there less commercial buildings than farmlands?,5.21,5.48,12.02,56.0,8.42,0.0673,4.2083,0.0663,5543,2064,402,0.0000,0,0.00
51,Qwen2.5-VL-3B,,701.00,72.63,773.63,0.788,125,2,127,1,Yes,yes,Is there a small residential building in the image?,5.21,5.48,12.01,56.0,8.41,0.0673,4.2048,0.0662,5543,2064,402,0.0000,0,0.00
52,Qwen2.5-VL-3B,,700.05,72.21,772.25,0.786,123,2,125,1,Yes,yes,Are there less grass areas than roads?,5.20,5.48,12.03,55.8,8.43,0.0685,4.2150,0.0674,5543,2064,402,0.0000,0,0.00
53,Qwen2.5-VL-3B,,698.87,72.22,771.09,0.785,121,2,123,0,Yes,no,Is a large road present?,5.19,5.48,12.06,56.1,8.45,0.0699,4.2262,0.0687,5543,2064,402,0.0000,0,0.00
54,Qwen2.5-VL-3B,,711.86,72.15,784.01,0.798,127,2,129,1,No,no,Is the number of buildings equal to the number of roads?,5.21,5.44,12.01,56.1,8.40,0.0662,4.2025,0.0652,5544,2063,402,0.0000,0,0.00
55,Qwen2.5-VL-3B,,700.47,278.14,978.61,0.992,124,5,129,0,1000,72,What is the number of small commercial buildings?,5.29,5.52,12.08,56.0,10.88,0.0878,2.1765,0.0844,5544,2063,402,0.0000,0,0.00
56,Qwen2.5-VL-3B,,698.70,278.23,976.93,0.991,124,5,129,0,1000,2,What is the amount of square residential buildings?,5.31,5.52,12.23,56.0,11.00,0.0887,2.2003,0.0853,5544,2063,402,0.0000,0,0.00
57,Qwen2.5-VL-3B,,700.36,72.72,773.08,0.787,124,2,126,1,Yes,yes,Are there less parkings than residential buildings?,5.26,5.52,12.27,56.3,8.58,0.0692,4.2924,0.0681,5544,2063,402,0.0000,0,0.00
58,Qwen2.5-VL-3B,,700.30,72.27,772.57,0.786,124,2,126,1,Yes,yes,Is there a farmland in the image?,5.23,5.36,12.05,56.1,8.45,0.0681,4.2248,0.0671,5544,2063,402,0.0000,0,0.00
59,Qwen2.5-VL-3B,,722.75,72.25,795.00,0.809,121,2,123,1,Yes,yes,Is there a orchard?,5.16,5.48,11.92,56.5,9.53,0.0788,4.7646,0.0775,5544,2063,402,0.0000,0,0.00
60,Qwen2.5-VL-3B,,698.97,72.17,771.14,0.785,122,2,124,1,Yes,yes,Is there a rectangular residential building?,4.84,5.09,11.40,56.3,7.99,0.0655,3.9930,0.0644,5545,2062,402,0.0000,0,0.00
61,Qwen2.5-VL-3B,,699.86,72.14,772.00,0.786,124,2,126,1,Yes,yes,Are there less commercial buildings than grass areas?,5.15,5.36,11.87,56.6,8.31,0.0670,4.1570,0.0660,5545,2062,402,0.0000,0,0.00
62,Qwen2.5-VL-3B,,699.26,72.60,771.87,0.786,124,2,126,0,Yes,no,Are there less commercial buildings than water areas?,5.18,5.44,12.01,56.3,8.41,0.0678,4.2043,0.0667,5545,2062,402,0.0000,0,0.00
63,Qwen2.5-VL-3B,,700.37,72.16,772.53,0.786,124,2,126,1,Yes,yes,Is there a residential area in the image?,5.19,5.48,12.03,56.4,8.43,0.0680,4.2137,0.0669,5545,2062,402,0.0000,0,0.00
64,Qwen2.5-VL-3B,,711.85,72.13,783.98,0.798,129,2,131,1,No,no,Is the number of commercial buildings equal to the number of water areas?,5.21,5.48,12.08,56.4,8.46,0.0656,4.2313,0.0646,5545,2062,402,0.0000,0,0.00
65,Qwen2.5-VL-3B,,699.82,278.29,978.11,0.992,124,5,129,0,1000,0,What is the amount of square commercial buildings?,5.29,5.48,12.20,56.4,10.98,0.0885,2.1953,0.0851,5545,2062,402,0.0000,0,0.00
66,Qwen2.5-VL-3B,,699.54,142.98,842.52,0.856,122,3,125,0,10,0,How many medium roads are there?,5.24,5.48,12.26,56.4,9.81,0.0804,3.2693,0.0785,5545,2062,402,0.0000,0,0.00
67,Qwen2.5-VL-3B,,699.37,72.06,771.43,0.785,123,2,125,1,Yes,yes,Are there more buildings than water areas?,5.08,5.44,11.90,56.5,8.32,0.0676,4.1581,0.0665,5545,2062,402,0.0000,0,0.00
68,Qwen2.5-VL-3B,,700.15,72.67,772.82,0.787,124,2,126,1,Yes,yes,Are there less medium grass areas than roads?,5.19,5.44,12.04,56.8,8.42,0.0679,4.2119,0.0669,5545,2062,402,0.0000,0,0.00
69,Qwen2.5-VL-3B,,700.51,143.34,843.85,0.858,122,3,125,0,10,11,How many orchards are there?,5.22,5.48,12.07,56.7,9.66,0.0792,3.2205,0.0773,5545,2062,402,0.0000,0,0.00
70,Qwen2.5-VL-3B,,700.59,72.22,772.81,0.787,125,2,127,1,Yes,yes,Is there a medium residential building in the image?,5.09,5.44,11.91,56.9,8.32,0.0666,4.1612,0.0655,5545,2062,402,0.0000,0,0.00
71,Qwen2.5-VL-3B,,711.88,72.20,784.08,0.798,128,2,130,1,No,no,Is the number of roads equal to the number of water areas?,5.18,5.44,12.02,56.7,8.42,0.0658,4.2085,0.0647,5545,2062,402,0.0000,0,0.00
72,Qwen2.5-VL-3B,,699.93,72.27,772.20,0.787,125,2,127,0,Yes,no,Are there more medium water areas than commercial buildings?,5.26,5.44,12.09,56.7,8.48,0.0678,4.2395,0.0668,5545,2062,402,0.0000,0,0.00
73,Qwen2.5-VL-3B,,699.48,72.26,771.74,0.786,124,2,126,1,Yes,yes,Are there less grass areas than residential buildings?,5.21,5.48,12.02,56.6,8.41,0.0678,4.2063,0.0668,5545,2062,402,0.0000,0,0.00
74,Qwen2.5-VL-3B,,699.94,210.88,910.83,0.925,124,4,128,0,100,1,What is the amount of square water areas?,5.27,5.56,12.08,56.8,10.87,0.0877,2.7175,0.0849,5545,2062,402,0.0000,0,0.00
75,Qwen2.5-VL-3B,,698.71,143.20,841.90,0.856,124,3,127,0,10,3,What is the amount of circular grass areas?,5.01,5.52,11.79,57.0,9.40,0.0758,3.1319,0.0740,5546,2061,402,0.0000,0,0.00
76,Qwen2.5-VL-3B,,698.75,72.59,771.34,0.785,121,2,123,1,Yes,yes,Is there a large building?,5.06,5.40,11.88,56.9,8.30,0.0686,4.1520,0.0675,5545,2062,402,0.0000,0,0.00
77,Qwen2.5-VL-3B,,700.05,72.66,772.71,0.787,122,2,124,1,Yes,yes,Is a circular water area present?,5.14,5.28,11.98,56.8,8.39,0.0688,4.1954,0.0677,5545,2062,402,0.0000,0,0.00
78,Qwen2.5-VL-3B,,712.06,72.66,784.73,0.799,126,2,128,0,1,3,What is the amount of large buildings in the image?,5.18,5.44,12.05,56.9,8.44,0.0670,4.2187,0.0659,5545,2062,402,0.0000,0,0.00
79,Qwen2.5-VL-3B,,700.73,72.19,772.91,0.787,125,2,127,0,Yes,no,Is there a square farmland in the image?,5.25,5.48,12.16,57.0,8.52,0.0682,4.2597,0.0671,5545,2062,402,0.0000,0,0.00
80,Qwen2.5-VL-3B,,700.21,72.20,772.42,0.786,124,2,126,0,Yes,no,Are there less residential buildings than water areas?,5.20,5.32,12.04,56.8,8.44,0.0681,4.2192,0.0670,5545,2062,402,0.0000,0,0.00
81,Qwen2.5-VL-3B,,699.29,72.15,771.44,0.785,124,2,126,1,Yes,yes,Are there less circular residential buildings than roads?,5.21,5.48,11.99,57.0,8.39,0.0677,4.1974,0.0666,5545,2062,402,0.0000,0,0.00
82,Qwen2.5-VL-3B,,712.10,72.58,784.69,0.799,129,2,131,1,No,no,Is the number of commercial buildings equal to the number of pitchs?,5.20,5.44,12.06,56.8,8.44,0.0654,4.2201,0.0644,5545,2062,402,0.0000,0,0.00
83,Qwen2.5-VL-3B,,710.97,72.13,783.10,0.797,126,2,128,1,Yes,yes,Are there less commercial buildings than roads in the image?,5.25,5.44,12.15,56.9,8.52,0.0676,4.2601,0.0666,5545,2062,402,0.0000,0,0.00
84,Qwen2.5-VL-3B,,712.55,72.25,784.80,0.799,129,2,131,1,Yes,yes,Is there a commercial building at the bottom of the  circular forest?,5.26,5.48,12.10,57.3,8.48,0.0657,4.2400,0.0647,5545,2062,402,0.0000,0,0.00
85,Qwen2.5-VL-3B,,700.41,72.17,772.58,0.786,124,2,126,1,Yes,yes,Are there less small grass areas than buildings?,5.27,5.52,12.15,57.0,8.52,0.0687,4.2582,0.0676,5546,2061,402,0.0000,0,0.00
86,Qwen2.5-VL-3B,,700.53,72.19,772.72,0.787,125,2,127,0,Yes,no,Are there more water areas than small grass areas?,5.23,5.52,12.05,57.2,8.44,0.0675,4.2193,0.0664,5546,2061,402,0.0000,0,0.00
87,Qwen2.5-VL-3B,,699.85,72.61,772.45,0.786,122,2,124,1,Yes,yes,Is there a small commercial building?,5.23,5.48,12.00,57.3,8.40,0.0688,4.1990,0.0677,5546,2061,402,0.0000,0,0.00
88,Qwen2.5-VL-3B,,712.30,72.23,784.53,0.798,129,2,131,1,No,no,Is the number of water areas equal to the number of rectangular buildings?,5.23,5.52,11.98,57.1,8.39,0.0651,4.1960,0.0641,5546,2061,402,0.0000,0,0.00
89,Qwen2.5-VL-3B,,698.89,72.28,771.17,0.785,122,2,124,0,No,yes,Is there a square water area?,5.30,5.48,12.12,57.5,8.50,0.0697,4.2496,0.0685,5546,2061,402,0.0000,0,0.00
90,Qwen2.5-VL-3B,,698.52,72.25,770.77,0.785,122,2,124,0,Yes,no,Is there a square village green?,5.24,5.52,12.05,57.1,8.44,0.0691,4.2176,0.0680,5546,2061,402,0.0000,0,0.00
91,Qwen2.5-VL-3B,,699.91,72.54,772.45,0.786,124,2,126,1,Yes,yes,Are there less circular buildings than water areas?,5.19,5.48,12.09,57.1,8.47,0.0683,4.2344,0.0672,5546,2061,402,0.0000,0,0.00
92,Qwen2.5-VL-3B,,699.43,72.20,771.63,0.786,122,2,124,1,Yes,yes,Is there a rectangular commercial building?,5.24,5.52,12.03,57.3,8.42,0.0690,4.2114,0.0679,5546,2061,402,0.0000,0,0.00
93,Qwen2.5-VL-3B,,711.47,72.36,783.83,0.798,128,2,130,1,No,no,Is the number of forests equal to the number of water areas?,5.22,5.48,12.03,57.0,8.42,0.0658,4.2090,0.0648,5546,2061,402,0.0000,0,0.00
94,Qwen2.5-VL-3B,,698.75,72.50,771.26,0.785,121,2,123,0,No,yes,Is a circular building present?,5.23,5.44,12.10,57.5,8.48,0.0701,4.2405,0.0690,5546,2061,402,0.0000,0,0.00
95,Qwen2.5-VL-3B,,711.64,72.15,783.79,0.798,128,2,130,1,No,no,Is the number of roads equal to the number of commercial buildings?,5.20,5.52,12.06,57.2,8.45,0.0660,4.2238,0.0650,5546,2061,402,0.0000,0,0.00
96,Qwen2.5-VL-3B,,679.69,72.24,751.93,0.766,127,2,129,1,No,no,Is the number of roads equal to the number of forests?,5.31,5.52,12.17,57.4,8.52,0.0671,4.2623,0.0661,5546,2061,402,0.0000,0,0.00
97,Qwen2.5-VL-3B,,699.81,72.13,771.94,0.786,123,2,125,0,Yes,no,Are there less forests than commercial buildings?,5.13,5.32,11.89,57.2,8.33,0.0677,4.1633,0.0666,5548,2059,402,0.0000,0,0.00
98,Qwen2.5-VL-3B,,699.73,72.30,772.02,0.786,124,2,126,1,Yes,yes,Are there more grass areas than square buildings?,5.21,5.48,12.01,57.3,8.41,0.0678,4.2035,0.0667,5548,2059,402,0.0000,0,0.00
99,Qwen2.5-VL-3B,,699.82,72.68,772.50,0.786,121,2,123,1,Yes,yes,Is there a square building?,5.23,5.48,12.05,57.3,8.44,0.0697,4.2189,0.0686,5548,2059,402,0.0000,0,0.00
100,Qwen2.5-VL-3B,,700.34,143.84,844.18,0.858,124,3,127,1,Rural,rural,Is it a rural or an urban area,5.20,5.48,12.00,57.2,9.60,0.0774,3.1993,0.0756,5548,2059,402,0.0000,0,0.00
101,Qwen2.5-VL-3B,,711.72,72.21,783.93,0.797,126,2,128,0,1,5,What is the number of commercial buildings in the image?,5.10,5.48,11.85,57.4,8.29,0.0658,4.1428,0.0647,5548,2059,402,0.0000,0,0.00
102,Qwen2.5-VL-3B,,698.63,72.21,770.84,0.784,121,2,123,0,No,yes,Is there a residential building?,5.24,5.48,12.11,57.5,8.48,0.0701,4.2411,0.0690,5548,2059,402,0.0000,0,0.00
103,Qwen2.5-VL-3B,,698.67,72.25,770.92,0.784,120,2,122,1,Yes,yes,Is a road present?,5.18,5.44,12.03,57.3,8.43,0.0702,4.2129,0.0691,5548,2059,402,0.0000,0,0.00
104,Qwen2.5-VL-3B,,698.83,72.70,771.53,0.785,120,2,122,0,No,yes,Is a building present?,5.20,5.48,12.09,57.5,8.47,0.0706,4.2367,0.0695,5548,2059,402,0.0000,0,0.00
105,Qwen2.5-VL-3B,,700.15,143.09,843.24,0.857,122,3,125,0,10,202,How many small roads are there?,5.26,5.48,12.10,57.6,9.67,0.0793,3.2246,0.0774,5547,2060,402,0.0000,0,0.00
106,Qwen2.5-VL-3B,,699.42,72.30,771.72,0.785,121,2,123,1,Yes,yes,Is a farmland present?,5.06,5.24,11.88,57.3,8.33,0.0688,4.1637,0.0677,5547,2060,402,0.0000,0,0.00
107,Qwen2.5-VL-3B,,698.93,72.24,771.17,0.785,121,2,123,1,Yes,yes,Is a grass area present?,5.20,5.44,11.99,57.4,8.39,0.0694,4.1961,0.0682,5547,2060,402,0.0000,0,0.00
108,Qwen2.5-VL-3B,,700.58,72.21,772.79,0.786,125,2,127,1,Yes,yes,Are there less commercial buildings than farmlands?,5.22,5.48,12.07,57.5,8.44,0.0676,4.2221,0.0665,5547,2060,402,0.0000,0,0.00
109,Qwen2.5-VL-3B,,699.50,279.15,978.65,0.992,121,5,126,0,1000,202,How many roads are there?,5.29,5.52,12.06,57.4,10.86,0.0898,2.1721,0.0862,5547,2060,402,0.0000,0,0.00
110,Qwen2.5-VL-3B,,711.89,72.27,784.16,0.798,129,2,131,1,No,no,Is the number of residential buildings equal to the number of water areas?,5.27,5.52,12.19,57.9,8.54,0.0662,4.2688,0.0652,5548,2059,402,0.0000,0,0.00
111,Qwen2.5-VL-3B,,698.58,72.39,770.98,0.784,121,2,123,1,Yes,yes,Is there a rectangular building?,5.26,5.48,12.13,57.5,8.50,0.0702,4.2496,0.0691,5548,2059,402,0.0000,0,0.00
112,Qwen2.5-VL-3B,,700.77,72.12,772.89,0.787,124,2,126,1,Yes,yes,Are there more water areas than commercial buildings?,5.21,5.52,12.09,57.6,8.47,0.0683,4.2333,0.0672,5548,2059,402,0.0000,0,0.00
113,Qwen2.5-VL-3B,,698.62,72.15,770.77,0.784,120,2,122,1,Yes,yes,Is a forest present?,5.21,5.44,12.06,57.9,8.44,0.0704,4.2214,0.0692,5548,2059,402,0.0000,0,0.00
114,Qwen2.5-VL-3B,,700.55,72.56,773.11,0.787,125,2,127,0,0,230,What is the amount of buildings in the image?,5.22,5.52,12.05,57.6,8.44,0.0675,4.2196,0.0665,5548,2059,402,0.0000,0,0.00
115,Qwen2.5-VL-3B,,698.77,143.04,841.80,0.855,123,3,126,0,10,224,What is the number of residential buildings?,5.27,5.52,12.06,58.0,9.65,0.0785,3.2169,0.0766,5548,2059,402,0.0000,0,0.00
116,Qwen2.5-VL-3B,,699.91,72.08,771.99,0.785,124,2,126,1,Yes,yes,Are there more buildings than farmlands?,5.11,5.48,11.96,57.9,8.36,0.0674,4.1788,0.0663,5548,2059,402,0.0000,0,0.00
117,Qwen2.5-VL-3B,,699.14,72.07,771.22,0.785,123,2,125,0,Yes,no,Are there more grass areas than buildings?,5.16,5.40,12.03,57.9,8.43,0.0685,4.2137,0.0674,5548,2059,402,0.0000,0,0.00
118,Qwen2.5-VL-3B,,698.76,72.07,770.83,0.784,121,2,123,0,No,yes,Is a water area present?,5.20,5.48,12.02,57.7,8.41,0.0695,4.2067,0.0684,5548,2059,402,0.0000,0,0.00
