question_id,model_name,model_load_time_s,prefill_ms,decode_ms,prefill_plus_decode_ms,latency_sec,input_tokens,output_tokens,total_tokens,correct,model_response,ground_truth,question_text,avg_gpu_cv_w,max_gpu_cv_w,avg_power_in_w,max_gpu_temp_c,energy_total_j,energy_per_input_token_j,energy_per_output_token_j,energy_per_total_token_j,ram_used_mb,ram_free_mb,swap_used_mb,kv_cache_usage_ratio,kv_cache_tokens
21,Qwen2.5-VL-3B,,605.72,76.81,682.53,0.710,125,2,127,1,Yes,yes,Is a large commercial building present in the image?,6.30,6.67,14.49,54.6,10.16,0.0813,5.0821,0.0800,6044,1576,23,0.0000,0
22,Qwen2.5-VL-3B,,583.83,67.52,651.35,0.677,123,2,125,0,1,42,What is the number of water areas?,6.26,6.75,14.29,54.9,8.55,0.0695,4.2735,0.0684,6050,1570,23,0.0000,0
23,Qwen2.5-VL-3B,,642.47,77.43,719.90,0.750,128,2,130,1,No,no,Is the number of buildings equal to the number of water areas?,6.53,6.75,14.68,54.8,10.29,0.0804,5.1434,0.0791,6053,1567,23,0.0000,0
24,Qwen2.5-VL-3B,,612.34,66.24,678.58,0.708,121,2,123,1,Yes,yes,Is there a small road?,6.37,6.72,14.51,55.1,10.18,0.0841,5.0908,0.0828,6058,1562,23,0.0000,0
25,Qwen2.5-VL-3B,,587.33,70.53,657.86,0.684,121,2,123,1,No,no,Is there a rectangular road?,6.27,6.71,14.26,55.0,8.54,0.0706,4.2705,0.0694,6066,1554,23,0.0000,0
26,Qwen2.5-VL-3B,,648.96,221.40,870.35,0.897,122,4,126,0,100,1064,How many small roads are there?,6.44,6.72,14.77,55.2,11.84,0.0970,2.9589,0.0939,6069,1551,23,0.0000,0
27,Qwen2.5-VL-3B,,662.25,77.39,739.64,0.771,129,2,131,1,No,no,Is the number of residential buildings equal to the number of medium roads?,6.33,6.56,14.79,55.4,10.36,0.0803,5.1816,0.0791,6076,1544,23,0.0000,0
28,Qwen2.5-VL-3B,,629.36,77.59,706.95,0.732,124,2,126,1,Yes,yes,Are there more roads than rectangular water areas?,6.38,6.60,14.67,55.3,10.27,0.0828,5.1363,0.0815,6079,1541,24,0.0000,0
29,Qwen2.5-VL-3B,,619.39,146.27,765.66,0.793,123,3,126,0,10,2,How many circular residential buildings are there?,6.27,6.68,14.42,55.5,10.13,0.0824,3.3771,0.0804,6084,1536,24,0.0000,0
30,Qwen2.5-VL-3B,,650.84,65.13,715.97,0.741,121,2,123,1,Yes,yes,Is there a grass area?,6.40,6.64,14.75,55.9,10.33,0.0854,5.1668,0.0840,6092,1528,23,0.0000,0
31,Qwen2.5-VL-3B,,605.46,384.71,990.18,1.024,122,6,128,0,10000,117,What is the amount of forests?,6.42,6.72,14.61,55.8,14.63,0.1199,2.4385,0.1143,6097,1523,23,0.0000,0
32,Qwen2.5-VL-3B,,598.66,232.31,830.96,0.857,123,4,127,0,100,19,How many rectangular commercial buildings are there?,6.19,6.60,14.51,55.9,11.60,0.0943,2.9001,0.0913,6102,1518,24,0.0000,0
33,Qwen2.5-VL-3B,,618.29,77.22,695.51,0.722,120,2,122,1,Yes,yes,Is a forest present?,6.24,6.56,14.65,55.9,10.26,0.0855,5.1317,0.0841,6106,1514,24,0.0000,0
34,Qwen2.5-VL-3B,,598.96,232.02,830.98,0.854,123,4,127,0,100,498,How many farmlands are there?,6.31,6.67,14.49,56.1,11.59,0.0942,2.8971,0.0912,6109,1511,24,0.0000,0
35,Qwen2.5-VL-3B,,626.16,77.33,703.49,0.737,126,2,128,0,Yes,no,Are there less buildings than grass areas in the image?,6.29,6.60,14.60,56.2,10.21,0.0810,5.1056,0.0798,6115,1505,24,0.0000,0
36,Qwen2.5-VL-3B,,609.89,76.99,686.88,0.714,122,2,124,1,Yes,yes,Is a rectangular water area present?,6.22,6.67,14.34,56.3,10.06,0.0825,5.0315,0.0812,6118,1502,24,0.0000,0
37,Qwen2.5-VL-3B,,594.11,143.83,737.94,0.761,124,3,127,0,10,104,What is the number of small grass areas?,6.29,6.71,14.38,56.2,10.05,0.0811,3.3513,0.0792,6126,1494,24,0.0000,0
38,Qwen2.5-VL-3B,,625.87,67.23,693.10,0.721,121,2,123,0,No,yes,Is there a circular parking?,6.38,6.64,14.67,56.3,10.28,0.0849,5.1376,0.0835,6131,1489,24,0.0000,0
39,Qwen2.5-VL-3B,,599.30,67.44,666.75,0.689,123,2,125,1,Yes,yes,Are there less roads than residential buildings?,6.31,6.68,14.41,56.5,8.62,0.0701,4.3100,0.0690,6137,1483,24,0.0000,0
40,Qwen2.5-VL-3B,,649.05,219.96,869.01,0.898,124,4,128,0,100,3,What is the amount of square grass areas?,6.44,6.67,14.74,56.7,11.80,0.0952,2.9502,0.0922,6141,1479,24,0.0000,0
41,Qwen2.5-VL-3B,,650.44,77.33,727.77,0.756,123,2,125,0,Yes,no,Are there more commercial buildings than roads?,6.34,6.56,14.80,56.7,10.38,0.0844,5.1888,0.0830,6147,1473,24,0.0000,0
42,Qwen2.5-VL-3B,,606.32,77.34,683.66,0.711,121,2,123,1,Yes,yes,Is a small building present?,6.37,6.67,14.56,56.6,10.18,0.0842,5.0923,0.0828,6150,1470,24,0.0000,0
43,Qwen2.5-VL-3B,,580.34,66.51,646.85,0.680,120,2,122,1,Yes,yes,Is there a parking?,6.27,6.79,14.24,56.8,8.55,0.0712,4.2748,0.0701,6157,1463,24,0.0000,0
44,Qwen2.5-VL-3B,,645.21,296.70,941.91,0.968,123,5,128,0,1000,2,How many large commercial buildings are there?,6.53,6.79,14.74,56.8,13.30,0.1081,2.6600,0.1039,6161,1459,24,0.0000,0
45,Qwen2.5-VL-3B,,634.87,76.53,711.40,0.739,124,2,126,1,Yes,yes,Are there more commercial buildings than residential areas?,6.31,6.60,14.71,56.9,10.30,0.0830,5.1489,0.0817,6168,1452,24,0.0000,0
46,Qwen2.5-VL-3B,,603.93,77.08,681.01,0.709,126,2,128,0,Yes,no,Are there more commercial buildings than forests in the image?,6.27,6.75,14.35,57.2,10.07,0.0799,5.0340,0.0787,6174,1446,24,0.0000,0
47,Qwen2.5-VL-3B,,583.13,143.50,726.63,0.760,123,3,126,0,10,0,What is the amount of circular roads?,6.31,6.79,14.26,57.1,9.96,0.0810,3.3201,0.0791,6176,1444,24,0.0000,0
48,Qwen2.5-VL-3B,,631.11,77.24,708.35,0.733,128,2,130,1,No,no,Is the number of residential buildings equal to the number of roads?,6.44,6.68,14.63,57.5,10.26,0.0802,5.1316,0.0789,6181,1439,24,0.0000,0
49,Qwen2.5-VL-3B,,600.84,65.92,666.76,0.692,121,2,123,1,No,no,Is there a square road?,6.30,6.64,14.41,57.5,8.62,0.0712,4.3104,0.0701,6186,1434,24,0.0000,0
50,Qwen2.5-VL-3B,,653.15,67.00,720.16,0.746,125,2,127,1,Yes,yes,Are there less commercial buildings than farmlands?,6.46,6.72,14.73,57.3,10.32,0.0826,5.1625,0.0813,6194,1426,24,0.0000,0
51,Qwen2.5-VL-3B,,612.31,77.18,689.49,0.722,125,2,127,1,Yes,yes,Is there a small residential building in the image?,6.32,6.67,14.54,57.4,10.20,0.0816,5.1022,0.0803,6201,1419,24,0.0000,0
52,Qwen2.5-VL-3B,,596.92,67.49,664.40,0.688,123,2,125,1,Yes,yes,Are there less grass areas than roads?,6.27,6.67,14.39,57.6,8.61,0.0700,4.3036,0.0689,6203,1417,24,0.0000,0
53,Qwen2.5-VL-3B,,646.03,67.22,713.25,0.738,121,2,123,0,Yes,no,Is a large road present?,6.47,6.67,14.75,57.6,10.34,0.0854,5.1676,0.0840,6207,1413,24,0.0000,0
54,Qwen2.5-VL-3B,,621.14,66.99,688.13,0.715,127,2,129,1,No,no,Is the number of buildings equal to the number of roads?,6.31,6.75,14.39,57.7,10.10,0.0795,5.0501,0.0783,6212,1408,24,0.0000,0
55,Qwen2.5-VL-3B,,592.32,297.80,890.12,0.925,124,5,129,0,1000,72,What is the number of small commercial buildings?,6.40,6.75,14.42,57.8,12.98,0.1047,2.5956,0.1006,6219,1401,24,0.0000,0
56,Qwen2.5-VL-3B,,602.52,308.34,910.87,0.939,124,5,129,0,1000,2,What is the amount of square residential buildings?,6.25,6.67,14.50,58.0,13.09,0.1056,2.6184,0.1015,6225,1395,24,0.0000,0
57,Qwen2.5-VL-3B,,612.30,77.56,689.86,0.717,124,2,126,1,Yes,yes,Are there less parkings than residential buildings?,6.20,6.59,14.53,57.9,10.17,0.0820,5.0830,0.0807,6228,1392,24,0.0000,0
58,Qwen2.5-VL-3B,,597.51,78.22,675.73,0.703,124,2,126,1,Yes,yes,Is there a farmland in the image?,6.24,6.71,14.39,57.8,10.13,0.0817,5.0653,0.0804,6235,1385,24,0.0000,0
59,Qwen2.5-VL-3B,,575.01,64.33,639.33,0.672,121,2,123,1,Yes,yes,Is there a orchard?,6.22,6.75,14.18,58.0,8.47,0.0700,4.2341,0.0688,6239,1381,24,0.0000,0
60,Qwen2.5-VL-3B,,632.40,68.20,700.60,0.726,122,2,124,1,Yes,yes,Is there a rectangular residential building?,6.52,6.83,14.72,58.0,10.32,0.0846,5.1589,0.0832,6245,1375,24,0.0000,0
61,Qwen2.5-VL-3B,,599.48,77.70,677.18,0.705,124,2,126,1,Yes,yes,Are there less commercial buildings than grass areas?,6.26,6.71,14.27,58.2,10.01,0.0807,5.0048,0.0794,6248,1372,24,0.0000,0
62,Qwen2.5-VL-3B,,579.80,65.51,645.31,0.677,124,2,126,0,Yes,no,Are there less commercial buildings than water areas?,6.22,6.75,14.15,58.0,8.47,0.0683,4.2373,0.0673,6255,1365,24,0.0000,0
63,Qwen2.5-VL-3B,,633.95,66.49,700.44,0.731,124,2,126,1,Yes,yes,Is there a residential area in the image?,6.57,6.83,14.69,58.4,10.30,0.0830,5.1484,0.0817,6260,1360,24,0.0000,0
64,Qwen2.5-VL-3B,,615.13,77.45,692.58,0.718,129,2,131,1,No,no,Is the number of commercial buildings equal to the number of water areas?,6.45,6.75,14.50,58.2,10.14,0.0786,5.0697,0.0774,6265,1355,24,0.0000,0
65,Qwen2.5-VL-3B,,589.45,294.71,884.15,0.910,124,5,129,0,1000,0,What is the amount of square commercial buildings?,6.39,6.79,14.50,58.2,13.06,0.1053,2.6112,0.1012,6271,1349,24,0.0000,0
66,Qwen2.5-VL-3B,,595.15,153.45,748.60,0.776,122,3,125,0,10,0,How many medium roads are there?,6.06,6.63,14.21,58.4,9.99,0.0819,3.3308,0.0799,6276,1344,24,0.0000,0
67,Qwen2.5-VL-3B,,628.94,77.47,706.41,0.737,123,2,125,1,Yes,yes,Are there more buildings than water areas?,6.33,6.60,14.63,58.2,10.25,0.0834,5.1269,0.0820,6283,1337,24,0.0000,0
68,Qwen2.5-VL-3B,,606.32,76.75,683.07,0.708,124,2,126,1,Yes,yes,Are there less medium grass areas than roads?,6.34,6.67,14.52,58.4,10.18,0.0821,5.0916,0.0808,6288,1332,24,0.0000,0
69,Qwen2.5-VL-3B,,585.76,143.36,729.12,0.756,122,3,125,0,10,11,How many orchards are there?,6.30,6.71,14.34,58.6,10.01,0.0820,3.3357,0.0801,6291,1329,24,0.0000,0
70,Qwen2.5-VL-3B,,620.74,77.43,698.17,0.726,125,2,127,1,Yes,yes,Is there a medium residential building in the image?,6.40,6.63,14.64,58.7,10.26,0.0820,5.1280,0.0808,6298,1322,24,0.0000,0
71,Qwen2.5-VL-3B,,603.96,77.16,681.12,0.712,128,2,130,1,No,no,Is the number of roads equal to the number of water areas?,6.30,6.75,14.32,58.7,10.05,0.0785,5.0247,0.0773,6301,1319,24,0.0000,0
72,Qwen2.5-VL-3B,,585.94,68.32,654.26,0.683,125,2,127,0,Yes,no,Are there more medium water areas than commercial buildings?,6.25,6.71,14.24,58.8,8.51,0.0681,4.2556,0.0670,6310,1310,24,0.0000,0
73,Qwen2.5-VL-3B,,651.75,66.33,718.08,0.742,124,2,126,1,Yes,yes,Are there less grass areas than residential buildings?,6.49,6.83,14.76,58.7,10.35,0.0835,5.1742,0.0821,6316,1304,24,0.0000,0
74,Qwen2.5-VL-3B,,613.04,219.75,832.79,0.863,124,4,128,0,100,1,What is the amount of square water areas?,6.46,6.71,14.57,59.0,11.65,0.0939,2.9120,0.0910,6321,1299,24,0.0000,0
75,Qwen2.5-VL-3B,,627.77,153.61,781.38,0.809,124,3,127,0,10,3,What is the amount of circular grass areas?,6.38,6.63,14.68,59.0,11.77,0.0949,3.9220,0.0926,6326,1294,24,0.0000,0
76,Qwen2.5-VL-3B,,593.03,68.22,661.25,0.690,121,2,123,1,Yes,yes,Is there a large building?,6.04,6.63,14.03,58.9,8.43,0.0697,4.2158,0.0685,6331,1289,25,0.0000,0
77,Qwen2.5-VL-3B,,661.88,67.81,729.70,0.756,122,2,124,1,Yes,yes,Is a circular water area present?,6.45,6.67,14.76,59.0,10.35,0.0849,5.1764,0.0835,6336,1284,25,0.0000,0
78,Qwen2.5-VL-3B,,635.39,67.31,702.70,0.726,126,2,128,0,1,3,What is the amount of large buildings in the image?,6.44,6.63,14.64,59.0,10.26,0.0814,5.1298,0.0802,6341,1279,25,0.0000,0
79,Qwen2.5-VL-3B,,601.41,68.12,669.53,0.701,125,2,127,0,Yes,no,Is there a square farmland in the image?,6.35,6.75,14.39,59.0,8.61,0.0689,4.3046,0.0678,6346,1274,25,0.0000,0
80,Qwen2.5-VL-3B,,658.10,77.26,735.36,0.762,124,2,126,0,Yes,no,Are there less residential buildings than water areas?,6.52,6.71,14.74,58.9,10.33,0.0833,5.1666,0.0820,6353,1267,25,0.0000,0
81,Qwen2.5-VL-3B,,630.03,66.76,696.79,0.719,124,2,126,1,Yes,yes,Are there less circular residential buildings than roads?,6.40,6.67,14.66,59.2,10.29,0.0830,5.1445,0.0817,6359,1261,25,0.0000,0
82,Qwen2.5-VL-3B,,615.06,70.12,685.18,0.710,129,2,131,1,No,no,Is the number of commercial buildings equal to the number of pitchs?,6.41,6.79,14.41,59.3,10.07,0.0781,5.0364,0.0769,6362,1258,25,0.0000,0
83,Qwen2.5-VL-3B,,606.90,67.51,674.42,0.706,126,2,128,1,Yes,yes,Are there less commercial buildings than roads in the image?,6.37,6.75,14.34,59.2,10.05,0.0798,5.0257,0.0785,6367,1253,26,0.0000,0
84,Qwen2.5-VL-3B,,602.25,70.21,672.45,0.697,129,2,131,1,Yes,yes,Is there a commercial building at the bottom of the  circular forest?,6.19,6.71,14.08,59.4,8.46,0.0656,4.2324,0.0646,6372,1248,26,0.0000,0
85,Qwen2.5-VL-3B,,658.07,67.08,725.15,0.752,124,2,126,1,Yes,yes,Are there less small grass areas than buildings?,6.45,6.75,14.74,59.1,10.33,0.0833,5.1655,0.0820,6380,1240,26,0.0000,0
86,Qwen2.5-VL-3B,,619.27,66.93,686.21,0.714,125,2,127,0,Yes,no,Are there more water areas than small grass areas?,6.43,6.67,14.59,59.3,10.23,0.0819,5.1158,0.0806,6384,1236,26,0.0000,0
87,Qwen2.5-VL-3B,,593.26,68.06,661.32,0.695,122,2,124,1,Yes,yes,Is there a small commercial building?,6.31,6.71,14.29,59.4,8.55,0.0701,4.2754,0.0690,6389,1231,26,0.0000,0
88,Qwen2.5-VL-3B,,666.39,69.33,735.72,0.758,129,2,131,1,No,no,Is the number of water areas equal to the number of rectangular buildings?,6.50,6.79,14.75,59.3,10.35,0.0802,5.1754,0.0790,6394,1226,26,0.0000,0
89,Qwen2.5-VL-3B,,624.83,77.30,702.13,0.729,122,2,124,0,No,yes,Is there a square water area?,6.42,6.71,14.63,59.4,10.27,0.0842,5.1348,0.0828,6401,1219,26,0.0000,0
90,Qwen2.5-VL-3B,,598.88,65.72,664.60,0.690,122,2,124,0,Yes,no,Is there a square village green?,6.31,6.67,14.40,59.4,8.63,0.0707,4.3136,0.0696,6406,1214,26,0.0000,0
91,Qwen2.5-VL-3B,,650.76,77.08,727.84,0.761,124,2,126,1,Yes,yes,Are there less circular buildings than water areas?,6.46,6.79,14.74,59.6,10.32,0.0833,5.1616,0.0819,6411,1209,26,0.0000,0
92,Qwen2.5-VL-3B,,616.56,66.76,683.32,0.711,122,2,124,1,Yes,yes,Is there a rectangular commercial building?,6.41,6.67,14.58,59.7,10.21,0.0837,5.1055,0.0823,6416,1204,26,0.0000,0
93,Qwen2.5-VL-3B,,609.60,68.05,677.65,0.706,128,2,130,1,No,no,Is the number of forests equal to the number of water areas?,6.36,6.75,14.36,59.6,10.07,0.0787,5.0356,0.0775,6420,1200,26,0.0000,0
94,Qwen2.5-VL-3B,,590.48,67.73,658.20,0.683,121,2,123,0,No,yes,Is a circular building present?,6.19,6.67,14.09,59.6,8.48,0.0701,4.2408,0.0690,6427,1193,26,0.0000,0
95,Qwen2.5-VL-3B,,640.44,68.20,708.64,0.741,128,2,130,1,No,no,Is the number of roads equal to the number of commercial buildings?,6.58,6.83,14.66,59.5,10.26,0.0802,5.1315,0.0789,6432,1188,26,0.0000,0
96,Qwen2.5-VL-3B,,612.70,66.51,679.21,0.701,127,2,129,1,No,no,Is the number of roads equal to the number of forests?,6.38,6.59,14.47,59.6,8.70,0.0685,4.3489,0.0674,6438,1182,26,0.0000,0
97,Qwen2.5-VL-3B,,667.03,65.76,732.79,0.756,123,2,125,0,Yes,no,Are there less forests than commercial buildings?,6.49,6.71,14.78,59.6,10.37,0.0843,5.1862,0.0830,6443,1177,26,0.0000,0
98,Qwen2.5-VL-3B,,625.36,77.46,702.82,0.727,124,2,126,1,Yes,yes,Are there more grass areas than square buildings?,6.49,6.67,14.64,59.6,10.26,0.0827,5.1286,0.0814,6447,1173,29,0.0000,0
99,Qwen2.5-VL-3B,,590.46,67.68,658.14,0.692,121,2,123,1,Yes,yes,Is there a square building?,6.16,6.67,14.13,59.9,8.50,0.0702,4.2495,0.0691,6452,1168,29,0.0000,0
100,Qwen2.5-VL-3B,,550.16,143.70,693.86,0.725,124,3,127,1,Rural,rural,Is it a rural or an urban area,6.61,6.83,14.70,59.9,10.31,0.0831,3.4368,0.0812,6457,1163,29,0.0000,0
101,Qwen2.5-VL-3B,,511.97,63.70,575.67,0.603,126,2,128,0,1,5,What is the number of commercial buildings in the image?,6.45,6.83,14.39,59.8,8.64,0.0686,4.3223,0.0675,6457,1163,37,0.0000,0
102,Qwen2.5-VL-3B,,493.04,67.07,560.11,0.591,121,2,123,0,No,yes,Is there a residential building?,6.42,6.90,14.15,59.8,7.02,0.0581,3.5125,0.0571,6457,1163,37,0.0000,0
103,Qwen2.5-VL-3B,,654.20,67.45,721.65,0.749,120,2,122,1,Yes,yes,Is a road present?,6.61,7.02,14.72,59.8,10.32,0.0860,5.1616,0.0846,6457,1163,37,0.0000,0
104,Qwen2.5-VL-3B,,523.53,67.77,591.30,0.623,120,2,122,0,No,yes,Is a building present?,6.49,6.79,14.50,59.9,8.72,0.0727,4.3617,0.0715,6457,1163,37,0.0000,0
105,Qwen2.5-VL-3B,,504.22,145.78,650.00,0.674,122,3,125,0,10,202,How many small roads are there?,6.57,6.98,14.41,60.1,8.62,0.0706,2.8720,0.0689,6463,1157,37,0.0000,0
106,Qwen2.5-VL-3B,,646.53,66.40,712.93,0.736,121,2,123,1,Yes,yes,Is a farmland present?,6.46,6.83,14.74,59.8,10.32,0.0853,5.1600,0.0839,6463,1157,37,0.0000,0
107,Qwen2.5-VL-3B,,604.09,77.93,682.01,0.714,121,2,123,1,Yes,yes,Is a grass area present?,6.37,6.67,14.47,59.9,10.12,0.0837,5.0608,0.0823,6463,1157,37,0.0000,0
108,Qwen2.5-VL-3B,,491.48,66.89,558.37,0.591,125,2,127,1,Yes,yes,Are there less commercial buildings than farmlands?,6.26,6.87,14.11,60.2,7.03,0.0562,3.5150,0.0554,6468,1152,37,0.0000,0
109,Qwen2.5-VL-3B,,650.55,299.48,950.03,0.975,121,5,126,0,1000,202,How many roads are there?,6.59,6.94,14.80,60.0,13.34,0.1102,2.6678,0.1059,6472,1148,37,0.0000,0
110,Qwen2.5-VL-3B,,656.47,77.93,734.40,0.763,129,2,131,1,No,no,Is the number of residential buildings equal to the number of water areas?,6.28,6.59,14.72,60.0,10.32,0.0800,5.1597,0.0788,6473,1147,37,0.0000,0
111,Qwen2.5-VL-3B,,622.81,67.25,690.06,0.721,121,2,123,1,Yes,yes,Is there a rectangular building?,6.36,6.71,14.62,60.1,10.25,0.0847,5.1259,0.0833,6473,1147,43,0.0000,0
112,Qwen2.5-VL-3B,,503.65,67.67,571.32,0.602,124,2,126,1,Yes,yes,Are there more water areas than commercial buildings?,6.44,6.94,14.33,60.5,8.58,0.0692,4.2905,0.0681,6479,1141,43,0.0000,0
113,Qwen2.5-VL-3B,,500.79,72.89,573.68,0.602,120,2,122,1,Yes,yes,Is a forest present?,6.44,6.87,14.21,60.3,8.55,0.0712,4.2731,0.0701,6484,1136,43,0.0000,0
114,Qwen2.5-VL-3B,,593.38,67.14,660.52,0.684,125,2,127,0,0,230,What is the amount of buildings in the image?,6.15,6.59,14.12,60.1,8.49,0.0679,4.2449,0.0668,6479,1141,47,0.0000,0
115,Qwen2.5-VL-3B,,642.02,144.26,786.28,0.819,123,3,126,0,10,224,What is the number of residential buildings?,6.57,6.83,14.72,60.4,11.80,0.0959,3.9331,0.0936,6479,1141,47,0.0000,0
116,Qwen2.5-VL-3B,,602.93,67.23,670.16,0.698,124,2,126,1,Yes,yes,Are there more buildings than farmlands?,6.26,6.59,14.38,60.3,8.64,0.0697,4.3222,0.0686,6478,1142,56,0.0000,0
117,Qwen2.5-VL-3B,,667.70,68.01,735.71,0.759,123,2,125,0,Yes,no,Are there more grass areas than buildings?,6.48,6.71,14.79,60.3,10.37,0.0843,5.1864,0.0830,6482,1138,56,0.0000,0
118,Qwen2.5-VL-3B,,627.50,68.87,696.38,0.719,121,2,123,0,No,yes,Is a water area present?,6.45,6.75,14.66,60.4,10.26,0.0848,5.1301,0.0834,6488,1132,56,0.0000,0
119,Qwen2.5-VL-3B,,611.49,71.33,682.81,0.715,132,2,134,1,No,no,Is the number of water areas equal to the number of commercial buildings in the image?,6.38,6.75,14.41,60.5,10.12,0.0766,5.0581,0.0755,6493,1127,56,0.0000,0
120,Qwen2.5-VL-3B,,629.13,67.56,696.69,0.723,121,2,123,1,Yes,yes,Is there a commercial building?,6.41,6.79,14.46,60.4,10.12,0.0836,5.0604,0.0823,6490,1130,64,0.0000,0
121,Qwen2.5-VL-3B,,501.61,372.26,873.87,0.905,122,6,128,0,10000,90,What is the amount of forests?,6.57,6.98,14.51,60.6,13.09,0.1073,2.1811,0.1022,6487,1133,73,0.0000,0
122,Qwen2.5-VL-3B,,505.85,78.08,583.94,0.614,124,2,126,0,Yes,no,Are there less residential buildings than water areas?,6.20,6.71,14.26,60.5,8.53,0.0688,4.2625,0.0677,6491,1129,73,0.0000,0
