question_id,model_name,model_load_time_s,prefill_ms,decode_ms,prefill_plus_decode_ms,latency_sec,input_tokens,output_tokens,total_tokens,correct,model_response,ground_truth,question_text,avg_gpu_cv_w,max_gpu_cv_w,avg_power_in_w,max_gpu_temp_c,energy_total_j,energy_per_input_token_j,energy_per_output_token_j,energy_per_total_token_j,ram_used_mb,ram_free_mb,swap_used_mb,kv_n_past,kv_n_ctx,kv_peak_occupancy
35,Qwen2.5-VL-3B,,586.13,76.80,662.93,0.686,126,2,128,0,Yes,no,Are there less buildings than grass areas in the image?,6.13,6.75,14.08,55.5,8.44,0.0670,4.2179,0.0659,5921,1699,255,0,8192,0.0
36,Qwen2.5-VL-3B,,633.74,67.93,701.68,0.729,122,2,124,1,Yes,yes,Is a rectangular water area present?,6.46,6.68,14.72,55.6,10.32,0.0846,5.1601,0.0832,5926,1694,255,0,8192,0.0
37,Qwen2.5-VL-3B,,589.93,142.55,732.48,0.759,124,3,127,0,10,104,What is the number of small grass areas?,6.22,6.72,14.16,55.6,9.95,0.0803,3.3171,0.0784,5934,1686,255,0,8192,0.0
38,Qwen2.5-VL-3B,,588.97,68.18,657.14,0.685,121,2,123,0,No,yes,Is there a circular parking?,6.15,6.68,14.19,55.6,8.54,0.0706,4.2693,0.0694,5939,1681,255,0,8192,0.0
39,Qwen2.5-VL-3B,,640.63,77.72,718.35,0.743,123,2,125,1,Yes,yes,Are there less roads than residential buildings?,6.47,6.68,14.70,55.7,10.31,0.0839,5.1570,0.0825,5942,1678,255,0,8192,0.0
40,Qwen2.5-VL-3B,,582.92,221.52,804.44,0.832,124,4,128,0,100,3,What is the amount of square grass areas?,6.33,6.83,14.36,55.9,11.47,0.0925,2.8681,0.0896,5950,1670,255,0,8192,0.0
41,Qwen2.5-VL-3B,,576.40,68.31,644.71,0.670,123,2,125,0,Yes,no,Are there more commercial buildings than roads?,6.09,6.71,14.09,55.8,8.44,0.0686,4.2211,0.0675,5957,1663,255,0,8192,0.0
42,Qwen2.5-VL-3B,,570.05,64.76,634.81,0.659,121,2,123,1,Yes,yes,Is a small building present?,6.18,6.76,14.04,55.8,8.46,0.0699,4.2308,0.0688,5958,1662,255,0,8192,0.0
43,Qwen2.5-VL-3B,,562.32,67.84,630.15,0.653,120,2,122,1,Yes,yes,Is there a parking?,6.22,6.79,14.00,56.0,8.37,0.0698,4.1865,0.0686,5966,1654,255,0,8192,0.0
44,Qwen2.5-VL-3B,,566.47,297.75,864.22,0.893,123,5,128,0,1000,2,How many large commercial buildings are there?,6.36,6.83,14.20,56.2,11.40,0.0927,2.2808,0.0891,5969,1651,255,0,8192,0.0
45,Qwen2.5-VL-3B,,589.92,78.01,667.93,0.696,124,2,126,1,Yes,yes,Are there more commercial buildings than residential areas?,6.12,6.68,14.26,56.3,8.54,0.0689,4.2698,0.0678,5976,1644,255,0,8192,0.0
46,Qwen2.5-VL-3B,,644.84,68.04,712.88,0.741,126,2,128,0,Yes,no,Are there more commercial buildings than forests in the image?,6.42,6.60,14.75,56.3,10.35,0.0822,5.1764,0.0809,5980,1640,255,0,8192,0.0
47,Qwen2.5-VL-3B,,588.65,141.97,730.61,0.761,123,3,126,0,10,0,What is the amount of circular roads?,6.29,6.71,14.35,56.5,10.10,0.0821,3.3650,0.0801,5984,1636,255,0,8192,0.0
48,Qwen2.5-VL-3B,,604.18,67.22,671.40,0.696,128,2,130,1,No,no,Is the number of residential buildings equal to the number of roads?,6.22,6.59,14.29,56.3,8.61,0.0673,4.3068,0.0663,5988,1632,255,0,8192,0.0
49,Qwen2.5-VL-3B,,650.99,68.97,719.96,0.746,121,2,123,1,No,no,Is there a square road?,6.47,6.72,14.79,56.7,10.37,0.0857,5.1845,0.0843,5995,1625,255,0,8192,0.0
50,Qwen2.5-VL-3B,,591.30,67.70,659.00,0.687,125,2,127,1,Yes,yes,Are there less commercial buildings than farmlands?,6.21,6.64,14.29,56.5,8.55,0.0684,4.2741,0.0673,5997,1623,255,0,8192,0.0
51,Qwen2.5-VL-3B,,634.29,77.02,711.31,0.736,125,2,127,1,Yes,yes,Is there a small residential building in the image?,6.55,6.80,14.73,56.6,10.33,0.0827,5.1666,0.0814,6002,1618,255,0,8192,0.0
52,Qwen2.5-VL-3B,,580.56,77.42,657.97,0.686,123,2,125,1,Yes,yes,Are there less grass areas than roads?,6.25,6.79,14.22,56.9,8.53,0.0694,4.2661,0.0683,6008,1612,255,0,8192,0.0
53,Qwen2.5-VL-3B,,628.52,77.80,706.31,0.732,121,2,123,0,Yes,no,Is a large road present?,6.46,6.72,14.65,56.8,10.26,0.0848,5.1320,0.0834,6015,1605,255,0,8192,0.0
54,Qwen2.5-VL-3B,,590.40,69.14,659.54,0.685,127,2,129,1,No,no,Is the number of buildings equal to the number of roads?,6.26,6.71,14.27,56.9,8.53,0.0671,4.2635,0.0661,6020,1600,255,0,8192,0.0
55,Qwen2.5-VL-3B,,640.23,297.34,937.57,0.965,124,5,129,0,1000,72,What is the number of small commercial buildings?,6.49,6.83,14.72,56.8,13.27,0.1070,2.6533,0.1028,6027,1593,255,0,8192,0.0
56,Qwen2.5-VL-3B,,570.88,307.53,878.41,0.907,124,5,129,0,1000,2,What is the amount of square residential buildings?,6.16,6.67,14.32,56.9,12.89,0.1040,2.5782,0.0999,6032,1588,255,0,8192,0.0
57,Qwen2.5-VL-3B,,588.29,77.00,665.29,0.691,124,2,126,1,Yes,yes,Are there less parkings than residential buildings?,6.11,6.71,14.27,57.3,8.57,0.0691,4.2834,0.0680,6034,1586,255,0,8192,0.0
58,Qwen2.5-VL-3B,,651.86,77.66,729.53,0.756,124,2,126,1,Yes,yes,Is there a farmland in the image?,6.36,6.67,14.54,57.1,10.18,0.0821,5.0876,0.0808,6041,1579,255,0,8192,0.0
59,Qwen2.5-VL-3B,,614.31,66.78,681.10,0.709,121,2,123,1,Yes,yes,Is there a orchard?,6.07,6.75,13.95,57.5,9.76,0.0807,4.8808,0.0794,6046,1574,255,0,8192,0.0
60,Qwen2.5-VL-3B,,580.78,68.09,648.87,0.673,122,2,124,1,Yes,yes,Is there a rectangular residential building?,6.35,6.79,14.24,57.3,8.52,0.0698,4.2601,0.0687,6049,1571,255,0,8192,0.0
61,Qwen2.5-VL-3B,,632.20,67.47,699.67,0.724,124,2,126,1,Yes,yes,Are there less commercial buildings than grass areas?,6.51,6.83,14.71,57.4,10.31,0.0831,5.1535,0.0818,6054,1566,255,0,8192,0.0
62,Qwen2.5-VL-3B,,580.00,67.28,647.28,0.672,124,2,126,0,Yes,no,Are there less commercial buildings than water areas?,6.32,6.71,14.28,57.4,8.59,0.0692,4.2935,0.0682,6061,1559,255,0,8192,0.0
63,Qwen2.5-VL-3B,,632.16,77.41,709.56,0.735,124,2,126,1,Yes,yes,Is there a residential area in the image?,6.54,6.76,14.61,57.3,10.25,0.0827,5.1263,0.0814,6066,1554,255,0,8192,0.0
64,Qwen2.5-VL-3B,,597.59,65.56,663.15,0.689,129,2,131,1,No,no,Is the number of commercial buildings equal to the number of water areas?,6.30,6.75,14.25,57.6,8.51,0.0660,4.2570,0.0650,6069,1551,255,0,8192,0.0
65,Qwen2.5-VL-3B,,643.36,297.30,940.66,0.967,124,5,129,0,1000,0,What is the amount of square commercial buildings?,6.53,6.83,14.73,57.5,13.27,0.1070,2.6536,0.1029,6072,1548,261,0,8192,0.0
66,Qwen2.5-VL-3B,,578.01,153.35,731.36,0.758,122,3,125,0,10,0,How many medium roads are there?,6.09,6.67,14.19,57.6,9.91,0.0812,3.3031,0.0793,6077,1543,261,0,8192,0.0
67,Qwen2.5-VL-3B,,585.97,66.86,652.82,0.682,123,2,125,1,Yes,yes,Are there more buildings than water areas?,6.02,6.63,14.02,57.4,8.43,0.0685,4.2148,0.0674,6080,1540,261,0,8192,0.0
68,Qwen2.5-VL-3B,,637.30,67.38,704.68,0.737,124,2,126,1,Yes,yes,Are there less medium grass areas than roads?,6.44,6.71,14.69,57.6,10.29,0.0830,5.1473,0.0817,6091,1529,261,0,8192,0.0
69,Qwen2.5-VL-3B,,602.32,144.53,746.85,0.774,122,3,125,0,10,11,How many orchards are there?,6.27,6.75,14.34,57.7,10.03,0.0822,3.3444,0.0803,6094,1526,261,0,8192,0.0
70,Qwen2.5-VL-3B,,589.42,66.42,655.84,0.681,125,2,127,1,Yes,yes,Is there a medium residential building in the image?,6.25,6.71,14.28,57.8,8.54,0.0683,4.2700,0.0672,6101,1519,259,0,8192,0.0
71,Qwen2.5-VL-3B,,649.56,67.97,717.52,0.741,128,2,130,1,No,no,Is the number of roads equal to the number of water areas?,6.53,6.79,14.68,58.0,10.28,0.0803,5.1422,0.0791,6104,1516,259,0,8192,0.0
72,Qwen2.5-VL-3B,,585.42,67.29,652.71,0.678,125,2,127,0,Yes,no,Are there more medium water areas than commercial buildings?,6.32,6.79,14.27,58.1,8.55,0.0684,4.2762,0.0673,6112,1508,259,0,8192,0.0
73,Qwen2.5-VL-3B,,654.47,68.22,722.68,0.751,124,2,126,1,Yes,yes,Are there less grass areas than residential buildings?,6.50,6.76,14.76,57.9,10.34,0.0834,5.1705,0.0821,6115,1505,259,0,8192,0.0
74,Qwen2.5-VL-3B,,587.91,218.54,806.45,0.832,124,4,128,0,100,1,What is the amount of square water areas?,6.44,6.79,14.39,58.1,11.55,0.0931,2.8866,0.0902,6115,1505,314,0,8192,0.0
75,Qwen2.5-VL-3B,,579.16,142.62,721.77,0.752,124,3,127,0,10,3,What is the amount of circular grass areas?,6.18,6.75,14.20,58.1,9.96,0.0803,3.3191,0.0784,6120,1500,314,0,8192,0.0
76,Qwen2.5-VL-3B,,597.87,67.18,665.05,0.691,121,2,123,1,Yes,yes,Is there a large building?,6.24,6.71,14.33,58.3,8.60,0.0711,4.3017,0.0699,6128,1492,313,0,8192,0.0
77,Qwen2.5-VL-3B,,648.44,64.74,713.18,0.740,122,2,124,1,Yes,yes,Is a circular water area present?,6.46,6.71,14.79,58.2,10.37,0.0850,5.1857,0.0836,6131,1489,317,0,8192,0.0
78,Qwen2.5-VL-3B,,590.49,69.39,659.88,0.688,126,2,128,0,1,3,What is the amount of large buildings in the image?,6.17,6.71,14.03,58.3,8.44,0.0670,4.2201,0.0659,6138,1482,317,0,8192,0.0
79,Qwen2.5-VL-3B,,641.89,68.93,710.83,0.737,125,2,127,0,Yes,no,Is there a square farmland in the image?,6.50,6.79,14.71,58.2,10.31,0.0825,5.1553,0.0812,6142,1478,317,0,8192,0.0
80,Qwen2.5-VL-3B,,591.19,65.54,656.73,0.685,124,2,126,0,Yes,no,Are there less residential buildings than water areas?,6.28,6.75,14.24,58.2,8.53,0.0688,4.2666,0.0677,6147,1473,317,0,8192,0.0
81,Qwen2.5-VL-3B,,645.23,68.19,713.41,0.740,124,2,126,1,Yes,yes,Are there less circular residential buildings than roads?,6.52,6.79,14.75,58.4,10.33,0.0833,5.1659,0.0820,6144,1476,327,0,8192,0.0
82,Qwen2.5-VL-3B,,600.12,66.61,666.73,0.695,129,2,131,1,No,no,Is the number of commercial buildings equal to the number of pitchs?,6.29,6.63,14.27,58.5,8.57,0.0665,4.2863,0.0654,6148,1472,327,0,8192,0.0
83,Qwen2.5-VL-3B,,658.65,67.14,725.79,0.754,126,2,128,1,Yes,yes,Are there less commercial buildings than roads in the image?,6.50,6.64,14.74,58.3,10.34,0.0821,5.1706,0.0808,6152,1468,327,0,8192,0.0
84,Qwen2.5-VL-3B,,604.64,66.88,671.52,0.702,129,2,131,1,Yes,yes,Is there a commercial building at the bottom of the  circular forest?,6.18,6.87,13.96,58.5,9.78,0.0758,4.8889,0.0746,6162,1458,327,0,8192,0.0
85,Qwen2.5-VL-3B,,585.54,67.12,652.66,0.678,124,2,126,1,Yes,yes,Are there less small grass areas than buildings?,6.29,6.75,14.21,58.5,8.51,0.0686,4.2551,0.0675,6165,1455,327,0,8192,0.0
86,Qwen2.5-VL-3B,,630.72,66.34,697.06,0.721,125,2,127,0,Yes,no,Are there more water areas than small grass areas?,6.56,6.83,14.70,58.6,10.30,0.0824,5.1482,0.0811,6164,1456,334,0,8192,0.0
87,Qwen2.5-VL-3B,,586.78,67.14,653.92,0.680,122,2,124,1,Yes,yes,Is there a small commercial building?,6.29,6.67,14.28,58.6,8.59,0.0704,4.2955,0.0693,6168,1452,334,0,8192,0.0
88,Qwen2.5-VL-3B,,652.42,66.64,719.06,0.746,129,2,131,1,No,no,Is the number of water areas equal to the number of rectangular buildings?,6.56,6.83,14.68,58.6,10.29,0.0798,5.1457,0.0786,6174,1446,334,0,8192,0.0
89,Qwen2.5-VL-3B,,590.12,66.75,656.87,0.682,122,2,124,0,No,yes,Is there a square water area?,6.33,6.72,14.31,58.8,8.56,0.0702,4.2799,0.0690,6180,1440,334,0,8192,0.0
90,Qwen2.5-VL-3B,,637.79,67.55,705.35,0.730,122,2,124,0,Yes,no,Is there a square village green?,6.58,6.83,14.69,58.7,10.30,0.0845,5.1516,0.0831,6183,1437,334,0,8192,0.0
91,Qwen2.5-VL-3B,,593.25,64.56,657.81,0.685,124,2,126,1,Yes,yes,Are there less circular buildings than water areas?,6.30,6.75,14.27,58.8,8.57,0.0691,4.2827,0.0680,6187,1433,334,0,8192,0.0
92,Qwen2.5-VL-3B,,644.56,67.20,711.76,0.737,122,2,124,1,Yes,yes,Is there a rectangular commercial building?,6.50,6.68,14.74,58.8,10.35,0.0848,5.1741,0.0835,6191,1429,334,0,8192,0.0
93,Qwen2.5-VL-3B,,600.92,67.12,668.05,0.695,128,2,130,1,No,no,Is the number of forests equal to the number of water areas?,6.14,6.71,14.05,58.7,8.46,0.0661,4.2300,0.0651,6198,1422,334,0,8192,0.0
94,Qwen2.5-VL-3B,,645.32,67.15,712.47,0.738,121,2,123,0,No,yes,Is a circular building present?,6.48,6.71,14.71,59.2,10.31,0.0852,5.1573,0.0839,6204,1416,334,0,8192,0.0
95,Qwen2.5-VL-3B,,627.57,66.55,694.12,0.715,128,2,130,1,No,no,Is the number of roads equal to the number of commercial buildings?,6.36,6.83,14.40,58.9,10.09,0.0788,5.0429,0.0776,6207,1413,334,0,8192,0.0
96,Qwen2.5-VL-3B,,580.40,67.85,648.25,0.677,127,2,129,1,No,no,Is the number of roads equal to the number of forests?,6.37,6.71,14.31,59.1,8.61,0.0678,4.3047,0.0667,6213,1407,333,0,8192,0.0
97,Qwen2.5-VL-3B,,629.69,67.10,696.79,0.721,123,2,125,0,Yes,no,Are there less forests than commercial buildings?,6.59,6.87,14.68,59.1,10.29,0.0837,5.1459,0.0823,6209,1411,352,0,8192,0.0
98,Qwen2.5-VL-3B,,587.84,67.54,655.38,0.682,124,2,126,1,Yes,yes,Are there more grass areas than square buildings?,6.34,6.75,14.27,59.1,8.54,0.0689,4.2689,0.0678,6217,1403,352,0,8192,0.0
99,Qwen2.5-VL-3B,,646.36,64.46,710.81,0.732,121,2,123,1,Yes,yes,Is there a square building?,6.53,6.87,14.75,59.2,10.34,0.0854,5.1693,0.0841,6222,1398,352,0,8192,0.0
100,Qwen2.5-VL-3B,,499.12,145.49,644.61,0.677,124,3,127,1,Rural,rural,Is it a rural or an urban area,6.31,6.83,14.14,59.3,8.50,0.0685,2.8325,0.0669,6228,1392,352,0,8192,0.0
101,Qwen2.5-VL-3B,,501.11,64.51,565.62,0.590,126,2,128,0,1,5,What is the number of commercial buildings in the image?,6.30,6.83,14.15,59.2,7.04,0.0559,3.5219,0.0550,6238,1382,352,0,8192,0.0
102,Qwen2.5-VL-3B,,538.73,68.16,606.89,0.632,121,2,123,0,No,yes,Is there a residential building?,6.64,6.90,14.65,59.2,8.79,0.0727,4.3958,0.0715,6235,1385,352,0,8192,0.0
103,Qwen2.5-VL-3B,,571.64,68.56,640.21,0.657,120,2,122,1,Yes,yes,Is a road present?,6.30,6.79,14.06,59.3,8.41,0.0701,4.2047,0.0689,6235,1385,352,0,8192,0.0
104,Qwen2.5-VL-3B,,479.72,64.71,544.43,0.574,120,2,122,0,No,yes,Is a building present?,6.22,6.98,13.85,59.5,6.91,0.0576,3.4570,0.0567,6235,1385,352,0,8192,0.0
105,Qwen2.5-VL-3B,,539.19,146.83,686.02,0.714,122,3,125,0,10,202,How many small roads are there?,6.68,6.90,14.70,59.4,10.32,0.0846,3.4385,0.0825,6241,1379,352,0,8192,0.0
106,Qwen2.5-VL-3B,,590.37,66.62,656.99,0.681,121,2,123,1,Yes,yes,Is a farmland present?,6.30,6.71,14.30,59.5,8.56,0.0708,4.2821,0.0696,6241,1379,352,0,8192,0.0
107,Qwen2.5-VL-3B,,636.32,67.63,703.95,0.731,121,2,123,1,Yes,yes,Is a grass area present?,6.55,6.83,14.72,59.3,10.31,0.0852,5.1561,0.0838,6242,1378,352,0,8192,0.0
108,Qwen2.5-VL-3B,,498.99,69.58,568.57,0.592,125,2,127,1,Yes,yes,Are there less commercial buildings than farmlands?,6.41,6.90,14.23,59.5,7.12,0.0569,3.5589,0.0560,6247,1373,354,0,8192,0.0
109,Qwen2.5-VL-3B,,646.79,298.87,945.66,0.968,121,5,126,0,1000,202,How many roads are there?,6.55,6.83,14.77,59.5,13.33,0.1102,2.6662,0.1058,6251,1369,354,0,8192,0.0
110,Qwen2.5-VL-3B,,591.47,64.68,656.14,0.680,129,2,131,1,No,no,Is the number of residential buildings equal to the number of water areas?,6.08,6.71,14.11,59.7,8.47,0.0656,4.2332,0.0646,6251,1369,354,0,8192,0.0
111,Qwen2.5-VL-3B,,645.65,66.30,711.95,0.737,121,2,123,1,Yes,yes,Is there a rectangular building?,6.46,6.71,14.75,59.4,10.34,0.0854,5.1694,0.0841,6254,1366,354,0,8192,0.0
112,Qwen2.5-VL-3B,,498.95,65.74,564.69,0.592,124,2,126,1,Yes,yes,Are there more water areas than commercial buildings?,6.23,6.79,14.04,59.8,7.03,0.0567,3.5161,0.0558,6260,1360,354,0,8192,0.0
113,Qwen2.5-VL-3B,,546.25,68.73,614.98,0.639,120,2,122,1,Yes,yes,Is a forest present?,6.59,6.75,14.62,59.5,8.80,0.0733,4.3982,0.0721,6264,1356,354,0,8192,0.0
114,Qwen2.5-VL-3B,,575.21,69.41,644.62,0.670,125,2,127,0,0,230,What is the amount of buildings in the image?,6.22,6.83,14.04,59.8,8.43,0.0675,4.2169,0.0664,6264,1356,354,0,8192,0.0
115,Qwen2.5-VL-3B,,639.52,144.57,784.08,0.808,123,3,126,0,10,224,What is the number of residential buildings?,6.49,6.67,14.64,59.5,11.75,0.0956,3.9176,0.0933,6266,1354,354,0,8192,0.0
116,Qwen2.5-VL-3B,,577.30,69.58,646.89,0.669,124,2,126,1,Yes,yes,Are there more buildings than farmlands?,6.13,6.71,14.08,59.7,8.42,0.0679,4.2090,0.0668,6273,1347,354,0,8192,0.0
117,Qwen2.5-VL-3B,,571.39,67.25,638.64,0.664,123,2,125,0,Yes,no,Are there more grass areas than buildings?,6.23,6.83,14.01,59.8,8.41,0.0683,4.2031,0.0673,6278,1342,354,0,8192,0.0
118,Qwen2.5-VL-3B,,563.01,70.68,633.69,0.660,121,2,123,0,No,yes,Is a water area present?,6.11,6.79,13.79,59.9,8.28,0.0685,4.1425,0.0674,6278,1342,354,0,8192,0.0
119,Qwen2.5-VL-3B,,583.26,69.58,652.85,0.681,132,2,134,1,No,no,Is the number of water areas equal to the number of commercial buildings in the image?,6.26,6.83,14.01,59.9,8.40,0.0636,4.2005,0.0627,6280,1340,354,0,8192,0.0
120,Qwen2.5-VL-3B,,630.10,69.22,699.32,0.726,121,2,123,1,Yes,yes,Is there a commercial building?,6.56,6.83,14.73,59.9,10.32,0.0853,5.1622,0.0839,6285,1335,354,0,8192,0.0
