question_id,model_name,model_load_time_s,prefill_ms,decode_ms,prefill_plus_decode_ms,latency_sec,input_tokens,output_tokens,total_tokens,correct,model_response,ground_truth,question_text,avg_gpu_cv_w,max_gpu_cv_w,avg_power_in_w,max_gpu_temp_c,energy_total_j,energy_per_input_token_j,energy_per_output_token_j,energy_per_total_token_j,ram_used_mb,ram_free_mb,swap_used_mb,kv_n_past,kv_n_ctx,kv_peak_occupancy
18,Qwen2.5-VL-3B,,586.52,77.56,664.07,0.691,125,2,127,1,Yes,yes,Is a circular grass area present in the image?,6.09,6.59,14.22,53.8,8.54,0.0683,4.2718,0.0673,5857,1763,247,0,8192,0.0
19,Qwen2.5-VL-3B,,670.08,66.38,736.45,0.763,123,2,125,0,2,27,What is the amount of pitchs?,6.18,6.67,14.25,53.9,9.97,0.0810,4.9831,0.0797,5861,1759,247,0,8192,0.0
20,Qwen2.5-VL-3B,,583.74,69.78,653.52,0.679,121,2,123,1,Yes,yes,Is there a village green?,6.18,6.71,14.00,54.1,8.41,0.0695,4.2029,0.0683,5872,1748,247,0,8192,0.0
21,Qwen2.5-VL-3B,,654.31,66.92,721.22,0.748,125,2,127,1,Yes,yes,Is a large commercial building present in the image?,6.34,6.64,14.53,53.9,10.18,0.0814,5.0878,0.0801,5870,1750,258,0,8192,0.0
22,Qwen2.5-VL-3B,,581.08,66.39,647.47,0.674,123,2,125,0,1,42,What is the number of water areas?,6.27,6.67,14.26,54.1,8.59,0.0698,4.2929,0.0687,5875,1745,257,0,8192,0.0
23,Qwen2.5-VL-3B,,639.27,67.05,706.32,0.732,128,2,130,1,No,no,Is the number of buildings equal to the number of water areas?,6.54,6.80,14.65,54.1,10.26,0.0802,5.1325,0.0790,5878,1742,257,0,8192,0.0
24,Qwen2.5-VL-3B,,585.84,66.62,652.46,0.676,121,2,123,1,Yes,yes,Is there a small road?,6.28,6.72,14.27,54.3,8.55,0.0707,4.2754,0.0695,5870,1750,258,0,8192,0.0
25,Qwen2.5-VL-3B,,635.03,68.29,703.32,0.731,121,2,123,1,No,no,Is there a rectangular road?,6.48,6.72,14.69,54.3,10.28,0.0850,5.1414,0.0836,5877,1743,258,0,8192,0.0
26,Qwen2.5-VL-3B,,589.41,219.81,809.21,0.836,122,4,126,0,100,1064,How many small roads are there?,6.33,6.72,14.41,54.7,11.57,0.0949,2.8934,0.0919,5888,1732,258,0,8192,0.0
27,Qwen2.5-VL-3B,,597.63,78.98,676.61,0.705,129,2,131,1,No,no,Is the number of residential buildings equal to the number of medium roads?,6.16,6.67,14.20,54.8,9.97,0.0773,4.9836,0.0761,5897,1723,258,0,8192,0.0
28,Qwen2.5-VL-3B,,581.07,65.42,646.48,0.674,124,2,126,1,Yes,yes,Are there more roads than rectangular water areas?,6.17,6.67,14.26,54.8,8.52,0.0687,4.2592,0.0676,5903,1717,257,0,8192,0.0
29,Qwen2.5-VL-3B,,632.37,144.15,776.51,0.801,123,3,126,0,10,2,How many circular residential buildings are there?,6.50,6.79,14.69,55.1,10.29,0.0837,3.4302,0.0817,5912,1708,255,0,8192,0.0
30,Qwen2.5-VL-3B,,642.41,77.43,719.84,0.745,121,2,123,1,Yes,yes,Is there a grass area?,6.39,6.60,14.76,55.0,10.35,0.0855,5.1747,0.0841,5919,1701,255,0,8192,0.0
31,Qwen2.5-VL-3B,,592.13,389.81,981.94,1.009,122,6,128,0,10000,117,What is the amount of forests?,6.28,6.67,14.48,54.9,14.52,0.1190,2.4196,0.1134,5922,1698,255,0,8192,0.0
32,Qwen2.5-VL-3B,,573.66,230.41,804.06,0.828,123,4,127,0,100,19,How many rectangular commercial buildings are there?,6.04,6.63,14.22,55.2,11.44,0.0930,2.8588,0.0900,5913,1707,266,0,8192,0.0
33,Qwen2.5-VL-3B,,572.64,67.17,639.81,0.672,120,2,122,1,Yes,yes,Is a forest present?,5.89,6.63,13.91,55.2,8.38,0.0698,4.1886,0.0687,5917,1703,266,0,8192,0.0
34,Qwen2.5-VL-3B,,643.22,219.22,862.44,0.886,123,4,127,0,100,498,How many farmlands are there?,6.45,6.68,14.71,55.6,11.78,0.0958,2.9457,0.0928,5924,1696,266,0,8192,0.0
35,Qwen2.5-VL-3B,,602.00,78.22,680.21,0.705,126,2,128,0,Yes,no,Are there less buildings than grass areas in the image?,6.19,6.71,14.29,55.5,10.05,0.0798,5.0267,0.0785,5931,1689,266,0,8192,0.0
36,Qwen2.5-VL-3B,,584.78,67.19,651.97,0.671,122,2,124,1,Yes,yes,Is a rectangular water area present?,6.22,6.71,14.20,55.5,8.49,0.0696,4.2450,0.0685,5938,1682,266,0,8192,0.0
37,Qwen2.5-VL-3B,,637.11,145.65,782.75,0.809,124,3,127,0,10,104,What is the number of small grass areas?,6.50,6.79,14.72,55.7,11.80,0.0951,3.9320,0.0929,5941,1679,266,0,8192,0.0
38,Qwen2.5-VL-3B,,575.82,64.60,640.43,0.666,121,2,123,0,No,yes,Is there a circular parking?,6.11,6.63,14.14,55.6,8.51,0.0703,4.2547,0.0692,5945,1675,264,0,8192,0.0
39,Qwen2.5-VL-3B,,568.09,67.68,635.77,0.661,123,2,125,1,Yes,yes,Are there less roads than residential buildings?,6.16,6.79,13.96,56.0,8.36,0.0679,4.1786,0.0669,5953,1667,264,0,8192,0.0
40,Qwen2.5-VL-3B,,570.99,222.05,793.04,0.818,124,4,128,0,100,3,What is the amount of square grass areas?,6.35,6.87,14.22,56.1,11.41,0.0920,2.8518,0.0891,5958,1662,264,0,8192,0.0
41,Qwen2.5-VL-3B,,580.25,68.63,648.88,0.676,123,2,125,0,Yes,no,Are there more commercial buildings than roads?,6.14,6.75,14.11,55.9,8.49,0.0690,4.2444,0.0679,5953,1667,278,0,8192,0.0
42,Qwen2.5-VL-3B,,641.28,67.06,708.34,0.733,121,2,123,1,Yes,yes,Is a small building present?,6.42,6.64,14.67,56.1,10.32,0.0853,5.1580,0.0839,5962,1658,278,0,8192,0.0
43,Qwen2.5-VL-3B,,585.88,66.41,652.29,0.679,120,2,122,1,Yes,yes,Is there a parking?,6.30,6.71,14.30,56.1,8.56,0.0713,4.2796,0.0702,5968,1652,278,0,8192,0.0
44,Qwen2.5-VL-3B,,635.31,298.34,933.65,0.960,123,5,128,0,1000,2,How many large commercial buildings are there?,6.53,6.79,14.71,56.3,13.26,0.1078,2.6517,0.1036,5974,1646,278,0,8192,0.0
45,Qwen2.5-VL-3B,,580.71,77.84,658.55,0.683,124,2,126,1,Yes,yes,Are there more commercial buildings than residential areas?,5.99,6.63,14.12,56.3,8.45,0.0681,4.2253,0.0671,5977,1643,278,0,8192,0.0
46,Qwen2.5-VL-3B,,639.35,67.39,706.74,0.735,126,2,128,0,Yes,no,Are there more commercial buildings than forests in the image?,6.43,6.63,14.69,56.5,10.29,0.0816,5.1437,0.0804,5982,1638,278,0,8192,0.0
47,Qwen2.5-VL-3B,,587.37,140.60,727.97,0.759,123,3,126,0,10,0,What is the amount of circular roads?,6.32,6.75,14.33,56.5,10.05,0.0817,3.3512,0.0798,5987,1633,278,0,8192,0.0
48,Qwen2.5-VL-3B,,601.42,77.42,678.84,0.704,128,2,130,1,No,no,Is the number of residential buildings equal to the number of roads?,6.33,6.75,14.35,56.7,10.07,0.0786,5.0332,0.0774,5992,1628,278,0,8192,0.0
49,Qwen2.5-VL-3B,,581.23,65.50,646.73,0.672,121,2,123,1,No,no,Is there a square road?,6.17,6.71,14.13,56.8,8.51,0.0704,4.2565,0.0692,5992,1628,278,0,8192,0.0
50,Qwen2.5-VL-3B,,635.34,66.83,702.17,0.728,125,2,127,1,Yes,yes,Are there less commercial buildings than farmlands?,6.52,6.83,14.65,56.9,10.26,0.0821,5.1286,0.0808,5998,1622,278,0,8192,0.0
51,Qwen2.5-VL-3B,,587.05,67.25,654.30,0.681,125,2,127,1,Yes,yes,Is there a small residential building in the image?,6.32,6.79,14.24,56.8,8.53,0.0683,4.2657,0.0672,5990,1630,293,0,8192,0.0
52,Qwen2.5-VL-3B,,644.16,68.10,712.26,0.739,123,2,125,1,Yes,yes,Are there less grass areas than roads?,6.51,6.87,14.74,56.9,10.33,0.0840,5.1643,0.0826,5996,1624,293,0,8192,0.0
53,Qwen2.5-VL-3B,,587.11,77.75,664.85,0.689,121,2,123,0,Yes,no,Is a large road present?,6.29,6.71,14.28,56.9,8.60,0.0711,4.2992,0.0699,6001,1619,293,0,8192,0.0
54,Qwen2.5-VL-3B,,645.06,66.69,711.75,0.736,127,2,129,1,No,no,Is the number of buildings equal to the number of roads?,6.55,6.79,14.72,57.0,10.32,0.0813,5.1596,0.0800,6006,1614,293,0,8192,0.0
55,Qwen2.5-VL-3B,,594.46,295.79,890.25,0.916,124,5,129,0,1000,72,What is the number of small commercial buildings?,6.43,6.79,14.44,57.0,13.00,0.1048,2.5994,0.1008,6011,1609,293,0,8192,0.0
56,Qwen2.5-VL-3B,,584.80,307.69,892.49,0.923,124,5,129,0,1000,2,What is the amount of square residential buildings?,6.26,6.71,14.42,57.4,13.00,0.1048,2.6002,0.1008,6018,1602,291,0,8192,0.0
57,Qwen2.5-VL-3B,,593.09,77.50,670.59,0.691,124,2,126,1,Yes,yes,Are there less parkings than residential buildings?,6.00,6.55,14.25,57.1,8.58,0.0692,4.2912,0.0681,6023,1597,291,0,8192,0.0
58,Qwen2.5-VL-3B,,645.75,77.14,722.88,0.747,124,2,126,1,Yes,yes,Is there a farmland in the image?,6.40,6.64,14.70,57.5,10.30,0.0831,5.1493,0.0817,6032,1588,291,0,8192,0.0
59,Qwen2.5-VL-3B,,616.37,67.72,684.08,0.705,121,2,123,1,Yes,yes,Is there a orchard?,6.10,6.83,13.99,57.4,9.75,0.0806,4.8735,0.0792,6039,1581,291,0,8192,0.0
60,Qwen2.5-VL-3B,,579.28,63.42,642.70,0.669,122,2,124,1,Yes,yes,Is there a rectangular residential building?,6.32,6.79,14.21,57.4,8.53,0.0699,4.2627,0.0688,6046,1574,291,0,8192,0.0
61,Qwen2.5-VL-3B,,641.59,67.24,708.83,0.734,124,2,126,1,Yes,yes,Are there less commercial buildings than grass areas?,6.49,6.68,14.72,57.5,10.34,0.0834,5.1689,0.0820,6050,1570,291,0,8192,0.0
62,Qwen2.5-VL-3B,,582.94,66.03,648.97,0.674,124,2,126,0,Yes,no,Are there less commercial buildings than water areas?,6.17,6.71,14.06,57.7,8.46,0.0682,4.2292,0.0671,6055,1565,291,0,8192,0.0
63,Qwen2.5-VL-3B,,627.08,67.78,694.87,0.722,124,2,126,1,Yes,yes,Is there a residential area in the image?,6.53,6.83,14.65,57.6,10.26,0.0827,5.1292,0.0814,6056,1564,291,0,8192,0.0
64,Qwen2.5-VL-3B,,602.28,65.37,667.65,0.696,129,2,131,1,No,no,Is the number of commercial buildings equal to the number of water areas?,6.28,6.75,14.26,57.7,8.56,0.0663,4.2775,0.0653,6061,1559,291,0,8192,0.0
65,Qwen2.5-VL-3B,,649.87,294.38,944.25,0.969,124,5,129,0,1000,0,What is the amount of square commercial buildings?,6.55,6.75,14.80,57.8,13.34,0.1076,2.6689,0.1034,6054,1566,291,0,8192,0.0
66,Qwen2.5-VL-3B,,583.56,159.30,742.86,0.771,122,3,125,0,10,0,How many medium roads are there?,6.16,6.71,14.23,57.7,9.99,0.0819,3.3294,0.0799,6061,1559,291,0,8192,0.0
67,Qwen2.5-VL-3B,,591.58,67.32,658.90,0.684,123,2,125,1,Yes,yes,Are there more buildings than water areas?,6.15,6.67,14.24,57.8,8.52,0.0693,4.2604,0.0682,6059,1561,308,0,8192,0.0
68,Qwen2.5-VL-3B,,646.31,68.80,715.11,0.739,124,2,126,1,Yes,yes,Are there less medium grass areas than roads?,6.43,6.67,14.75,57.8,10.34,0.0834,5.1720,0.0821,6064,1556,308,0,8192,0.0
69,Qwen2.5-VL-3B,,590.22,155.29,745.52,0.773,122,3,125,0,10,11,How many orchards are there?,6.33,6.79,14.36,58.0,10.07,0.0826,3.3578,0.0806,6071,1549,308,0,8192,0.0
70,Qwen2.5-VL-3B,,591.63,67.24,658.87,0.685,125,2,127,1,Yes,yes,Is there a medium residential building in the image?,6.20,6.75,14.24,58.0,8.54,0.0683,4.2710,0.0673,6081,1539,308,0,8192,0.0
71,Qwen2.5-VL-3B,,666.86,67.25,734.11,0.762,128,2,130,1,No,no,Is the number of roads equal to the number of water areas?,6.44,6.71,14.76,57.9,10.35,0.0809,5.1749,0.0796,6085,1535,308,0,8192,0.0
72,Qwen2.5-VL-3B,,583.04,67.33,650.36,0.679,125,2,127,0,Yes,no,Are there more medium water areas than commercial buildings?,6.32,6.71,14.27,58.0,8.57,0.0686,4.2870,0.0675,6089,1531,307,0,8192,0.0
73,Qwen2.5-VL-3B,,638.45,67.32,705.77,0.733,124,2,126,1,Yes,yes,Are there less grass areas than residential buildings?,6.48,6.67,14.65,58.0,10.29,0.0830,5.1463,0.0817,6090,1530,307,0,8192,0.0
74,Qwen2.5-VL-3B,,592.47,221.99,814.46,0.842,124,4,128,0,100,1,What is the amount of square water areas?,6.40,6.83,14.42,58.3,11.54,0.0930,2.8844,0.0901,6095,1525,307,0,8192,0.0
75,Qwen2.5-VL-3B,,587.22,140.54,727.76,0.754,124,3,127,0,10,3,What is the amount of circular grass areas?,6.07,6.67,13.98,58.2,9.83,0.0793,3.2771,0.0774,6103,1517,321,0,8192,0.0
76,Qwen2.5-VL-3B,,591.73,68.06,659.79,0.685,121,2,123,1,Yes,yes,Is there a large building?,6.18,6.67,14.22,58.3,8.56,0.0708,4.2807,0.0696,6108,1512,321,0,8192,0.0
77,Qwen2.5-VL-3B,,652.14,66.54,718.68,0.745,122,2,124,1,Yes,yes,Is a circular water area present?,6.42,6.67,14.73,58.2,10.32,0.0846,5.1623,0.0833,6115,1505,321,0,8192,0.0
78,Qwen2.5-VL-3B,,600.78,66.81,667.59,0.692,126,2,128,0,1,3,What is the amount of large buildings in the image?,6.31,6.75,14.26,58.4,8.53,0.0677,4.2663,0.0667,6120,1500,321,0,8192,0.0
79,Qwen2.5-VL-3B,,649.44,69.38,718.82,0.746,125,2,127,0,Yes,no,Is there a square farmland in the image?,6.50,6.79,14.73,58.3,10.33,0.0827,5.1660,0.0814,6125,1495,321,0,8192,0.0
80,Qwen2.5-VL-3B,,585.62,65.43,651.04,0.678,124,2,126,0,Yes,no,Are there less residential buildings than water areas?,6.29,6.75,14.27,58.6,8.58,0.0692,4.2898,0.0681,6125,1495,321,0,8192,0.0
81,Qwen2.5-VL-3B,,634.52,66.18,700.70,0.725,124,2,126,1,Yes,yes,Are there less circular residential buildings than roads?,6.51,6.71,14.70,58.7,10.32,0.0832,5.1594,0.0819,6129,1491,321,0,8192,0.0
82,Qwen2.5-VL-3B,,605.37,77.23,682.60,0.709,129,2,131,1,No,no,Is the number of commercial buildings equal to the number of pitchs?,6.36,6.75,14.35,58.5,10.03,0.0778,5.0162,0.0766,6138,1482,321,0,8192,0.0
83,Qwen2.5-VL-3B,,602.63,71.41,674.04,0.702,126,2,128,1,Yes,yes,Are there less commercial buildings than roads in the image?,6.29,6.71,14.26,58.6,9.98,0.0792,4.9918,0.0780,6142,1478,321,0,8192,0.0
84,Qwen2.5-VL-3B,,599.05,64.11,663.16,0.690,129,2,131,1,Yes,yes,Is there a commercial building at the bottom of the  circular forest?,6.23,6.63,14.25,58.6,8.56,0.0664,4.2820,0.0654,6148,1472,321,0,8192,0.0
85,Qwen2.5-VL-3B,,651.67,65.53,717.20,0.742,124,2,126,1,Yes,yes,Are there less small grass areas than buildings?,6.51,6.67,14.72,58.7,10.33,0.0833,5.1669,0.0820,6153,1467,321,0,8192,0.0
86,Qwen2.5-VL-3B,,596.45,66.67,663.13,0.689,125,2,127,0,Yes,no,Are there more water areas than small grass areas?,6.34,6.75,14.31,58.7,8.56,0.0685,4.2816,0.0674,6154,1466,321,0,8192,0.0
87,Qwen2.5-VL-3B,,647.65,67.20,714.85,0.741,122,2,124,1,Yes,yes,Is there a small commercial building?,6.46,6.79,14.71,58.9,10.31,0.0845,5.1535,0.0831,6159,1461,321,0,8192,0.0
88,Qwen2.5-VL-3B,,596.94,66.90,663.84,0.692,129,2,131,1,No,no,Is the number of water areas equal to the number of rectangular buildings?,6.30,6.79,14.23,58.8,8.53,0.0661,4.2630,0.0651,6170,1450,321,0,8192,0.0
89,Qwen2.5-VL-3B,,649.42,66.60,716.01,0.741,122,2,124,0,No,yes,Is there a square water area?,6.48,6.83,14.77,58.8,10.36,0.0849,5.1781,0.0835,6177,1443,321,0,8192,0.0
90,Qwen2.5-VL-3B,,587.31,77.60,664.91,0.694,122,2,124,0,Yes,no,Is there a square village green?,6.29,6.71,14.26,58.8,8.58,0.0704,4.2917,0.0692,6183,1437,321,0,8192,0.0
91,Qwen2.5-VL-3B,,641.58,68.17,709.75,0.737,124,2,126,1,Yes,yes,Are there less circular buildings than water areas?,6.51,6.79,14.72,59.0,10.32,0.0832,5.1578,0.0819,6188,1432,321,0,8192,0.0
92,Qwen2.5-VL-3B,,586.22,69.40,655.61,0.686,122,2,124,1,Yes,yes,Is there a rectangular commercial building?,6.25,6.71,14.24,58.9,8.52,0.0698,4.2588,0.0687,6189,1431,321,0,8192,0.0
93,Qwen2.5-VL-3B,,649.20,67.15,716.35,0.745,128,2,130,1,No,no,Is the number of forests equal to the number of water areas?,6.54,6.79,14.74,59.1,10.33,0.0807,5.1641,0.0794,6195,1425,321,0,8192,0.0
94,Qwen2.5-VL-3B,,582.28,64.47,646.75,0.674,121,2,123,0,No,yes,Is a circular building present?,6.33,6.83,14.26,59.1,8.56,0.0708,4.2819,0.0696,6200,1420,321,0,8192,0.0
95,Qwen2.5-VL-3B,,661.63,69.44,731.07,0.757,128,2,130,1,No,no,Is the number of roads equal to the number of commercial buildings?,6.44,6.60,14.72,58.9,10.33,0.0807,5.1649,0.0795,6202,1418,321,0,8192,0.0
96,Qwen2.5-VL-3B,,580.79,69.65,650.44,0.678,127,2,129,1,No,no,Is the number of roads equal to the number of forests?,6.24,6.63,14.31,59.0,8.62,0.0678,4.3077,0.0668,6206,1414,321,0,8192,0.0
97,Qwen2.5-VL-3B,,638.57,66.49,705.06,0.747,123,2,125,0,Yes,no,Are there less forests than commercial buildings?,6.52,6.72,14.65,59.1,10.27,0.0835,5.1326,0.0821,6213,1407,321,0,8192,0.0
98,Qwen2.5-VL-3B,,591.19,68.57,659.77,0.686,124,2,126,1,Yes,yes,Are there more grass areas than square buildings?,6.36,6.76,14.31,59.3,8.55,0.0690,4.2749,0.0679,6204,1416,365,0,8192,0.0
99,Qwen2.5-VL-3B,,645.12,65.70,710.82,0.737,121,2,123,1,Yes,yes,Is there a square building?,6.51,6.87,14.70,59.2,10.31,0.0852,5.1529,0.0838,6212,1408,364,0,8192,0.0
100,Qwen2.5-VL-3B,,490.64,142.34,632.98,0.675,124,3,127,1,Rural,rural,Is it a rural or an urban area,6.33,6.98,14.09,59.2,8.44,0.0680,2.8125,0.0664,6217,1403,364,0,8192,0.0
101,Qwen2.5-VL-3B,,499.24,64.54,563.78,0.589,126,2,128,0,1,5,What is the number of commercial buildings in the image?,6.37,6.79,14.21,59.5,7.07,0.0561,3.5328,0.0552,6216,1404,369,0,8192,0.0
102,Qwen2.5-VL-3B,,535.95,72.66,608.61,0.632,121,2,123,0,No,yes,Is there a residential building?,6.65,6.90,14.65,59.4,8.80,0.0727,4.4007,0.0716,6216,1404,369,0,8192,0.0
103,Qwen2.5-VL-3B,,593.20,67.03,660.23,0.688,120,2,122,1,Yes,yes,Is a road present?,6.16,6.71,13.92,59.5,8.37,0.0698,4.1865,0.0686,6218,1402,369,0,8192,0.0
104,Qwen2.5-VL-3B,,542.06,66.86,608.92,0.636,120,2,122,0,No,yes,Is a building present?,6.65,6.90,14.70,59.4,8.83,0.0736,4.4162,0.0724,6219,1401,368,0,8192,0.0
105,Qwen2.5-VL-3B,,479.24,145.52,624.77,0.652,122,3,125,0,10,202,How many small roads are there?,6.19,7.02,13.75,59.5,8.26,0.0677,2.7536,0.0661,6224,1396,368,0,8192,0.0
106,Qwen2.5-VL-3B,,591.04,68.64,659.69,0.684,121,2,123,1,Yes,yes,Is a farmland present?,6.32,6.71,14.31,59.4,8.62,0.0712,4.3098,0.0701,6224,1396,368,0,8192,0.0
107,Qwen2.5-VL-3B,,642.34,67.79,710.13,0.736,121,2,123,1,Yes,yes,Is a grass area present?,6.53,6.79,14.73,59.5,10.32,0.0853,5.1601,0.0839,6224,1396,368,0,8192,0.0
108,Qwen2.5-VL-3B,,499.46,66.17,565.63,0.594,125,2,127,1,Yes,yes,Are there less commercial buildings than farmlands?,6.30,6.83,14.14,59.5,7.03,0.0562,3.5146,0.0553,6229,1391,368,0,8192,0.0
109,Qwen2.5-VL-3B,,634.08,298.30,932.38,0.955,121,5,126,0,1000,202,How many roads are there?,6.56,6.90,14.69,59.7,13.23,0.1093,2.6458,0.1050,6234,1386,368,0,8192,0.0
110,Qwen2.5-VL-3B,,597.79,67.32,665.11,0.689,129,2,131,1,No,no,Is the number of residential buildings equal to the number of water areas?,6.04,6.63,14.14,59.5,8.45,0.0655,4.2272,0.0645,6234,1386,368,0,8192,0.0
111,Qwen2.5-VL-3B,,651.49,67.20,718.69,0.744,121,2,123,1,Yes,yes,Is there a rectangular building?,6.44,6.67,14.72,59.5,10.31,0.0852,5.1570,0.0839,6240,1380,368,0,8192,0.0
112,Qwen2.5-VL-3B,,502.44,67.44,569.88,0.601,124,2,126,1,Yes,yes,Are there more water areas than commercial buildings?,6.24,6.83,14.11,59.7,7.04,0.0568,3.5204,0.0559,6245,1375,368,0,8192,0.0
113,Qwen2.5-VL-3B,,541.55,68.60,610.15,0.633,120,2,122,1,Yes,yes,Is a forest present?,6.69,6.90,14.67,59.9,8.81,0.0734,4.4034,0.0722,6250,1370,368,0,8192,0.0
114,Qwen2.5-VL-3B,,575.74,66.46,642.19,0.669,125,2,127,0,0,230,What is the amount of buildings in the image?,6.20,6.79,13.99,59.7,8.37,0.0670,4.1871,0.0659,6250,1370,368,0,8192,0.0
115,Qwen2.5-VL-3B,,630.97,143.63,774.60,0.801,123,3,126,0,10,224,What is the number of residential buildings?,6.57,6.87,14.70,59.6,10.30,0.0837,3.4322,0.0817,6250,1370,368,0,8192,0.0
116,Qwen2.5-VL-3B,,649.78,77.34,727.12,0.753,124,2,126,1,Yes,yes,Are there more buildings than farmlands?,6.40,6.59,14.73,59.7,10.33,0.0833,5.1655,0.0820,6255,1365,368,0,8192,0.0
117,Qwen2.5-VL-3B,,589.07,67.74,656.81,0.681,123,2,125,0,Yes,no,Are there more grass areas than buildings?,6.17,6.67,14.18,59.9,8.53,0.0694,4.2660,0.0683,6260,1360,368,0,8192,0.0
118,Qwen2.5-VL-3B,,625.57,66.92,692.48,0.731,121,2,123,0,No,yes,Is a water area present?,6.49,6.71,14.64,59.8,10.25,0.0847,5.1253,0.0833,6266,1354,368,0,8192,0.0
119,Qwen2.5-VL-3B,,602.28,66.26,668.54,0.694,132,2,134,1,No,no,Is the number of water areas equal to the number of commercial buildings in the image?,6.30,6.71,14.25,59.9,8.53,0.0646,4.2637,0.0636,6268,1352,368,0,8192,0.0
120,Qwen2.5-VL-3B,,659.66,67.81,727.47,0.747,121,2,123,1,Yes,yes,Is there a commercial building?,6.54,6.83,14.78,60.1,10.36,0.0856,5.1803,0.0842,6276,1344,368,0,8192,0.0
